Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 16/03/2020
TIME       : 10:10:35
FILENAME   : C:\Users\nico_demaerteleire\Documents\DiverOffice\LK-ALK\CSV\blinker zeebrugge_200316101035_V6499.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..12-V6499  317.
  Instrument number       =                    
                          =0
  Location                =blinker zeebrugge
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     mS/cm
  Range                   =120,000   mS/cm


[Series settings]
  Serial number           =..12-V6499  317.
  Instrument number       =                    
  Location                =blinker zeebrugge
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =36:43:09 12/02/20
  End date / time         =36:13:09 13/03/20
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     mS/cm
  Range                   =120,000   mS/cm


Date/time;Druk[cm];Temperatuur[°C];1:Geleidbaarheid[mS/cm]
2020/02/12 09:43:36;1036,358;6,003;0,020
2020/02/12 10:13:36;1190,533;6,237;0,888
2020/02/12 10:43:36;1192,575;6,173;1,012
2020/02/12 11:13:36;1215,092;6,140;1,004
2020/02/12 11:43:36;1225,883;6,183;0,996
2020/02/12 12:13:36;1229,500;6,237;0,996
2020/02/12 12:43:36;1233,525;6,247;0,992
2020/02/12 13:13:36;1235,217;6,270;0,996
2020/02/12 13:43:36;1236,967;6,330;1,000
2020/02/12 14:13:36;1237,783;6,333;0,996
2020/02/12 14:43:36;1239,300;6,367;1,000
2020/02/12 15:13:36;1240,525;6,367;1,000
2020/02/12 15:43:36;1242,042;6,360;1,004
2020/02/12 16:13:36;1243,733;6,333;1,000
2020/02/12 16:43:36;1244,958;6,330;1,000
2020/02/12 17:13:36;1246,125;6,423;1,020
2020/02/12 17:43:36;1247,175;6,337;1,012
2020/02/12 18:13:36;1248,342;6,297;1,012
2020/02/12 18:43:36;1249,275;6,410;1,044
2020/02/12 19:13:36;1250,733;6,417;1,052
2020/02/12 19:43:36;1251,725;6,400;1,064
2020/02/12 20:13:36;1252,250;6,333;1,160
2020/02/12 20:43:36;1252,250;6,257;1,148
2020/02/12 21:13:36;1218,767;6,177;1,092
2020/02/12 21:43:36;1203,075;6,310;1,124
2020/02/12 22:13:36;1191,000;6,020;1,096
2020/02/12 22:43:36;1185,750;5,933;1,008
2020/02/12 23:13:36;1192,867;5,960;0,928
2020/02/12 23:43:36;1210,717;5,967;0,896
2020/02/13 00:13:36;1216,550;5,957;0,900
2020/02/13 00:43:36;1220,108;5,970;0,908
2020/02/13 01:13:36;1222,325;5,970;0,900
2020/02/13 01:43:36;1223,550;5,977;0,916
2020/02/13 02:13:36;1224,367;5,907;0,900
2020/02/13 02:43:36;1225,708;5,983;0,912
2020/02/13 03:13:36;1226,058;5,947;0,924
2020/02/13 03:43:36;1227,458;5,973;0,936
2020/02/13 04:13:36;1227,750;5,967;0,932
2020/02/13 04:43:36;1228,683;5,933;0,944
2020/02/13 05:13:36;1228,917;5,897;0,932
2020/02/13 05:43:36;1228,800;5,930;0,968
2020/02/13 06:13:36;1229,442;5,890;0,952
2020/02/13 06:43:36;1229,092;5,860;0,944
2020/02/13 07:13:36;1228,450;5,873;0,964
2020/02/13 07:43:36;1228,683;5,813;0,992
2020/02/13 08:13:36;1227,283;5,807;0,988
2020/02/13 08:43:36;1213,808;5,780;0,972
2020/02/13 09:13:36;1192,342;5,860;1,024
2020/02/13 09:43:36;1203,133;6,030;0,960
2020/02/13 10:13:36;1211,825;5,933;0,908
2020/02/13 10:43:36;1214,333;5,903;0,928
2020/02/13 11:13:36;1215,908;5,887;0,940
2020/02/13 11:43:36;1217,717;5,880;0,952
2020/02/13 12:13:36;1211,417;5,833;1,000
2020/02/13 12:43:36;1204,767;5,833;1,120
2020/02/13 13:13:36;1207,333;6,100;1,244
2020/02/13 13:43:36;1208,967;6,013;1,224
2020/02/13 14:13:36;1210,542;5,943;1,224
2020/02/13 14:43:36;1212,117;5,923;1,224
2020/02/13 15:13:36;1214,217;5,963;1,216
2020/02/13 15:43:36;1216,200;5,940;1,228
2020/02/13 16:13:36;1217,075;5,973;1,228
2020/02/13 16:43:36;1218,942;5,977;1,220
2020/02/13 17:13:36;1220,983;6,037;1,244
2020/02/13 17:43:36;1223,142;6,050;1,244
2020/02/13 18:13:36;1225,300;6,077;1,256
2020/02/13 18:43:36;1226,583;6,047;1,236
2020/02/13 19:13:36;1229,675;6,037;1,232
2020/02/13 19:43:36;1232,242;6,090;1,236
2020/02/13 20:13:36;1233,933;6,117;1,236
2020/02/13 20:43:36;1236,792;6,143;1,236
2020/02/13 21:13:36;1239,125;6,137;1,232
2020/02/13 21:43:36;1240,350;6,110;1,240
2020/02/13 22:13:36;1211,942;5,930;1,280
2020/02/13 22:43:36;1199,225;6,547;1,240
2020/02/13 23:13:36;1197,300;5,903;1,156
2020/02/13 23:43:36;1218,242;5,817;1,080
2020/02/14 00:13:36;1225,708;5,797;1,056
