Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 01/02/2021
TIME       : 10:21:52
FILENAME   : C:\Users\nico_demaerteleire\Desktop\CSV\schoorbakkebrug_210201102152_T9283.CSV
CREATED BY : SWS Diver-Office 7.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..21-T9283  317.
  Instrument number       =                    
                          =0
  Location                =schoorbakkebrug
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     mS/cm
  Range                   =120,000   mS/cm


[Series settings]
  Serial number           =..21-T9283  317.
  Instrument number       =                    
  Location                =schoorbakkebrug
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =34:03:10 01/12/20
  End date / time         =34:03:10 26/01/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     mS/cm
  Range                   =120,000   mS/cm


Date/time;Druk[cm];Temperatuur[°C];1:Geleidbaarheid[mS/cm]
2020/12/01 10:03:34;1042,658;8,787;0,052
2020/12/01 10:33:34;1106,358;7,847;0,800
2020/12/01 11:03:34;1107,000;7,880;0,796
2020/12/01 11:33:34;1107,292;7,923;0,796
2020/12/01 12:03:34;1111,667;7,957;0,796
2020/12/01 12:33:34;1113,708;7,993;0,796
2020/12/01 13:03:34;1114,350;8,000;0,796
2020/12/01 13:33:34;1114,817;7,993;0,792
2020/12/01 14:03:34;1115,808;8,043;0,792
2020/12/01 14:33:34;1116,567;8,033;0,792
2020/12/01 15:03:34;1116,742;8,010;0,788
2020/12/01 15:33:34;1117,092;7,997;0,788
2020/12/01 16:03:34;1118,025;7,977;0,788
2020/12/01 16:33:34;1118,317;7,977;0,784
2020/12/01 17:03:34;1118,492;7,957;0,784
2020/12/01 17:33:34;1116,275;7,937;0,784
2020/12/01 18:03:34;1113,533;7,920;0,772
2020/12/01 18:33:34;1111,608;7,920;0,772
2020/12/01 19:03:34;1108,750;7,897;0,768
2020/12/01 19:33:34;1106,183;7,910;0,768
2020/12/01 20:03:34;1103,617;7,910;0,764
2020/12/01 20:33:34;1102,217;7,897;0,764
2020/12/01 21:03:34;1100,000;7,890;0,764
2020/12/01 21:33:34;1099,183;7,870;0,764
2020/12/01 22:03:34;1099,067;7,860;0,768
2020/12/01 22:33:34;1100,933;7,863;0,768
2020/12/01 23:03:34;1103,033;7,870;0,768
2020/12/01 23:33:34;1105,250;7,867;0,768
2020/12/02 00:03:34;1106,358;7,870;0,768
2020/12/02 00:33:34;1107,933;7,873;0,772
2020/12/02 01:03:34;1109,392;7,890;0,772
2020/12/02 01:33:34;1110,208;7,877;0,776
2020/12/02 02:03:34;1110,675;7,877;0,776
2020/12/02 02:33:34;1111,492;7,873;0,780
2020/12/02 03:03:34;1111,958;7,877;0,780
2020/12/02 03:33:34;1111,783;7,877;0,780
2020/12/02 04:03:34;1112,717;7,867;0,780
2020/12/02 04:33:34;1112,775;7,870;0,780
2020/12/02 05:03:34;1113,242;7,847;0,780
2020/12/02 05:33:34;1112,425;7,877;0,780
2020/12/02 06:03:34;1112,250;7,860;0,780
2020/12/02 06:33:34;1111,783;7,850;0,780
2020/12/02 07:03:34;1111,142;7,833;0,784
2020/12/02 07:33:34;1110,675;7,830;0,784
2020/12/02 08:03:34;1105,425;7,830;0,784
2020/12/02 08:33:34;1101,867;7,810;0,788
2020/12/02 09:03:34;1098,892;7,807;0,792
2020/12/02 09:33:34;1096,208;7,810;0,796
2020/12/02 10:03:34;1093,117;7,800;0,800
2020/12/02 10:33:34;1095,625;7,807;0,800
2020/12/02 11:03:34;1097,783;7,810;0,804
2020/12/02 11:33:34;1100,000;7,820;0,804
2020/12/02 12:03:34;1101,108;7,827;0,808
2020/12/02 12:33:34;1103,792;7,847;0,816
2020/12/02 13:03:34;1104,142;7,853;0,824
2020/12/02 13:33:34;1103,792;7,877;0,828
2020/12/02 14:03:34;1104,142;7,893;0,828
2020/12/02 14:33:34;1105,892;7,903;0,828
2020/12/02 15:03:34;1104,900;7,910;0,828
2020/12/02 15:33:34;1105,250;7,893;0,832
2020/12/02 16:03:34;1105,892;7,903;0,832
2020/12/02 16:33:34;1105,542;7,917;0,832
2020/12/02 17:03:34;1105,250;7,917;0,832
2020/12/02 17:33:34;1105,892;7,913;0,832
2020/12/02 18:03:34;1106,183;7,840;0,832
2020/12/02 18:33:34;1106,358;7,847;0,832
2020/12/02 19:03:34;1103,500;7,860;0,836
2020/12/02 19:33:34;1100,000;7,843;0,836
2020/12/02 20:03:34;1097,317;7,767;0,836
2020/12/02 20:33:34;1094,517;7,797;0,844
2020/12/02 21:03:34;1092,067;7,763;0,844
2020/12/02 21:33:34;1091,133;7,727;0,848
2020/12/02 22:03:34;1092,825;7,710;0,848
2020/12/02 22:33:34;1093,758;7,700;0,848
2020/12/02 23:03:34;1094,342;7,697;0,848
2020/12/02 23:33:34;1094,692;7,693;0,848
2020/12/03 00:03:34;1095,333;7,700;0,848
2020/12/03 00:33:34;1096,092;7,703;0,848
2020/12/03 01:03:34;1096,850;7,673;0,848
2020/12/03 01:33:34;1097,025;7,670;0,848
2020/12/03 02:03:34;1097,492;7,663;0,848
2020/12/03 02:33:34;1097,317;7,670;0,848
2020/12/03 03:03:34;1097,783;7,673;0,848
2020/12/03 03:33:34;1097,317;7,680;0,852
2020/12/03 04:03:34;1096,675;7,673;0,852
2020/12/03 04:33:34;1097,025;7,673;0,852
2020/12/03 05:03:34;1096,558;7,670;0,852
2020/12/03 05:33:34;1096,267;7,670;0,852
2020/12/03 06:03:34;1095,450;7,667;0,852
2020/12/03 06:33:34;1093,875;7,657;0,852
2020/12/03 07:03:34;1092,475;7,657;0,852
2020/12/03 07:33:34;1091,250;7,637;0,848
2020/12/03 08:03:34;1090,142;7,617;0,848
2020/12/03 08:33:34;1089,558;7,600;0,848
2020/12/03 09:03:34;1088,158;7,597;0,848
2020/12/03 09:33:34;1086,583;7,593;0,848
2020/12/03 10:03:34;1088,625;7,597;0,848
2020/12/03 10:33:34;1085,533;7,587;0,848
2020/12/03 11:03:34;1084,717;7,583;0,852
2020/12/03 11:33:34;1084,133;7,587;0,852
2020/12/03 12:03:34;1083,142;7,593;0,848
2020/12/03 12:33:34;1082,733;7,603;0,848
2020/12/03 13:03:34;1083,317;7,610;0,844
2020/12/03 13:33:34;1084,425;7,623;0,840
2020/12/03 14:03:34;1084,250;7,647;0,840
2020/12/03 14:33:34;1083,667;7,660;0,836
2020/12/03 15:03:34;1083,783;7,663;0,836
2020/12/03 15:33:34;1083,025;7,667;0,836
2020/12/03 16:03:34;1082,733;7,670;0,836
2020/12/03 16:33:34;1082,092;7,660;0,836
2020/12/03 17:03:34;1081,450;7,657;0,836
2020/12/03 17:33:34;1080,983;7,647;0,836
2020/12/03 18:03:34;1080,983;7,640;0,836
2020/12/03 18:33:34;1079,292;7,637;0,836
2020/12/03 19:03:34;1077,717;7,633;0,836
2020/12/03 19:33:34;1076,200;7,630;0,836
2020/12/03 20:03:34;1074,158;7,623;0,840
2020/12/03 20:33:34;1072,117;7,623;0,840
2020/12/03 21:03:34;1070,425;7,637;0,844
2020/12/03 21:33:34;1069,317;7,653;0,852
2020/12/03 22:03:34;1067,917;7,650;0,856
2020/12/03 22:33:34;1066,517;7,650;0,860
2020/12/03 23:03:34;1065,292;7,653;0,864
2020/12/03 23:33:34;1063,425;7,647;0,864
2020/12/04 00:03:34;1062,667;7,643;0,864
2020/12/04 00:33:34;1061,850;7,643;0,864
2020/12/04 01:03:34;1062,025;7,633;0,856
2020/12/04 01:33:34;1063,600;7,630;0,848
2020/12/04 02:03:34;1064,650;7,633;0,844
2020/12/04 02:33:34;1065,292;7,643;0,832
2020/12/04 03:03:34;1065,933;7,653;0,824
2020/12/04 03:33:34;1066,517;7,660;0,820
2020/12/04 04:03:34;1067,450;7,667;0,816
2020/12/04 04:33:34;1068,558;7,670;0,812
2020/12/04 05:03:34;1068,850;7,650;0,816
2020/12/04 05:33:34;1071,067;7,627;0,816
2020/12/04 06:03:34;1070,542;7,600;0,824
2020/12/04 06:33:34;1070,425;7,570;0,832
2020/12/04 07:03:34;1070,425;7,513;0,852
2020/12/04 07:33:34;1070,250;7,463;0,864
2020/12/04 08:03:34;1065,758;7,443;0,868
2020/12/04 08:33:34;1061,558;7,430;0,860
2020/12/04 09:03:34;1057,533;7,450;0,824
2020/12/04 09:33:34;1053,158;7,467;0,812
2020/12/04 10:03:34;1050,008;7,463;0,816
2020/12/04 10:33:34;1047,092;7,453;0,820
2020/12/04 11:03:34;1044,758;7,447;0,828
2020/12/04 11:33:34;1041,317;7,460;0,836
2020/12/04 12:03:34;1038,225;7,500;0,824
2020/12/04 12:33:34;1036,358;7,517;0,804
2020/12/04 13:03:34;1035,133;7,500;0,796
2020/12/04 13:33:34;1040,092;7,490;0,792
2020/12/04 14:03:34;1046,333;7,470;0,796
2020/12/04 14:33:34;1050,067;7,450;0,800
2020/12/04 15:03:34;1053,567;7,433;0,796
2020/12/04 15:33:34;1057,650;7,417;0,792
2020/12/04 16:03:34;1061,383;7,400;0,784
2020/12/04 16:33:34;1064,067;7,380;0,772
2020/12/04 17:03:34;1067,450;7,350;0,764
2020/12/04 17:33:34;1069,608;7,320;0,756
2020/12/04 18:03:34;1072,000;7,283;0,752
2020/12/04 18:33:34;1072,875;7,263;0,748
2020/12/04 19:03:34;1069,142;7,223;0,748
2020/12/04 19:33:34;1065,117;7,213;0,752
2020/12/04 20:03:34;1060,917;7,210;0,752
2020/12/04 20:33:34;1056,425;7,197;0,752
2020/12/04 21:03:34;1052,867;7,197;0,744
2020/12/04 21:33:34;1049,717;7,200;0,732
2020/12/04 22:03:34;1046,042;7,210;0,720
2020/12/04 22:33:34;1042,717;7,200;0,712
2020/12/04 23:03:34;1039,917;7,183;0,712
2020/12/04 23:33:34;1036,825;7,167;0,716
2020/12/05 00:03:34;1034,025;7,147;0,716
2020/12/05 00:33:34;1031,400;7,117;0,712
2020/12/05 01:03:34;1029,067;7,083;0,708
2020/12/05 01:33:34;1028,892;7,063;0,708
2020/12/05 02:03:34;1033,850;7,077;0,708
2020/12/05 02:33:34;1038,983;7,077;0,708
2020/12/05 03:03:34;1043,533;7,090;0,712
2020/12/05 03:33:34;1047,558;7,103;0,716
2020/12/05 04:03:34;1051,000;7,107;0,720
2020/12/05 04:33:34;1054,267;7,100;0,720
2020/12/05 05:03:34;1057,183;7,097;0,724
2020/12/05 05:33:34;1059,867;7,073;0,724
2020/12/05 06:03:34;1062,492;7,047;0,728
2020/12/05 06:33:34;1065,000;7,020;0,728
2020/12/05 07:03:34;1067,800;6,987;0,728
2020/12/05 07:33:34;1066,983;6,943;0,728
2020/12/05 08:03:34;1066,225;6,900;0,728
2020/12/05 08:33:34;1065,000;6,900;0,728
2020/12/05 09:03:34;1063,892;6,917;0,728
2020/12/05 09:33:34;1063,250;6,927;0,724
2020/12/05 10:03:34;1061,267;6,930;0,720
2020/12/05 10:33:34;1059,867;6,940;0,712
2020/12/05 11:03:34;1058,933;6,947;0,708
2020/12/05 11:33:34;1059,692;6,950;0,700
2020/12/05 12:03:34;1060,742;6,960;0,692
2020/12/05 12:33:34;1060,800;6,980;0,684
2020/12/05 13:03:34;1059,400;6,993;0,676
2020/12/05 13:33:34;1058,292;7,000;0,668
2020/12/05 14:03:34;1059,983;7,003;0,660
2020/12/05 14:33:34;1064,533;6,990;0,656
2020/12/05 15:03:34;1067,450;6,990;0,656
2020/12/05 15:33:34;1070,250;6,977;0,652
2020/12/05 16:03:34;1072,292;6,977;0,648
2020/12/05 16:33:34;1074,450;6,967;0,648
2020/12/05 17:03:34;1076,200;6,953;0,644
2020/12/05 17:33:34;1077,717;6,940;0,644
2020/12/05 18:03:34;1079,000;6,907;0,640
2020/12/05 18:33:34;1080,225;6,870;0,640
2020/12/05 19:03:34;1081,625;6,830;0,636
2020/12/05 19:33:34;1081,333;6,813;0,636
2020/12/05 20:03:34;1081,450;6,853;0,636
2020/12/05 20:33:34;1080,692;6,800;0,636
2020/12/05 21:03:34;1079,467;6,753;0,632
2020/12/05 21:33:34;1079,117;6,750;0,632
2020/12/05 22:03:34;1076,317;6,757;0,632
2020/12/05 22:33:34;1073,983;6,750;0,632
2020/12/05 23:03:34;1072,292;6,753;0,632
2020/12/05 23:33:34;1070,600;6,743;0,632
2020/12/06 00:03:34;1068,558;6,740;0,632
2020/12/06 00:33:34;1066,983;6,733;0,628
2020/12/06 01:03:34;1067,800;6,713;0,628
2020/12/06 01:33:34;1071,183;6,690;0,628
2020/12/06 02:03:34;1073,867;6,667;0,628
2020/12/06 02:33:34;1075,558;6,660;0,628
2020/12/06 03:03:34;1078,358;6,653;0,628
2020/12/06 03:33:34;1079,758;6,610;0,624
2020/12/06 04:03:34;1080,692;6,593;0,624
2020/12/06 04:33:34;1082,267;6,573;0,624
