Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 09/03/2021
TIME       : 16:45:48
FILENAME   : E:\9maart21\CSV\blinker zeebrugge_210309164545_V6499.CSV
CREATED BY : SWS Diver-Office 6.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..13-V6499  317.
  Instrument number       =                    
                          =0
  Location                =blinker zeebrugge
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     mS/cm
  Range                   =120,000   mS/cm


[Series settings]
  Serial number           =..13-V6499  317.
  Instrument number       =                    
  Location                =blinker zeebrugge
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =38:14:11 05/06/20
  End date / time         =38:44:14 09/03/21
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     mS/cm
  Range                   =120,000   mS/cm


Date/time;Druk[cm];Temperatuur[°C];1:Geleidbaarheid[mS/cm]
2020/06/05 11:14:38;1014,775;14,027;0,156
2020/06/05 11:44:38;1063,600;16,993;7,700
2020/06/05 12:14:38;1064,417;17,070;7,740
2020/06/05 12:44:38;1065,408;17,043;7,744
2020/06/05 13:14:38;1063,600;17,043;7,748
2020/06/05 13:44:38;1064,242;16,997;7,772
2020/06/05 14:14:38;1065,117;16,880;7,696
2020/06/05 14:44:38;1066,283;16,877;7,688
2020/06/05 15:14:38;1067,450;16,877;7,716
2020/06/05 15:44:38;1067,800;16,940;7,724
2020/06/05 16:14:38;1068,617;16,883;7,712
2020/06/05 16:44:38;1069,608;16,800;7,708
2020/06/05 17:14:38;1070,133;16,733;7,712
2020/06/05 17:44:38;1070,075;16,983;7,752
2020/06/05 18:14:38;1069,783;16,957;7,752
2020/06/05 18:44:38;1069,783;16,953;7,748
2020/06/05 19:14:38;1046,917;16,780;7,864
2020/06/05 19:44:38;1064,942;17,083;7,416
2020/06/05 20:14:38;1066,925;17,037;7,392
2020/06/05 20:44:38;1067,567;16,937;7,336
2020/06/05 21:14:38;1067,567;16,760;7,272
2020/06/05 21:44:38;1068,617;16,667;7,252
2020/06/05 22:14:38;1068,617;16,647;7,268
2020/06/05 22:44:38;1067,275;16,630;7,288
2020/06/05 23:14:38;1067,275;16,720;7,364
2020/06/05 23:44:38;1068,442;16,697;7,404
2020/06/06 00:14:38;1068,092;16,667;7,428
2020/06/06 00:44:38;1068,267;16,603;7,444
2020/06/06 01:14:38;1069,083;16,487;7,316
2020/06/06 01:44:38;1069,083;16,210;7,132
2020/06/06 02:14:38;1069,083;16,247;7,096
2020/06/06 02:44:38;1068,617;16,253;7,084
2020/06/06 03:14:38;1069,433;16,243;7,048
2020/06/06 03:44:38;1069,608;16,180;6,964
2020/06/06 04:14:38;1069,783;16,150;6,936
2020/06/06 04:44:38;1069,958;16,107;6,872
2020/06/06 05:14:38;1069,608;16,090;6,864
2020/06/06 05:44:38;1070,600;16,053;6,796
2020/06/06 06:14:38;1070,425;15,960;6,760
2020/06/06 06:44:38;1070,425;15,950;6,732
2020/06/06 07:14:38;1061,092;15,973;6,716
2020/06/06 07:44:38;1068,267;16,400;7,660
2020/06/06 08:14:38;1069,900;16,410;7,224
2020/06/06 08:44:38;1068,792;16,457;7,520
2020/06/06 09:14:38;1068,617;16,503;7,532
2020/06/06 09:44:38;1069,083;16,640;7,580
2020/06/06 10:14:38;1069,608;16,790;7,616
2020/06/06 10:44:38;1069,783;16,867;7,632
2020/06/06 11:14:38;1068,442;17,047;7,660
2020/06/06 11:44:38;1069,433;17,093;7,660
2020/06/06 12:14:38;1069,783;17,030;7,564
2020/06/06 12:44:38;1070,600;17,093;7,556
2020/06/06 13:14:38;1070,250;17,060;7,356
2020/06/06 13:44:38;1070,600;17,077;7,364
2020/06/06 14:14:38;1071,592;17,123;7,144
2020/06/06 14:44:38;1071,300;17,220;6,804
2020/06/06 15:14:38;1071,417;17,263;6,820
2020/06/06 15:44:38;1071,300;17,003;6,736
2020/06/06 16:14:38;1072,058;16,960;6,684
2020/06/06 16:44:38;1071,767;16,907;6,656
2020/06/06 17:14:38;1072,292;16,887;6,652
2020/06/06 17:44:38;1072,583;16,873;6,660
2020/06/06 18:14:38;1072,583;16,790;6,664
2020/06/06 18:44:38;1072,467;16,733;6,672
2020/06/06 19:14:38;1073,108;16,737;6,704
2020/06/06 19:44:38;1072,933;16,673;6,724
2020/06/06 20:14:38;1072,758;16,667;6,748
2020/06/06 20:44:38;1073,283;16,613;6,732
2020/06/06 21:14:38;1072,467;16,563;6,728
2020/06/06 21:44:38;1072,758;16,500;6,712
2020/06/06 22:14:38;1073,633;16,413;6,688
2020/06/06 22:44:38;1074,100;16,387;6,680
2020/06/06 23:14:38;1074,275;16,347;6,668
2020/06/06 23:44:38;1074,450;16,277;6,664
2020/06/07 00:14:38;1074,742;16,277;6,652
2020/06/07 00:44:38;1074,625;16,213;6,620
2020/06/07 01:14:38;1075,092;16,140;6,588
2020/06/07 01:44:38;1075,267;16,113;6,568
2020/06/07 02:14:38;1075,967;16,067;6,544
2020/06/07 02:44:38;1076,783;16,060;6,524
2020/06/07 03:14:38;1076,783;15,967;6,528
2020/06/07 03:44:38;1076,958;16,030;6,552
2020/06/07 04:14:38;1077,308;15,993;6,544
2020/06/07 04:44:38;1077,600;15,937;6,464
2020/06/07 05:14:38;1078,125;15,797;6,468
2020/06/07 05:44:38;1078,592;15,760;6,464
2020/06/07 06:14:38;1078,767;15,723;6,484
2020/06/07 06:44:38;1079,292;15,730;6,492
2020/06/07 07:14:38;1079,817;15,753;6,516
2020/06/07 07:44:38;1080,108;15,737;6,520
2020/06/07 08:14:38;1075,617;15,787;7,008
2020/06/07 08:44:38;1072,292;15,950;7,032
2020/06/07 09:14:38;1071,942;16,123;7,040
2020/06/07 09:44:38;1073,283;16,107;7,040
2020/06/07 10:14:38;1074,275;16,213;7,040
2020/06/07 10:44:38;1076,083;16,380;7,068
2020/06/07 11:14:38;1076,433;16,440;7,092
2020/06/07 11:44:38;1074,625;16,587;7,124
2020/06/07 12:14:38;1074,100;16,733;7,148
2020/06/07 12:44:38;1076,142;16,953;7,184
2020/06/07 13:14:38;1077,133;17,063;7,216
2020/06/07 13:44:38;1077,133;17,300;7,260
2020/06/07 14:14:38;1077,950;17,300;7,288
2020/06/07 14:44:38;1078,942;17,290;7,292
2020/06/07 15:14:38;1078,592;17,320;7,300
2020/06/07 15:44:38;1078,125;17,323;6,964
2020/06/07 16:14:38;1078,475;17,203;7,260
2020/06/07 16:44:38;1079,292;17,310;7,284
2020/06/07 17:14:38;1079,758;17,150;7,236
2020/06/07 17:44:38;1079,933;17,070;6,816
2020/06/07 18:14:38;1080,808;16,953;7,096
2020/06/07 18:44:38;1080,925;16,917;7,196
2020/06/07 19:14:38;1081,625;16,870;7,180
2020/06/07 19:44:38;1081,975;16,850;7,176
2020/06/07 20:14:38;1082,267;16,793;7,168
2020/06/07 20:44:38;1082,617;16,687;7,144
2020/06/07 21:14:38;1082,617;16,660;7,140
2020/06/07 21:44:38;1083,317;16,567;7,124
2020/06/07 22:14:38;1083,608;16,560;7,116
2020/06/07 22:44:38;1083,783;16,520;7,108
2020/06/07 23:14:38;1084,425;16,490;7,116
2020/06/07 23:44:38;1084,600;16,470;7,112
2020/06/08 00:14:38;1084,600;16,393;7,080
2020/06/08 00:44:38;1084,950;16,317;7,044
2020/06/08 01:14:38;1084,950;16,303;7,044
2020/06/08 01:44:38;1085,475;16,300;7,040
2020/06/08 02:14:38;1085,475;16,297;7,040
2020/06/08 02:44:38;1085,942;16,283;7,024
2020/06/08 03:14:38;1085,942;16,210;7,024
2020/06/08 03:44:38;1085,825;16,167;6,988
2020/06/08 04:14:38;1085,942;16,273;7,056
2020/06/08 04:44:38;1086,467;16,213;6,992
2020/06/08 05:14:38;1086,292;16,253;7,044
2020/06/08 05:44:38;1086,642;16,043;6,920
2020/06/08 06:14:38;1086,817;16,033;6,860
2020/06/08 06:44:38;1086,992;16,000;6,820
2020/06/08 07:14:38;1087,283;16,010;6,636
2020/06/08 07:44:38;1087,633;15,977;6,892
2020/06/08 08:14:38;1087,983;15,960;6,824
2020/06/08 08:44:38;1072,817;16,000;6,916
2020/06/08 09:14:38;1084,658;16,200;7,104
2020/06/08 09:44:38;1086,117;16,183;7,076
2020/06/08 10:14:38;1085,475;16,133;7,048
2020/06/08 10:44:38;1083,958;16,167;7,112
2020/06/08 11:14:38;1086,467;16,193;7,060
2020/06/08 11:44:38;1086,467;16,133;7,068
2020/06/08 12:14:38;1083,958;16,117;7,068
2020/06/08 12:44:38;1083,608;16,110;7,116
2020/06/08 13:14:38;1085,125;16,097;7,096
2020/06/08 13:44:38;1085,650;16,083;7,120
2020/06/08 14:14:38;1084,775;16,037;7,092
2020/06/08 14:44:38;1086,292;16,030;7,112
2020/06/08 15:14:38;1086,467;16,040;7,132
2020/06/08 15:44:38;1086,292;16,023;7,112
2020/06/08 16:14:38;1086,467;15,977;6,988
2020/06/08 16:44:38;1086,467;15,990;7,124
2020/06/08 17:14:38;1086,642;15,943;7,112
2020/06/08 17:44:38;1086,467;15,923;7,120
2020/06/08 18:14:38;1087,108;15,937;7,128
2020/06/08 18:44:38;1086,642;15,907;7,016
2020/06/08 19:14:38;1087,108;15,850;7,112
2020/06/08 19:44:38;1087,108;15,807;7,120
2020/06/08 20:14:38;1087,283;15,803;7,100
2020/06/08 20:44:38;1087,458;15,763;7,060
2020/06/08 21:14:38;1087,633;15,747;7,064
2020/06/08 21:44:38;1087,633;15,723;7,068
2020/06/08 22:14:38;1087,808;15,680;7,048
2020/06/08 22:44:38;1087,925;15,647;7,032
2020/06/08 23:14:38;1087,633;15,673;7,036
2020/06/08 23:44:38;1088,625;15,647;7,052
2020/06/09 00:14:38;1088,450;15,637;7,052
2020/06/09 00:44:38;1088,625;15,650;7,052
2020/06/09 01:14:38;1088,625;15,653;7,020
2020/06/09 01:44:38;1088,800;15,590;6,856
2020/06/09 02:14:38;1088,625;15,583;7,004
2020/06/09 02:44:38;1088,450;15,593;6,976
2020/06/09 03:14:38;1088,450;15,543;6,988
2020/06/09 03:44:38;1088,450;15,530;6,888
2020/06/09 04:14:38;1088,275;15,513;6,732
2020/06/09 04:44:38;1088,275;15,503;6,940
2020/06/09 05:14:38;1088,975;15,510;6,888
2020/06/09 05:44:38;1088,800;15,530;6,848
2020/06/09 06:14:38;1088,975;15,573;6,932
2020/06/09 06:44:38;1089,150;15,510;6,956
2020/06/09 07:14:38;1089,150;15,470;6,952
2020/06/09 07:44:38;1089,325;15,443;6,908
2020/06/09 08:14:38;1089,442;15,337;6,896
2020/06/09 08:44:38;1089,617;15,160;6,692
2020/06/09 09:14:38;1089,442;15,077;6,568
2020/06/09 09:44:38;1089,442;15,113;6,320
2020/06/09 10:14:38;1089,442;15,167;6,388
2020/06/09 10:44:38;1089,617;15,183;6,148
2020/06/09 11:14:38;1089,442;15,237;6,028
2020/06/09 11:44:38;1089,617;15,647;5,996
2020/06/09 12:14:38;1089,442;15,870;6,012
2020/06/09 12:44:38;1089,617;16,100;5,860
2020/06/09 13:14:38;1089,150;16,313;6,188
2020/06/09 13:44:38;1089,150;16,460;6,264
2020/06/09 14:14:38;1089,150;16,890;5,904
2020/06/09 14:44:38;1089,267;17,127;6,388
2020/06/09 15:14:38;1089,092;17,183;6,236
2020/06/09 15:44:38;1088,800;17,307;6,508
2020/06/09 16:14:38;1088,625;17,347;6,404
2020/06/09 16:44:38;1088,800;17,403;6,616
2020/06/09 17:14:38;1088,450;17,420;6,680
2020/06/09 17:44:38;1088,275;17,337;6,636
2020/06/09 18:14:38;1088,100;17,270;6,696
2020/06/09 18:44:38;1087,925;17,213;6,680
2020/06/09 19:14:38;1088,450;17,150;6,372
2020/06/09 19:44:38;1088,450;17,000;6,208
2020/06/09 20:14:38;1088,275;16,887;6,256
2020/06/09 20:44:38;1088,450;16,720;6,252
2020/06/09 21:14:38;1088,275;16,593;6,204
2020/06/09 21:44:38;1088,275;16,510;6,208
2020/06/09 22:14:38;1088,625;16,283;6,112
2020/06/09 22:44:38;1088,275;16,157;6,532
2020/06/09 23:14:38;1088,450;16,073;6,048
2020/06/09 23:44:38;1088,275;16,077;6,220
2020/06/10 00:14:38;1087,925;16,077;6,488
2020/06/10 00:44:38;1087,808;16,107;6,528
2020/06/10 01:14:38;1087,808;16,110;6,004
2020/06/10 01:44:38;1087,808;16,147;6,164
2020/06/10 02:14:38;1087,808;16,140;6,220
2020/06/10 02:44:38;1087,108;16,073;6,544
2020/06/10 03:14:38;1087,283;15,880;6,456
2020/06/10 03:44:38;1087,108;15,690;6,368
2020/06/10 04:14:38;1087,283;15,510;5,952
2020/06/10 04:44:38;1087,283;15,433;6,192
2020/06/10 05:14:38;1087,108;15,343;6,132
2020/06/10 05:44:38;1086,817;15,247;6,060
2020/06/10 06:14:38;1086,817;15,193;5,888
2020/06/10 06:44:38;1086,292;15,190;5,988
2020/06/10 07:14:38;1086,467;15,220;5,868
2020/06/10 07:44:38;1086,467;15,290;5,964
2020/06/10 08:14:38;1086,117;15,387;5,956
2020/06/10 08:44:38;1086,117;15,473;5,944
2020/06/10 09:14:38;1086,117;15,623;5,956
2020/06/10 09:44:38;1085,942;15,823;5,960
2020/06/10 10:14:38;1085,475;16,243;5,984
2020/06/10 10:44:38;1085,300;16,030;5,760
2020/06/10 11:14:38;1084,775;17,077;6,068
2020/06/10 11:44:38;1084,483;17,050;6,096
2020/06/10 12:14:38;1084,775;17,150;5,980
2020/06/10 12:44:38;1084,133;17,600;5,924
2020/06/10 13:14:38;1084,133;17,650;6,196
2020/06/10 13:44:38;1083,317;18,097;6,268
2020/06/10 14:14:38;1083,258;18,530;6,348
2020/06/10 14:44:38;1083,142;18,473;6,256
2020/06/10 15:14:38;1083,317;18,183;6,264
2020/06/10 15:44:38;1082,967;18,197;6,356
2020/06/10 16:14:38;1082,967;18,143;6,300
2020/06/10 16:44:38;1082,617;18,100;6,404
2020/06/10 17:14:38;1082,617;18,070;6,292
2020/06/10 17:44:38;1082,442;18,037;6,412
2020/06/10 18:14:38;1082,267;17,707;6,328
2020/06/10 18:44:38;1082,617;17,477;6,548
2020/06/10 19:14:38;1082,267;17,183;6,448
2020/06/10 19:44:38;1082,442;17,087;6,444
2020/06/10 20:14:38;1081,975;16,950;6,424
2020/06/10 20:44:38;1082,442;16,840;6,528
2020/06/10 21:14:38;1081,975;16,740;6,524
2020/06/10 21:44:38;1081,975;16,747;6,404
2020/06/10 22:14:38;1081,625;16,783;6,412
2020/06/10 22:44:38;1081,450;16,717;6,416
2020/06/10 23:14:38;1081,450;16,663;6,412
2020/06/10 23:44:38;1081,625;16,667;6,428
2020/06/11 00:14:38;1081,275;16,617;6,440
2020/06/11 00:44:38;1080,808;16,573;6,424
2020/06/11 01:14:38;1080,808;16,550;6,380
2020/06/11 01:44:38;1080,925;16,553;6,384
2020/06/11 02:14:38;1080,633;16,583;6,356
2020/06/11 02:44:38;1080,283;16,613;6,364
2020/06/11 03:14:38;1079,933;16,560;6,300
2020/06/11 03:44:38;1080,108;16,533;6,236
2020/06/11 04:14:38;1080,283;16,493;6,156
2020/06/11 04:44:38;1080,458;16,440;6,100
2020/06/11 05:14:38;1080,108;16,417;6,036
2020/06/11 05:44:38;1079,758;16,397;5,972
2020/06/11 06:14:38;1079,933;16,383;5,912
2020/06/11 06:44:38;1079,933;16,383;5,908
2020/06/11 07:14:38;1079,933;16,380;5,856
2020/06/11 07:44:38;1079,933;16,410;5,908
2020/06/11 08:14:38;1079,758;16,447;5,940
2020/06/11 08:44:38;1079,933;16,487;5,944
2020/06/11 09:14:38;1079,933;16,540;5,952
2020/06/11 09:44:38;1079,933;16,600;5,968
2020/06/11 10:14:38;1079,758;16,680;5,996
2020/06/11 10:44:38;1079,117;17,243;5,828
2020/06/11 11:14:38;1079,292;17,680;6,080
2020/06/11 11:44:38;1079,117;18,023;6,088
2020/06/11 12:14:38;1079,233;18,663;6,184
2020/06/11 12:44:38;1079,117;18,993;6,224
2020/06/11 13:14:38;1078,767;19,230;6,276
2020/06/11 13:44:38;1078,417;19,530;6,360
2020/06/11 14:14:38;1078,242;19,403;6,316
2020/06/11 14:44:38;1077,950;19,337;6,336
2020/06/11 15:14:38;1078,125;18,963;6,396
2020/06/11 15:44:38;1076,958;18,753;6,368
2020/06/11 16:14:38;1077,075;18,690;6,388
2020/06/11 16:44:38;1077,425;18,593;6,396
2020/06/11 17:14:38;1077,600;18,480;6,404
2020/06/11 17:44:38;1077,250;18,430;6,440
2020/06/11 18:14:38;1077,133;18,507;6,468
2020/06/11 18:44:38;1076,783;18,317;6,468
2020/06/11 19:14:38;1076,783;18,327;6,440
2020/06/11 19:44:38;1076,783;18,317;6,428
2020/06/11 20:14:38;1076,900;18,153;6,436
2020/06/11 20:44:38;1076,783;17,990;6,488
2020/06/11 21:14:38;1076,958;17,857;6,476
2020/06/11 21:44:38;1076,958;17,770;6,440
2020/06/11 22:14:38;1077,425;17,763;6,308
2020/06/11 22:44:38;1077,250;17,723;6,460
2020/06/11 23:14:38;1076,900;17,613;6,352
2020/06/11 23:44:38;1077,133;17,577;6,292
2020/06/12 00:14:38;1077,133;17,577;6,296
2020/06/12 00:44:38;1076,958;17,560;6,420
2020/06/12 01:14:38;1076,783;17,550;6,376
2020/06/12 01:44:38;1076,783;17,547;6,356
2020/06/12 02:14:38;1076,433;17,500;6,412
2020/06/12 02:44:38;1076,433;17,437;6,356
