Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 14/03/2022
TIME       : 15:10:52
FILENAME   : C:\Users\aquaman\AppData\Roaming\DiverOffice\Leopoldkanaal\CSV\akl Ramskapelle_220314151052_M4990.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..44-M4990  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =akl Ramskapelle
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..44-M4990  317.
  Instrument number       =          UTC+1     
  Location                =akl Ramskapelle
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =12:31:15 14/01/22
  End date / time         =12:01:09 22/02/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2022/01/14 15:31:12;1056,600;7,197;0,012
2022/01/14 16:01:12;1197,767;5,167;0,360
2022/01/14 16:31:12;1182,308;5,280;0,344
2022/01/14 17:01:12;1180,150;5,313;0,328
2022/01/14 17:31:12;1182,950;5,320;0,328
2022/01/14 18:01:12;1172,217;5,337;0,348
2022/01/14 18:31:12;1175,133;5,403;0,352
2022/01/14 19:01:12;1177,525;5,413;0,344
2022/01/14 19:31:12;1178,867;5,420;0,348
2022/01/14 20:01:12;1180,558;5,427;0,340
2022/01/14 20:31:12;1181,900;5,430;0,340
2022/01/14 21:01:12;1182,950;5,437;0,352
2022/01/14 21:31:12;1184,350;5,440;0,332
2022/01/14 22:01:12;1184,758;5,443;0,344
2022/01/14 22:31:12;1184,992;5,450;0,332
2022/01/14 23:01:12;1185,633;5,447;0,328
2022/01/14 23:31:12;1185,867;5,450;0,352
2022/01/15 00:01:12;1186,333;5,460;0,340
2022/01/15 00:31:12;1186,508;5,440;0,344
2022/01/15 01:01:12;1187,208;5,447;0,340
2022/01/15 01:31:12;1187,442;5,447;0,324
2022/01/15 02:01:12;1187,442;5,440;0,324
2022/01/15 02:31:12;1187,208;5,443;0,328
2022/01/15 03:01:12;1187,850;5,440;0,324
2022/01/15 03:31:12;1188,083;5,440;0,328
2022/01/15 04:01:12;1188,667;5,433;0,332
2022/01/15 04:31:12;1177,933;5,430;0,328
2022/01/15 05:01:12;1171,400;5,440;0,356
2022/01/15 05:31:12;1175,308;5,460;0,348
2022/01/15 06:01:12;1177,525;5,460;0,348
2022/01/15 06:31:12;1178,167;5,467;0,348
2022/01/15 07:01:12;1179,042;5,463;0,348
2022/01/15 07:31:12;1179,508;5,453;0,348
2022/01/15 08:01:12;1179,742;5,467;0,352
2022/01/15 08:31:12;1179,917;5,480;0,352
2022/01/15 09:01:12;1179,917;5,473;0,352
2022/01/15 09:31:12;1181,900;5,447;0,356
2022/01/15 10:01:12;1180,150;5,440;0,364
2022/01/15 10:31:12;1181,667;5,430;0,356
2022/01/15 11:01:12;1183,242;5,440;0,360
2022/01/15 11:31:12;1183,475;5,443;0,360
2022/01/15 12:01:12;1183,708;5,447;0,356
2022/01/15 12:31:12;1184,117;5,443;0,364
2022/01/15 13:01:12;1183,708;5,453;0,360
2022/01/15 13:31:12;1183,883;5,470;0,364
2022/01/15 14:01:12;1183,475;5,513;0,356
