Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 21/09/2023
TIME       : 09:07:59
FILENAME   : C:\Users\aquaman\Desktop\conductiviteit\CSV\sas slijkens_230921090759_V7000.CSV
CREATED BY : Diver-Office 12.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..19-V7000  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =sas slijkens
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..19-V7000  317.
  Instrument number       =          UTC+1     
  Location                =sas slijkens
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =10:30:10 29/08/22
  End date / time         =10:00:10 18/11/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2022/08/29 10:30:10;1045,692;16,347;0,540
2022/08/29 11:00:10;1421,358;22,810;13,696
2022/08/29 11:30:10;1422,467;22,790;13,168
2022/08/29 12:00:10;1422,933;22,840;15,024
2022/08/29 12:30:10;1422,292;22,840;14,344
2022/08/29 13:00:10;1420,892;22,683;13,900
2022/08/29 13:30:10;1421,358;22,730;15,200
2022/08/29 14:00:10;1421,358;22,807;15,008
2022/08/29 14:30:10;1423,108;22,853;14,468
2022/08/29 15:00:10;1422,817;22,860;13,752
2022/08/29 15:30:10;1422,350;22,860;14,784
2022/08/29 16:00:10;1422,000;22,840;15,080
2022/08/29 16:30:10;1421,825;22,870;13,816
2022/08/29 17:00:10;1421,358;22,870;13,780
2022/08/29 17:30:10;1421,008;22,843;14,712
2022/08/29 18:00:10;1422,292;22,843;14,780
2022/08/29 18:30:10;1422,467;22,857;14,436
2022/08/29 19:00:10;1421,825;22,850;14,652
2022/08/29 19:30:10;1421,358;22,843;14,724
2022/08/29 20:00:10;1420,892;22,820;14,780
2022/08/29 20:30:10;1421,358;22,807;14,484
2022/08/29 21:00:10;1422,000;22,790;14,884
2022/08/29 21:30:10;1422,175;22,807;14,132
2022/08/29 22:00:10;1422,000;22,803;13,904
2022/08/29 22:30:10;1422,000;22,787;13,972
2022/08/29 23:00:10;1421,825;22,723;12,764
2022/08/29 23:30:10;1421,008;22,747;13,028
2022/08/30 00:00:10;1421,067;22,750;12,948
2022/08/30 00:30:10;1421,183;22,740;13,348
2022/08/30 01:00:10;1421,008;22,737;13,384
2022/08/30 01:30:10;1420,892;22,717;12,960
