Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 15/03/2022
TIME       : 14:37:21
FILENAME   : C:\Users\aquaman\AppData\Roaming\DiverOffice\Nieuwpoort-Plassendale\CSV\Brugsevaart_220315143721_M4990.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..46-M4990  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =Brugsevaart
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..46-M4990  317.
  Instrument number       =          UTC+1     
  Location                =Brugsevaart
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =14:22:11 07/03/22
  End date / time         =14:52:10 14/03/22
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2022/03/07 11:22:14;1048,433;7,973;0,000
2022/03/07 11:52:14;1179,217;6,493;0,968
2022/03/07 12:22:14;1178,342;6,550;1,028
2022/03/07 12:52:14;1177,350;6,607;1,016
2022/03/07 13:22:14;1176,242;6,657;1,024
2022/03/07 13:52:14;1176,358;6,717;1,016
2022/03/07 14:22:14;1176,067;6,750;1,032
2022/03/07 14:52:14;1176,008;6,827;1,068
2022/03/07 15:22:14;1176,358;6,867;1,064
2022/03/07 15:52:14;1175,542;6,930;1,064
2022/03/07 16:22:14;1175,308;6,940;1,080
2022/03/07 16:52:14;1174,492;6,993;1,088
2022/03/07 17:22:14;1173,383;6,993;1,084
2022/03/07 17:52:14;1173,150;6,973;1,088
2022/03/07 18:22:14;1173,558;6,933;1,068
2022/03/07 18:52:14;1173,150;6,920;1,064
2022/03/07 19:22:14;1172,917;6,803;1,040
2022/03/07 19:52:14;1172,508;6,753;1,020
2022/03/07 20:22:14;1172,042;6,720;1,020
2022/03/07 20:52:14;1171,342;6,687;1,016
2022/03/07 21:22:14;1171,808;6,633;1,012
2022/03/07 21:52:14;1171,750;6,587;1,008
2022/03/07 22:22:14;1171,575;6,537;1,004
2022/03/07 22:52:14;1171,575;6,543;1,008
2022/03/07 23:22:14;1170,933;6,423;0,996
2022/03/07 23:52:14;1170,000;6,370;0,988
2022/03/08 00:22:14;1169,592;6,370;0,988
2022/03/08 00:52:14;1169,592;6,330;0,980
2022/03/08 01:22:14;1169,592;6,260;0,976
2022/03/08 01:52:14;1169,767;6,227;0,972
2022/03/08 02:22:14;1169,358;6,220;0,968
2022/03/08 02:52:14;1168,308;6,187;0,968
2022/03/08 03:22:14;1168,308;6,163;0,964
2022/03/08 03:52:14;1167,667;6,157;0,964
2022/03/08 04:22:14;1167,667;6,063;0,960
2022/03/08 04:52:14;1167,667;6,077;0,964
2022/03/08 05:22:14;1166,967;6,023;0,960
2022/03/08 05:52:14;1166,733;6,040;0,960
2022/03/08 06:22:14;1166,325;5,993;0,956
2022/03/08 06:52:14;1165,683;5,940;0,956
2022/03/08 07:22:14;1165,217;5,943;0,956
2022/03/08 07:52:14;1165,450;5,900;0,960
2022/03/08 08:22:14;1165,217;5,890;0,956
2022/03/08 08:52:14;1165,158;5,873;0,952
2022/03/08 09:22:14;1165,858;5,867;0,952
2022/03/08 09:52:14;1164,575;5,943;0,960
2022/03/08 10:22:14;1164,983;5,980;0,968
2022/03/08 10:52:14;1165,392;6,003;0,976
2022/03/08 11:22:14;1164,283;6,040;0,968
2022/03/08 11:52:14;1163,467;6,103;0,964
2022/03/08 12:22:14;1163,642;6,370;1,040
2022/03/08 12:52:14;1163,233;6,420;1,052
2022/03/08 13:22:14;1162,358;6,483;1,060
2022/03/08 13:52:14;1162,358;6,523;1,056
2022/03/08 14:22:14;1162,533;6,673;1,064
2022/03/08 14:52:14;1162,125;6,720;1,060
2022/03/08 15:22:14;1161,775;6,613;1,060
