Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 08/12/2023
TIME       : 11:54:34
FILENAME   : C:\Users\simon_plaetinck\AppData\Roaming\DiverOffice\test\CSV\akl moerkerke_231208115433_V7166.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..25-V7166  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =akl moerkerke
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..25-V7166  317.
  Instrument number       =          UTC+1     
  Location                =akl moerkerke
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =58:18:10 17/02/23
  End date / time         =58:48:11 08/12/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2023/02/17 10:18:58;1043,183;19,687;0,028
2023/02/17 10:48:58;1155,183;8,030;0,616
2023/02/17 11:18:58;1156,233;8,043;0,616
2023/02/17 11:48:58;1156,408;8,057;0,620
2023/02/17 12:18:58;1157,225;8,097;0,620
2023/02/17 12:48:58;1155,942;8,157;0,620
2023/02/17 13:18:58;1156,117;8,237;0,620
2023/02/17 13:48:58;1156,408;8,290;0,624
2023/02/17 14:18:58;1156,408;8,323;0,624
2023/02/17 14:48:58;1157,108;8,403;0,624
2023/02/17 15:18:58;1158,742;8,433;0,624
2023/02/17 15:48:58;1157,867;8,490;0,628
2023/02/17 16:18:58;1158,450;8,533;0,628
2023/02/17 16:48:58;1158,625;8,577;0,628
2023/02/17 17:18:58;1158,625;8,600;0,632
2023/02/17 17:48:58;1159,325;8,593;0,632
2023/02/17 18:18:58;1153,608;8,590;0,632
2023/02/17 18:48:58;1150,517;8,550;0,628
2023/02/17 19:18:58;1149,758;8,543;0,628
2023/02/17 19:48:58;1150,342;8,543;0,624
2023/02/17 20:18:58;1150,925;8,530;0,624
2023/02/17 20:48:58;1151,975;8,530;0,624
2023/02/17 21:18:58;1152,383;8,530;0,624
2023/02/17 21:48:58;1153,550;8,537;0,624
2023/02/17 22:18:58;1153,783;8,540;0,620
2023/02/17 22:48:58;1154,017;8,610;0,624
2023/02/17 23:18:58;1154,483;8,603;0,624
2023/02/17 23:48:58;1154,600;8,610;0,624
2023/02/18 00:18:58;1154,425;8,613;0,624
2023/02/18 00:48:58;1154,308;8,597;0,624
2023/02/18 01:18:58;1153,433;8,610;0,624
2023/02/18 01:48:58;1153,900;8,663;0,624
2023/02/18 02:18:58;1153,433;8,670;0,624
2023/02/18 02:48:58;1153,725;8,677;0,624
2023/02/18 03:18:58;1153,317;8,693;0,624
2023/02/18 03:48:58;1153,025;8,703;0,624
2023/02/18 04:18:58;1153,900;8,703;0,624
2023/02/18 04:48:58;1153,900;8,693;0,624
2023/02/18 05:18:58;1153,725;8,720;0,624
2023/02/18 05:48:58;1154,483;8,747;0,624
2023/02/18 06:18:58;1154,775;8,757;0,624
2023/02/18 06:48:58;1154,367;8,757;0,624
2023/02/18 07:18:58;1154,600;8,750;0,624
2023/02/18 07:48:58;1154,658;8,740;0,624
2023/02/18 08:18:58;1155,067;8,727;0,624
2023/02/18 08:48:58;1154,775;8,730;0,624
2023/02/18 09:18:58;1155,183;8,743;0,624
2023/02/18 09:48:58;1155,533;8,753;0,628
2023/02/18 10:18:58;1155,358;8,763;0,628
2023/02/18 10:48:58;1155,358;8,787;0,628
2023/02/18 11:18:58;1155,942;8,813;0,628
2023/02/18 11:48:58;1156,233;8,833;0,628
2023/02/18 12:18:58;1156,525;8,863;0,628
2023/02/18 12:48:58;1156,408;8,910;0,628
2023/02/18 13:18:58;1156,700;8,953;0,632
2023/02/18 13:48:58;1156,233;9,023;0,632
2023/02/18 14:18:58;1157,867;9,107;0,636
2023/02/18 14:48:58;1158,158;9,170;0,636
2023/02/18 15:18:58;1157,867;9,210;0,636
2023/02/18 15:48:58;1158,800;9,240;0,636
