Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 17/02/2023
TIME       : 10:15:24
FILENAME   : C:\Users\aquaman\AppData\Roaming\DiverOffice\Leopoldkanaal\CSV\akl moerkerke_230217101524_V7166.CSV
CREATED BY : Diver-Office 12.0.2.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..20-V7166  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =akl moerkerke
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..20-V7166  317.
  Instrument number       =          UTC+1     
  Location                =akl moerkerke
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =11:06:13 18/11/22
  End date / time         =11:06:10 17/02/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2022/11/18 13:06:11;1023,933;12,063;0,004
2022/11/18 13:36:11;1126,483;9,677;0,644
2022/11/18 14:06:11;1126,775;9,680;0,644
2022/11/18 14:36:11;1119,250;9,720;0,644
2022/11/18 15:06:11;1112,950;9,743;0,644
2022/11/18 15:36:11;1107,175;9,777;0,644
2022/11/18 16:06:11;1102,625;9,850;0,636
2022/11/18 16:36:11;1099,125;9,950;0,620
2022/11/18 17:06:11;1096,383;10,043;0,596
2022/11/18 17:36:11;1096,558;10,113;0,576
2022/11/18 18:06:11;1097,258;10,170;0,556
2022/11/18 18:36:11;1098,250;10,200;0,544
2022/11/18 19:06:11;1100,000;10,207;0,540
2022/11/18 19:36:11;1101,575;10,210;0,536
2022/11/18 20:06:11;1103,500;10,217;0,532
2022/11/18 20:36:11;1104,667;10,220;0,532
2022/11/18 21:06:11;1105,892;10,210;0,528
2022/11/18 21:36:11;1107,175;10,210;0,528
2022/11/18 22:06:11;1108,225;10,200;0,528
2022/11/18 22:36:11;1109,392;10,200;0,528
2022/11/18 23:06:11;1110,150;10,187;0,528
2022/11/18 23:36:11;1111,317;10,187;0,528
2022/11/19 00:06:11;1112,192;10,183;0,528
2022/11/19 00:36:11;1112,950;10,173;0,524
2022/11/19 01:06:11;1114,000;10,150;0,528
2022/11/19 01:36:11;1115,167;10,120;0,528
2022/11/19 02:06:11;1114,992;10,147;0,524
2022/11/19 02:36:11;1115,575;10,143;0,524
2022/11/19 03:06:11;1116,158;10,150;0,524
2022/11/19 03:36:11;1110,558;10,137;0,528
2022/11/19 04:06:11;1105,600;10,160;0,528
2022/11/19 04:36:11;1101,167;10,160;0,532
2022/11/19 05:06:11;1098,133;10,150;0,532
2022/11/19 05:36:11;1096,092;10,140;0,536
2022/11/19 06:06:11;1095,683;10,133;0,536
2022/11/19 06:36:11;1095,800;10,123;0,536
2022/11/19 07:06:11;1096,558;10,120;0,536
2022/11/19 07:36:11;1097,667;10,110;0,536
2022/11/19 08:06:11;1098,833;10,100;0,536
2022/11/19 08:36:11;1100,292;10,080;0,532
2022/11/19 09:06:11;1101,575;10,067;0,532
2022/11/19 09:36:11;1102,800;10,037;0,528
2022/11/19 10:06:11;1103,792;10,013;0,524
2022/11/19 10:36:11;1104,958;9,997;0,524
2022/11/19 11:06:11;1106,183;9,977;0,520
2022/11/19 11:36:11;1106,883;9,950;0,520
2022/11/19 12:06:11;1107,758;9,917;0,516
2022/11/19 12:36:11;1108,692;9,903;0,516
2022/11/19 13:06:11;1109,567;9,893;0,516
2022/11/19 13:36:11;1110,558;9,883;0,512
2022/11/19 14:06:11;1111,492;9,873;0,512
2022/11/19 14:36:11;1112,483;9,857;0,508
2022/11/19 15:06:11;1112,775;9,843;0,508
2022/11/19 15:36:11;1113,067;9,833;0,508
