Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 08/03/2023
TIME       : 14:42:54
FILENAME   : C:\Users\simon_plaetinck\AppData\Roaming\DiverOffice\test\CSV\LK Rampskapelle_230308144254_V6997.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..25-V6997  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =LK Rampskapelle
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..25-V6997  317.
  Instrument number       =          UTC+1     
  Location                =LK Rampskapelle
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =48:57:09 17/02/23
  End date / time         =48:27:14 08/03/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2023/02/17 09:57:48;1049,775;18,960;1,260
2023/02/17 10:27:48;1193,042;7,117;1,188
2023/02/17 10:57:48;1194,442;7,100;1,188
2023/02/17 11:27:48;1196,192;7,117;1,184
2023/02/17 11:57:48;1196,658;7,153;1,184
2023/02/17 12:27:48;1196,833;7,193;1,176
2023/02/17 12:57:48;1196,833;7,323;1,180
2023/02/17 13:27:48;1197,533;7,400;1,188
2023/02/17 13:57:48;1198,117;7,270;1,188
2023/02/17 14:27:48;1198,350;7,167;1,184
2023/02/17 14:57:48;1200,158;7,330;1,184
2023/02/17 15:27:48;1201,092;7,270;1,184
2023/02/17 15:57:48;1201,325;7,613;1,188
2023/02/17 16:27:48;1201,967;7,323;1,184
2023/02/17 16:57:48;1190,417;7,570;1,204
2023/02/17 17:27:48;1182,950;7,553;1,224
2023/02/17 17:57:48;1191,408;7,660;1,272
2023/02/17 18:27:48;1191,058;7,647;1,320
2023/02/17 18:57:48;1193,683;7,660;1,316
2023/02/17 19:27:48;1195,025;7,640;1,316
2023/02/17 19:57:48;1196,833;7,637;1,316
2023/02/17 20:27:48;1197,417;7,653;1,312
2023/02/17 20:57:48;1197,417;7,707;1,308
2023/02/17 21:27:48;1197,533;7,673;1,312
2023/02/17 21:57:48;1199,167;7,683;1,308
2023/02/17 22:27:48;1200,158;7,667;1,312
2023/02/17 22:57:48;1200,508;7,743;1,304
2023/02/17 23:27:48;1200,567;7,687;1,308
2023/02/17 23:57:48;1201,033;7,643;1,312
2023/02/18 00:27:48;1201,150;7,667;1,316
2023/02/18 00:57:48;1200,800;7,670;1,296
2023/02/18 01:27:48;1201,500;7,677;1,308
2023/02/18 01:57:48;1201,675;7,680;1,316
2023/02/18 02:27:48;1202,142;7,683;1,316
2023/02/18 02:57:48;1202,375;7,680;1,312
2023/02/18 03:27:48;1202,317;7,693;1,308
2023/02/18 03:57:48;1202,900;7,697;1,308
2023/02/18 04:27:48;1202,200;7,680;1,308
2023/02/18 04:57:48;1202,317;7,677;1,312
2023/02/18 05:27:48;1202,492;7,670;1,316
2023/02/18 05:57:48;1186,158;7,923;1,316
2023/02/18 06:27:48;1183,650;7,890;1,332
2023/02/18 06:57:48;1192,400;7,950;1,296
2023/02/18 07:27:48;1192,225;7,953;1,292
2023/02/18 07:57:48;1192,575;7,977;1,284
2023/02/18 08:27:48;1193,683;7,973;1,284
2023/02/18 08:57:48;1195,025;7,960;1,280
2023/02/18 09:27:48;1195,725;7,970;1,284
2023/02/18 09:57:48;1194,733;7,963;1,284
2023/02/18 10:27:48;1195,550;7,973;1,288
2023/02/18 10:57:48;1196,425;7,990;1,288
2023/02/18 11:27:48;1197,008;7,970;1,288
2023/02/18 11:57:48;1197,767;7,980;1,288
2023/02/18 12:27:48;1198,817;7,970;1,288
2023/02/18 12:57:48;1199,517;8,093;1,292
2023/02/18 13:27:48;1199,517;8,157;1,292
2023/02/18 13:57:48;1199,692;8,230;1,300
2023/02/18 14:27:48;1200,392;8,327;1,304
2023/02/18 14:57:48;1200,683;8,347;1,308
2023/02/18 15:27:48;1200,800;8,387;1,308
2023/02/18 15:57:48;1201,675;8,460;1,316
2023/02/18 16:27:48;1202,200;8,477;1,316
2023/02/18 16:57:48;1202,317;8,480;1,316
2023/02/18 17:27:48;1185,108;8,480;1,308
2023/02/18 17:57:48;1176,067;8,390;1,312
2023/02/18 18:27:48;1190,592;8,387;1,324
2023/02/18 18:57:48;1192,050;8,393;1,340
2023/02/18 19:27:48;1193,567;8,403;1,352
2023/02/18 19:57:48;1194,383;8,397;1,360
2023/02/18 20:27:48;1195,550;8,397;1,360
2023/02/18 20:57:48;1194,733;8,420;1,356
2023/02/18 21:27:48;1194,092;8,440;1,344
2023/02/18 21:57:48;1194,908;8,450;1,340
2023/02/18 22:27:48;1195,725;8,450;1,352
2023/02/18 22:57:48;1195,550;8,440;1,352
2023/02/18 23:27:48;1196,425;8,423;1,368
2023/02/18 23:57:48;1197,242;8,417;1,368
2023/02/19 00:27:48;1197,883;8,420;1,368
2023/02/19 00:57:48;1197,883;8,420;1,360
2023/02/19 01:27:48;1198,583;8,423;1,364
2023/02/19 01:57:48;1199,225;8,450;1,372
2023/02/19 02:27:48;1199,925;8,467;1,360
2023/02/19 02:57:48;1200,392;8,467;1,356
2023/02/19 03:27:48;1200,683;8,463;1,356
2023/02/19 03:57:48;1201,558;8,453;1,356
2023/02/19 04:27:48;1201,558;8,457;1,352
2023/02/19 04:57:48;1202,550;8,453;1,348
2023/02/19 05:27:48;1203,483;8,460;1,252
2023/02/19 05:57:48;1186,625;8,473;1,372
2023/02/19 06:27:48;1177,758;8,573;1,372
2023/02/19 06:57:48;1193,975;8,583;1,352
2023/02/19 07:27:48;1196,192;8,580;1,356
2023/02/19 07:57:48;1197,708;8,577;1,256
2023/02/19 08:27:48;1199,108;8,583;1,288
2023/02/19 08:57:48;1200,333;8,580;1,292
2023/02/19 09:27:48;1200,800;8,580;1,324
2023/02/19 09:57:48;1201,208;8,600;1,360
2023/02/19 10:27:48;1201,558;8,600;1,360
2023/02/19 10:57:48;1203,658;8,593;1,356
2023/02/19 11:27:48;1204,300;8,603;1,368
2023/02/19 11:57:48;1204,183;8,633;1,368
2023/02/19 12:27:48;1205,058;8,650;1,376
2023/02/19 12:57:48;1205,992;8,697;1,368
2023/02/19 13:27:48;1207,042;8,707;1,380
2023/02/19 13:57:48;1206,983;8,733;1,384
2023/02/19 14:27:48;1208,267;8,720;1,388
2023/02/19 14:57:48;1209,142;8,733;1,392
2023/02/19 15:27:48;1209,608;8,763;1,384
2023/02/19 15:57:48;1209,783;8,770;1,384
2023/02/19 16:27:48;1210,425;8,787;1,384
2023/02/19 16:57:48;1210,775;8,780;1,384
2023/02/19 17:27:48;1211,358;8,783;1,392
2023/02/19 17:57:48;1199,400;8,793;1,392
2023/02/19 18:27:48;1187,033;8,843;1,408
2023/02/19 18:57:48;1200,508;8,830;1,368
2023/02/19 19:27:48;1202,200;8,883;1,384
2023/02/19 19:57:48;1202,900;8,843;1,372
2023/02/19 20:27:48;1204,358;8,803;1,376
2023/02/19 20:57:48;1205,058;8,767;1,364
2023/02/19 21:27:48;1204,650;8,770;1,376
2023/02/19 21:57:48;1205,000;8,770;1,372
2023/02/19 22:27:48;1205,642;8,737;1,376
2023/02/19 22:57:48;1206,108;8,720;1,372
2023/02/19 23:27:48;1206,342;8,710;1,368
2023/02/19 23:57:48;1206,517;8,727;1,368
2023/02/20 00:27:48;1207,625;8,743;1,348
2023/02/20 00:57:48;1207,800;8,697;1,356
2023/02/20 01:27:48;1207,625;8,670;1,308
2023/02/20 01:57:48;1207,450;8,687;1,360
2023/02/20 02:27:48;1207,975;8,713;1,376
2023/02/20 02:57:48;1208,150;8,663;1,304
2023/02/20 03:27:48;1207,975;8,663;1,332
2023/02/20 03:57:48;1208,383;8,640;1,348
2023/02/20 04:27:48;1208,733;8,643;1,352
2023/02/20 04:57:48;1209,025;8,617;1,344
2023/02/20 05:27:48;1209,608;8,613;1,352
2023/02/20 05:57:48;1209,958;8,637;1,372
2023/02/20 06:27:48;1190,242;8,580;1,396
2023/02/20 06:57:48;1195,200;8,560;1,280
2023/02/20 07:27:48;1197,708;8,563;1,244
2023/02/20 07:57:48;1200,042;8,553;1,216
2023/02/20 08:27:48;1201,383;8,557;1,216
