Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 08/12/2023
TIME       : 09:39:58
FILENAME   : C:\Users\simon_plaetinck\AppData\Roaming\DiverOffice\test\CSV\CLEMENSHEULE_231208093958_M4998.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..48-M4998  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =CLEMENSHEULE
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..48-M4998  317.
  Instrument number       =          UTC+1     
  Location                =CLEMENSHEULE
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =49:08:11 15/02/23
  End date / time         =49:08:09 08/12/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2023/02/15 11:08:49;1048,492;10,447;0,004
2023/02/15 11:38:49;1225,650;7,067;26,160
2023/02/15 12:08:49;1225,417;7,083;23,764
2023/02/15 12:38:49;1225,708;7,090;22,736
2023/02/15 13:08:49;1225,417;7,073;23,112
2023/02/15 13:38:49;1225,183;7,130;22,820
2023/02/15 14:08:49;1213,400;6,213;2,032
2023/02/15 14:38:49;1205,642;6,477;2,000
2023/02/15 15:08:49;1199,050;6,583;2,012
2023/02/15 15:38:49;1199,050;6,677;2,080
2023/02/15 16:08:49;1199,575;6,823;2,084
2023/02/15 16:38:49;1200,625;6,903;2,032
2023/02/15 17:08:49;1201,792;6,963;2,020
2023/02/15 17:38:49;1202,725;6,993;2,012
2023/02/15 18:08:49;1204,067;6,983;1,996
2023/02/15 18:38:49;1205,000;6,960;1,976
2023/02/15 19:08:49;1205,642;6,927;2,008
2023/02/15 19:38:49;1206,342;6,883;1,996
2023/02/15 20:08:49;1207,217;6,830;2,004
2023/02/15 20:38:49;1207,683;6,810;1,964
2023/02/15 21:08:49;1208,150;6,750;1,980
2023/02/15 21:38:49;1208,850;6,700;1,944
2023/02/15 22:08:49;1209,492;6,677;1,948
2023/02/15 22:38:49;1209,958;6,630;1,936
2023/02/15 23:08:49;1210,425;6,600;1,948
2023/02/15 23:38:49;1210,658;6,540;1,952
2023/02/16 00:08:49;1211,358;6,503;1,940
2023/02/16 00:38:49;1211,358;6,447;1,944
2023/02/16 01:08:49;1211,475;6,423;1,972
2023/02/16 01:38:49;1212,000;6,393;1,980
2023/02/16 02:08:49;1212,467;6,377;1,968
2023/02/16 02:38:49;1212,467;6,350;1,956
2023/02/16 03:08:49;1212,700;6,350;2,000
2023/02/16 03:38:49;1212,700;6,347;2,004
2023/02/16 04:08:49;1213,108;6,353;2,100
2023/02/16 04:38:49;1213,167;6,363;2,668
2023/02/16 05:08:49;1213,808;6,370;3,124
2023/02/16 05:38:49;1213,808;6,363;3,868
2023/02/16 06:08:49;1214,042;6,390;5,324
2023/02/16 06:38:49;1214,742;6,390;5,512
2023/02/16 07:08:49;1215,442;6,393;6,500
2023/02/16 07:38:49;1215,675;6,400;5,508
2023/02/16 08:08:49;1215,908;6,413;7,140
2023/02/16 08:38:49;1216,083;6,440;8,724
2023/02/16 09:08:49;1216,550;6,430;9,648
2023/02/16 09:38:49;1217,017;6,430;8,020
2023/02/16 10:08:49;1216,783;6,447;7,644
2023/02/16 10:38:49;1217,483;6,460;8,548
2023/02/16 11:08:49;1217,483;6,497;7,720
2023/02/16 11:38:49;1217,950;6,543;7,772
2023/02/16 12:08:49;1217,717;6,597;11,556
2023/02/16 12:38:49;1217,483;6,610;10,184
2023/02/16 13:08:49;1217,017;6,623;11,356
2023/02/16 13:38:49;1216,783;6,603;11,104
2023/02/16 14:08:49;1216,317;6,613;12,692
2023/02/16 14:38:49;1216,317;6,660;12,540
2023/02/16 15:08:49;1215,908;6,743;15,212
2023/02/16 15:38:49;1215,908;6,877;11,600
2023/02/16 16:08:49;1215,908;6,900;12,108
2023/02/16 16:38:49;1216,083;6,900;13,288
2023/02/16 17:08:49;1216,317;6,933;14,024
2023/02/16 17:38:49;1216,317;6,977;14,212
2023/02/16 18:08:49;1216,317;7,047;14,164
2023/02/16 18:38:49;1216,083;7,053;15,408
2023/02/16 19:08:49;1216,783;7,077;15,796
2023/02/16 19:38:49;1216,667;7,087;17,364
2023/02/16 20:08:49;1216,317;7,113;18,692
2023/02/16 20:38:49;1216,433;7,227;15,652
2023/02/16 21:08:49;1216,317;7,203;17,216
2023/02/16 21:38:49;1216,083;7,230;17,776
2023/02/16 22:08:49;1216,317;7,250;19,124
2023/02/16 22:38:49;1216,317;7,273;19,348
2023/02/16 23:08:49;1216,783;7,330;17,852
2023/02/16 23:38:49;1216,842;7,353;17,136
2023/02/17 00:08:49;1217,308;7,360;19,136
2023/02/17 00:38:49;1217,483;7,407;20,024
2023/02/17 01:08:49;1217,308;7,420;20,380
2023/02/17 01:38:49;1217,250;7,477;18,564
2023/02/17 02:08:49;1216,842;7,490;19,184
2023/02/17 02:38:49;1217,017;7,480;20,496
2023/02/17 03:08:49;1216,783;7,517;20,184
2023/02/17 03:38:49;1216,783;7,527;19,640
2023/02/17 04:08:49;1216,842;7,550;20,304
2023/02/17 04:38:49;1217,075;7,563;20,564
2023/02/17 05:08:49;1217,483;7,610;21,556
2023/02/17 05:38:49;1217,717;7,670;20,340
2023/02/17 06:08:49;1217,250;7,677;20,968
2023/02/17 06:38:49;1217,250;7,653;21,056
2023/02/17 07:08:49;1217,017;7,643;21,228
2023/02/17 07:38:49;1217,017;7,670;22,772
2023/02/17 08:08:49;1217,017;7,667;20,688
2023/02/17 08:38:49;1217,017;7,673;23,196
2023/02/17 09:08:49;1217,250;7,803;21,064
2023/02/17 09:38:49;1217,308;7,837;21,980
2023/02/17 10:08:49;1217,250;7,857;21,996
2023/02/17 10:38:49;1217,250;7,873;21,960
2023/02/17 11:08:49;1217,950;7,910;18,972
2023/02/17 11:38:49;1218,242;8,090;17,524
2023/02/17 12:08:49;1218,008;8,503;8,872
2023/02/17 12:38:49;1217,542;8,563;5,084
2023/02/17 13:08:49;1217,250;8,470;8,052
2023/02/17 13:38:49;1217,017;8,530;8,664
2023/02/17 14:08:49;1218,242;8,620;7,252
2023/02/17 14:38:49;1218,242;9,100;4,076
2023/02/17 15:08:49;1218,708;9,313;3,176
2023/02/17 15:38:49;1218,008;9,300;3,216
2023/02/17 16:08:49;1217,950;9,267;3,960
2023/02/17 16:38:49;1218,008;9,033;5,068
2023/02/17 17:08:49;1218,358;9,060;5,676
2023/02/17 17:38:49;1219,292;9,127;6,572
2023/02/17 18:08:49;1219,525;9,460;5,096
2023/02/17 18:38:49;1220,283;9,563;3,696
2023/02/17 19:08:49;1220,867;9,467;3,284
2023/02/17 19:38:49;1221,625;9,367;3,096
2023/02/17 20:08:49;1222,092;9,297;4,168
2023/02/17 20:38:49;1222,325;9,257;4,504
2023/02/17 21:08:49;1222,675;9,267;4,620
2023/02/17 21:38:49;1222,792;9,250;5,244
2023/02/17 22:08:49;1223,433;9,230;5,996
2023/02/17 22:38:49;1223,667;9,250;7,760
2023/02/17 23:08:49;1223,608;9,333;7,832
2023/02/17 23:38:49;1223,900;9,430;9,796
2023/02/18 00:08:49;1224,133;9,417;8,736
2023/02/18 00:38:49;1223,667;9,457;9,732
2023/02/18 01:08:49;1224,133;9,450;8,056
2023/02/18 01:38:49;1224,367;9,410;8,144
2023/02/18 02:08:49;1224,133;9,380;7,964
2023/02/18 02:38:49;1224,367;9,357;8,264
2023/02/18 03:08:49;1224,367;9,343;9,364
2023/02/18 03:38:49;1224,308;9,327;10,212
2023/02/18 04:08:49;1223,900;9,493;3,916
2023/02/18 04:38:49;1223,433;9,630;2,724
2023/02/18 05:08:49;1223,258;9,640;2,584
2023/02/18 05:38:49;1222,792;9,630;2,524
2023/02/18 06:08:49;1222,792;9,587;7,480
2023/02/18 06:38:49;1222,092;9,543;7,752
2023/02/18 07:08:49;1222,092;9,553;2,992
2023/02/18 07:38:49;1221,800;9,533;2,488
2023/02/18 08:08:49;1221,158;9,447;2,312
2023/02/18 08:38:49;1221,625;9,437;4,508
2023/02/18 09:08:49;1221,158;9,417;4,736
2023/02/18 09:38:49;1221,858;9,407;2,392
2023/02/18 10:08:49;1221,392;9,420;3,660
2023/02/18 10:38:49;1220,983;9,447;2,580
2023/02/18 11:08:49;1220,983;9,480;2,320
2023/02/18 11:38:49;1221,625;9,513;2,272
2023/02/18 12:08:49;1220,750;9,550;2,256
2023/02/18 12:38:49;1220,283;9,603;2,232
2023/02/18 13:08:49;1220,283;9,697;2,172
2023/02/18 13:38:49;1219,292;9,800;2,200
2023/02/18 14:08:49;1218,883;9,767;2,512
2023/02/18 14:38:49;1219,117;9,893;2,480
2023/02/18 15:08:49;1218,533;10,203;2,272
2023/02/18 15:38:49;1218,242;10,063;3,796
2023/02/18 16:08:49;1217,775;10,033;3,536
2023/02/18 16:38:49;1218,008;10,263;2,476
2023/02/18 17:08:49;1218,475;10,130;4,092
2023/02/18 17:38:49;1218,008;10,073;5,520
2023/02/18 18:08:49;1218,008;10,050;4,480
2023/02/18 18:38:49;1218,475;10,150;3,376
2023/02/18 19:08:49;1218,008;10,067;5,516
2023/02/18 19:38:49;1218,242;10,140;4,564
2023/02/18 20:08:49;1218,242;10,220;2,680
2023/02/18 20:38:49;1217,775;10,233;2,476
2023/02/18 21:08:49;1216,842;10,193;2,524
2023/02/18 21:38:49;1216,667;10,167;2,400
2023/02/18 22:08:49;1216,200;10,147;2,352
2023/02/18 22:38:49;1216,433;10,157;2,304
2023/02/18 23:08:49;1216,200;10,117;2,292
2023/02/18 23:38:49;1215,733;10,070;2,320
2023/02/19 00:08:49;1215,500;10,047;3,672
2023/02/19 00:38:49;1215,267;10,037;2,716
2023/02/19 01:08:49;1215,033;10,020;2,380
2023/02/19 01:38:49;1215,033;9,983;2,328
2023/02/19 02:08:49;1215,500;9,937;3,044
2023/02/19 02:38:49;1215,033;9,870;3,692
2023/02/19 03:08:49;1215,733;9,847;4,764
2023/02/19 03:38:49;1215,267;9,797;3,852
2023/02/19 04:08:49;1215,033;9,773;5,084
2023/02/19 04:38:49;1215,267;9,740;5,440
2023/02/19 05:08:49;1215,267;9,700;4,900
2023/02/19 05:38:49;1215,733;9,673;5,556
2023/02/19 06:08:49;1215,500;9,670;6,004
2023/02/19 06:38:49;1216,200;9,640;6,368
2023/02/19 07:08:49;1216,200;9,607;6,536
2023/02/19 07:38:49;1216,200;9,620;7,620
2023/02/19 08:08:49;1216,667;9,610;7,968
2023/02/19 08:38:49;1217,075;9,577;9,152
2023/02/19 09:08:49;1217,775;9,550;8,712
2023/02/19 09:38:49;1218,125;9,533;8,324
2023/02/19 10:08:49;1218,708;9,517;9,052
2023/02/19 10:38:49;1218,708;9,497;7,724
2023/02/19 11:08:49;1219,117;9,497;9,492
2023/02/19 11:38:49;1219,817;9,500;8,644
2023/02/19 12:08:49;1220,050;9,497;8,764
2023/02/19 12:38:49;1220,050;9,483;7,148
2023/02/19 13:08:49;1220,750;9,480;7,452
2023/02/19 13:38:49;1221,158;9,480;7,692
2023/02/19 14:08:49;1221,858;9,480;7,680
2023/02/19 14:38:49;1222,092;9,500;8,364
2023/02/19 15:08:49;1222,325;9,487;8,852
2023/02/19 15:38:49;1222,325;9,490;8,992
2023/02/19 16:08:49;1222,558;9,497;9,632
2023/02/19 16:38:49;1222,792;9,480;9,560
2023/02/19 17:08:49;1223,025;9,480;10,444
2023/02/19 17:38:49;1223,025;9,480;10,772
2023/02/19 18:08:49;1223,258;9,473;10,452
2023/02/19 18:38:49;1223,375;9,460;11,788
2023/02/19 19:08:49;1223,667;9,487;11,456
2023/02/19 19:38:49;1223,900;9,493;12,824
2023/02/19 20:08:49;1223,667;9,510;13,516
2023/02/19 20:38:49;1223,667;9,523;14,176
2023/02/19 21:08:49;1224,075;9,533;13,664
2023/02/19 21:38:49;1224,075;9,530;14,404
2023/02/19 22:08:49;1224,367;9,523;14,320
2023/02/19 22:38:49;1224,367;9,523;15,088
2023/02/19 23:08:49;1224,133;9,513;15,180
2023/02/19 23:38:49;1224,600;9,503;14,688
2023/02/20 00:08:49;1224,133;9,493;15,188
2023/02/20 00:38:49;1224,367;9,510;15,488
2023/02/20 01:08:49;1223,900;9,500;14,884
2023/02/20 01:38:49;1223,900;9,497;13,720
2023/02/20 02:08:49;1223,258;9,477;14,104
2023/02/20 02:38:49;1222,908;9,470;14,796
2023/02/20 03:08:49;1222,558;9,457;15,352
2023/02/20 03:38:49;1222,325;9,443;14,656
2023/02/20 04:08:49;1222,558;9,440;15,396
2023/02/20 04:38:49;1222,325;9,440;16,196
2023/02/20 05:08:49;1222,092;9,423;15,880
2023/02/20 05:38:49;1222,033;9,403;15,956
2023/02/20 06:08:49;1222,033;9,400;15,272
2023/02/20 06:38:49;1222,325;9,370;14,368
2023/02/20 07:08:49;1222,092;9,363;15,304
2023/02/20 07:38:49;1222,267;9,333;14,404
2023/02/20 08:08:49;1222,792;9,320;15,168
2023/02/20 08:38:49;1222,792;9,307;15,700
2023/02/20 09:08:49;1223,433;8,977;13,196
2023/02/20 09:38:49;1222,558;8,973;12,580
2023/02/20 10:08:49;1222,267;8,670;11,736
2023/02/20 10:38:49;1222,325;8,877;11,548
2023/02/20 11:08:49;1221,858;8,820;11,468
2023/02/20 11:38:49;1221,567;8,857;11,240
2023/02/20 12:08:49;1222,092;8,770;10,924
2023/02/20 12:38:49;1221,567;8,787;10,736
2023/02/20 13:08:49;1221,800;8,803;10,460
2023/02/20 13:38:49;1221,392;8,840;10,488
2023/02/20 14:08:49;1221,158;8,820;9,048
2023/02/20 14:38:49;1221,158;8,847;10,344
2023/02/20 15:08:49;1220,750;8,847;10,124
2023/02/20 15:38:49;1220,983;8,883;10,968
2023/02/20 16:08:49;1220,983;8,880;10,636
2023/02/20 16:38:49;1220,983;8,887;10,236
2023/02/20 17:08:49;1221,158;8,903;12,096
2023/02/20 17:38:49;1221,158;8,907;10,912
2023/02/20 18:08:49;1221,333;8,920;12,580
2023/02/20 18:38:49;1221,333;8,937;13,292
2023/02/20 19:08:49;1221,392;8,953;12,956
2023/02/20 19:38:49;1221,625;8,960;14,008
2023/02/20 20:08:49;1220,983;8,980;13,992
2023/02/20 20:38:49;1221,567;8,997;15,076
2023/02/20 21:08:49;1221,158;9,020;17,496
2023/02/20 21:38:49;1221,625;9,023;17,312
2023/02/20 22:08:49;1222,092;9,013;18,000
2023/02/20 22:38:49;1222,033;9,003;17,108
2023/02/20 23:08:49;1221,858;9,017;17,928
2023/02/20 23:38:49;1222,092;9,023;18,680
2023/02/21 00:08:49;1222,092;9,043;19,388
2023/02/21 00:38:49;1222,558;9,017;15,244
2023/02/21 01:08:49;1222,267;9,003;17,916
2023/02/21 01:38:49;1223,258;9,027;18,232
2023/02/21 02:08:49;1223,025;9,020;18,648
2023/02/21 02:38:49;1222,792;9,007;20,344
2023/02/21 03:08:49;1223,025;9,040;19,556
2023/02/21 03:38:49;1223,025;9,030;19,488
2023/02/21 04:08:49;1222,908;8,987;18,592
2023/02/21 04:38:49;1223,142;9,000;19,108
2023/02/21 05:08:49;1223,025;8,963;18,388
2023/02/21 05:38:49;1223,258;8,983;18,004
2023/02/21 06:08:49;1223,258;8,967;17,740
2023/02/21 06:38:49;1223,258;8,980;17,336
2023/02/21 07:08:49;1223,433;8,967;18,008
2023/02/21 07:38:49;1223,433;8,957;19,168
2023/02/21 08:08:49;1223,433;8,947;17,436
2023/02/21 08:38:49;1223,667;8,947;17,388
2023/02/21 09:08:49;1224,133;8,953;17,928
2023/02/21 09:38:49;1224,367;8,943;18,740
2023/02/21 10:08:49;1224,542;8,933;17,948
2023/02/21 10:38:49;1224,133;8,943;17,648
2023/02/21 11:08:49;1224,133;8,910;15,496
2023/02/21 11:38:49;1224,367;8,907;15,616
2023/02/21 12:08:49;1224,133;8,903;15,196
2023/02/21 12:38:49;1223,900;8,903;15,060
2023/02/21 13:08:49;1223,667;8,907;14,928
2023/02/21 13:38:49;1223,667;8,913;15,288
2023/02/21 14:08:49;1223,375;8,930;16,424
2023/02/21 14:38:49;1223,025;8,910;16,780
2023/02/21 15:08:49;1223,025;8,887;14,972
2023/02/21 15:38:49;1223,025;8,897;16,304
2023/02/21 16:08:49;1223,025;8,890;16,620
2023/02/21 16:38:49;1222,792;8,897;16,624
2023/02/21 17:08:49;1222,792;8,907;17,200
2023/02/21 17:38:49;1222,558;8,917;17,472
2023/02/21 18:08:49;1222,792;8,913;18,132
2023/02/21 18:38:49;1223,025;8,907;18,100
2023/02/21 19:08:49;1222,908;8,927;18,620
2023/02/21 19:38:49;1217,775;8,947;19,112
2023/02/21 20:08:49;1207,742;8,917;6,240
2023/02/21 20:38:49;1199,808;8,917;3,152
2023/02/21 21:08:49;1193,217;8,850;2,788
2023/02/21 21:38:49;1187,325;8,770;2,620
2023/02/21 22:08:49;1184,350;8,713;2,556
2023/02/21 22:38:49;1184,292;8,667;2,544
2023/02/21 23:08:49;1184,525;8,600;2,428
2023/02/21 23:38:49;1185,400;8,537;2,592
2023/02/22 00:08:49;1186,333;8,470;2,488
2023/02/22 00:38:49;1187,325;8,420;2,432
2023/02/22 01:08:49;1187,733;8,370;2,440
2023/02/22 01:38:49;1188,608;8,330;2,384
2023/02/22 02:08:49;1189,075;8,313;2,376
2023/02/22 02:38:49;1189,542;8,260;2,580
2023/02/22 03:08:49;1190,242;8,217;2,380
2023/02/22 03:38:49;1191,117;8,183;2,372
2023/02/22 04:08:49;1191,408;8,153;2,356
2023/02/22 04:38:49;1191,583;8,127;2,436
2023/02/22 05:08:49;1191,992;8,060;2,396
2023/02/22 05:38:49;1192,517;8,037;2,384
2023/02/22 06:08:49;1192,925;7,980;2,424
2023/02/22 06:38:49;1193,158;7,927;2,364
2023/02/22 07:08:49;1193,683;7,897;2,380
2023/02/22 07:38:49;1193,392;7,847;2,432
2023/02/22 08:08:49;1194,733;7,850;2,876
2023/02/22 08:38:49;1195,433;7,857;3,852
2023/02/22 09:08:49;1195,667;7,873;2,880
2023/02/22 09:38:49;1196,425;7,833;2,776
2023/02/22 10:08:49;1197,300;7,820;2,796
2023/02/22 10:38:49;1197,475;7,863;2,528
2023/02/22 11:08:49;1197,767;7,890;4,552
2023/02/22 11:38:49;1198,175;7,940;5,788
2023/02/22 12:08:49;1198,467;7,950;6,280
2023/02/22 12:38:49;1198,408;7,997;4,016
2023/02/22 13:08:49;1198,408;8,053;4,236
2023/02/22 13:38:49;1198,233;8,083;5,192
2023/02/22 14:08:49;1198,583;8,123;5,444
2023/02/22 14:38:49;1198,583;8,143;6,124
2023/02/22 15:08:49;1198,817;8,137;6,420
2023/02/22 15:38:49;1198,875;8,153;6,568
2023/02/22 16:08:49;1199,342;8,170;7,328
2023/02/22 16:38:49;1199,750;8,180;8,044
2023/02/22 17:08:49;1199,750;8,190;6,608
2023/02/22 17:38:49;1200,042;8,220;7,776
2023/02/22 18:08:49;1200,508;8,233;9,104
2023/02/22 18:38:49;1200,625;8,250;9,844
2023/02/22 19:08:49;1201,325;8,253;11,084
2023/02/22 19:38:49;1201,617;8,290;11,752
2023/02/22 20:08:49;1201,850;8,307;12,332
2023/02/22 20:38:49;1202,025;8,313;13,608
2023/02/22 21:08:49;1202,492;8,323;13,784
2023/02/22 21:38:49;1202,550;8,347;14,220
2023/02/22 22:08:49;1202,783;8,363;15,524
2023/02/22 22:38:49;1203,133;8,380;14,996
2023/02/22 23:08:49;1203,192;8,357;15,448
2023/02/22 23:38:49;1203,133;8,390;16,296
2023/02/23 00:08:49;1203,892;8,427;16,832
2023/02/23 00:38:49;1204,067;8,460;16,924
2023/02/23 01:08:49;1204,300;8,453;17,156
2023/02/23 01:38:49;1204,533;8,467;17,388
2023/02/23 02:08:49;1204,767;8,453;17,724
2023/02/23 02:38:49;1205,292;8,480;18,752
2023/02/23 03:08:49;1205,058;8,503;18,316
2023/02/23 03:38:49;1205,292;8,490;18,588
2023/02/23 04:08:49;1205,467;8,503;18,860
2023/02/23 04:38:49;1205,700;8,513;18,876
2023/02/23 05:08:49;1205,875;8,530;18,988
2023/02/23 05:38:49;1206,400;8,510;19,412
2023/02/23 06:08:49;1206,808;8,520;20,256
2023/02/23 06:38:49;1207,042;8,537;19,932
2023/02/23 07:08:49;1207,450;8,533;20,120
2023/02/23 07:38:49;1207,975;8,560;20,612
2023/02/23 08:08:49;1208,442;8,580;20,548
2023/02/23 08:38:49;1208,908;8,553;20,716
2023/02/23 09:08:49;1209,375;8,553;21,176
2023/02/23 09:38:49;1209,842;8,557;20,932
2023/02/23 10:08:49;1210,017;8,547;20,348
2023/02/23 10:38:49;1210,950;8,567;20,248
2023/02/23 11:08:49;1210,950;8,557;18,968
2023/02/23 11:38:49;1211,650;8,560;19,108
2023/02/23 12:08:49;1211,883;8,567;19,764
2023/02/23 12:38:49;1212,117;8,573;18,988
2023/02/23 13:08:49;1212,000;8,583;20,128
