Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 08/12/2023
TIME       : 09:15:41
FILENAME   : C:\Users\simon_plaetinck\AppData\Roaming\DiverOffice\test\CSV\Maertensas_231208091541_V7158.CSV
CREATED BY : Diver-Office 11.2.0.1
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..27-V7158  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =Maertensas
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..27-V7158  317.
  Instrument number       =          UTC+1     
  Location                =Maertensas
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =24:10:10 01/06/23
  End date / time         =24:10:09 08/12/23
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2023/06/01 10:10:24;1047,617;18,523;0,332
2023/06/01 10:40:24;1284,158;17,353;20,028
2023/06/01 11:10:24;1284,975;17,303;20,064
2023/06/01 11:40:24;1284,800;17,327;20,056
2023/06/01 12:10:24;1284,800;17,313;20,064
2023/06/01 12:40:24;1285,150;17,347;20,096
2023/06/01 13:10:24;1285,150;17,377;20,084
2023/06/01 13:40:24;1285,267;17,363;20,096
2023/06/01 14:10:24;1285,325;17,350;20,120
2023/06/01 14:40:24;1285,792;17,367;20,092
2023/06/01 15:10:24;1285,150;17,363;20,164
2023/06/01 15:40:24;1284,917;17,433;20,148
2023/06/01 16:10:24;1284,158;17,440;20,216
2023/06/01 16:40:24;1284,333;17,440;20,132
2023/06/01 17:10:24;1284,508;17,430;20,156
2023/06/01 17:40:24;1284,392;17,417;20,196
2023/06/01 18:10:24;1283,692;17,423;20,120
2023/06/01 18:40:24;1283,283;17,433;20,144
2023/06/01 19:10:24;1283,283;17,407;20,148
2023/06/01 19:40:24;1283,692;17,423;20,164
2023/06/01 20:10:24;1283,050;17,413;20,148
2023/06/01 20:40:24;1282,875;17,413;20,124
2023/06/01 21:10:24;1283,342;17,410;20,128
2023/06/01 21:40:24;1283,342;17,413;20,120
2023/06/01 22:10:24;1283,225;17,430;20,152
2023/06/01 22:40:24;1282,583;17,413;20,096
2023/06/01 23:10:24;1282,933;17,407;20,144
2023/06/01 23:40:24;1282,933;17,407;20,136
2023/06/02 00:10:24;1283,050;17,403;20,144
2023/06/02 00:40:24;1282,933;17,417;20,124
2023/06/02 01:10:24;1282,933;17,417;20,096
2023/06/02 01:40:24;1282,700;17,400;20,128
2023/06/02 02:10:24;1282,875;17,387;20,144
2023/06/02 02:40:24;1282,408;17,400;20,152
2023/06/02 03:10:24;1282,408;17,400;20,184
2023/06/02 03:40:24;1282,058;17,393;20,188
2023/06/02 04:10:24;1281,592;17,380;20,204
2023/06/02 04:40:24;1281,650;17,360;20,184
2023/06/02 05:10:24;1282,175;17,370;20,192
2023/06/02 05:40:24;1282,408;17,363;20,200
2023/06/02 06:10:24;1282,175;17,370;20,188
2023/06/02 06:40:24;1282,408;17,367;20,188
2023/06/02 07:10:24;1281,825;17,370;20,196
2023/06/02 07:40:24;1282,233;17,367;20,204
2023/06/02 08:10:24;1282,292;17,360;20,208
2023/06/02 08:40:24;1282,875;17,353;20,200
2023/06/02 09:10:24;1282,408;17,357;20,184
2023/06/02 09:40:24;1282,408;17,350;20,204
2023/06/02 10:10:24;1282,233;17,353;20,196
2023/06/02 10:40:24;1283,050;17,353;20,208
2023/06/02 11:10:24;1282,583;17,330;20,244
2023/06/02 11:40:24;1282,933;17,323;20,260
2023/06/02 12:10:24;1283,050;17,343;20,248
2023/06/02 12:40:24;1282,408;17,350;20,256
2023/06/02 13:10:24;1282,058;17,327;20,292
2023/06/02 13:40:24;1282,642;17,333;20,264
2023/06/02 14:10:24;1282,058;17,343;20,232
2023/06/02 14:40:24;1281,883;17,307;20,296
2023/06/02 15:10:24;1281,883;17,307;20,336
2023/06/02 15:40:24;1281,767;17,247;20,300
2023/06/02 16:10:24;1281,942;17,240;20,276
2023/06/02 16:40:24;1281,592;17,187;20,304
2023/06/02 17:10:24;1281,242;17,237;20,288
2023/06/02 17:40:24;1281,417;17,230;20,324
2023/06/02 18:10:24;1281,767;17,197;20,308
2023/06/02 18:40:24;1281,417;17,187;20,280
2023/06/02 19:10:24;1281,417;17,173;20,300
2023/06/02 19:40:24;1280,717;17,190;20,300
2023/06/02 20:10:24;1280,950;17,177;20,280
2023/06/02 20:40:24;1280,775;17,177;20,240
2023/06/02 21:10:24;1280,717;17,190;20,284
2023/06/02 21:40:24;1280,600;17,177;20,284
2023/06/02 22:10:24;1280,600;17,170;20,268
2023/06/02 22:40:24;1280,483;17,173;20,264
2023/06/02 23:10:24;1280,133;17,170;20,260
2023/06/02 23:40:24;1280,133;17,160;20,252
2023/06/03 00:10:24;1280,308;17,163;20,272
2023/06/03 00:40:24;1280,075;17,153;20,240
2023/06/03 01:10:24;1279,667;17,147;20,248
2023/06/03 01:40:24;1279,492;17,147;20,236
2023/06/03 02:10:24;1279,317;17,137;20,228
2023/06/03 02:40:24;1278,850;17,117;20,264
2023/06/03 03:10:24;1278,675;17,113;20,308
2023/06/03 03:40:24;1278,500;17,013;20,252
2023/06/03 04:10:24;1278,500;16,940;20,208
2023/06/03 04:40:24;1278,383;16,957;20,232
2023/06/03 05:10:24;1278,208;16,967;20,272
2023/06/03 05:40:24;1277,858;16,977;20,296
2023/06/03 06:10:24;1278,208;16,977;20,304
2023/06/03 06:40:24;1278,208;16,990;20,304
2023/06/03 07:10:24;1278,383;16,993;20,316
2023/06/03 07:40:24;1278,442;16,997;20,328
2023/06/03 08:10:24;1279,025;17,000;20,336
2023/06/03 08:40:24;1279,025;17,000;20,344
2023/06/03 09:10:24;1279,550;17,010;20,340
2023/06/03 09:40:24;1279,492;17,020;20,356
2023/06/03 10:10:24;1279,492;17,027;20,312
2023/06/03 10:40:24;1279,317;17,030;20,352
2023/06/03 11:10:24;1279,550;17,033;20,324
2023/06/03 11:40:24;1279,842;17,043;20,356
2023/06/03 12:10:24;1279,958;17,043;20,436
2023/06/03 12:40:24;1279,667;17,053;20,340
2023/06/03 13:10:24;1280,192;17,060;20,332
2023/06/03 13:40:24;1280,308;17,037;20,360
2023/06/03 14:10:24;1280,542;17,033;20,364
2023/06/03 14:40:24;1280,367;17,033;20,344
2023/06/03 15:10:24;1280,775;17,037;20,312
2023/06/03 15:40:24;1280,833;17,047;20,324
2023/06/03 16:10:24;1280,950;17,050;20,340
2023/06/03 16:40:24;1280,775;17,057;20,436
2023/06/03 17:10:24;1280,483;17,147;20,488
2023/06/03 17:40:24;1279,958;17,213;20,520
2023/06/03 18:10:24;1279,667;17,197;20,524
2023/06/03 18:40:24;1279,725;17,203;20,528
2023/06/03 19:10:24;1279,958;17,193;20,504
2023/06/03 19:40:24;1279,958;17,193;20,520
2023/06/03 20:10:24;1279,783;17,177;20,500
2023/06/03 20:40:24;1279,783;17,177;20,500
2023/06/03 21:10:24;1280,075;17,167;20,472
2023/06/03 21:40:24;1279,958;17,170;20,460
2023/06/03 22:10:24;1279,783;17,160;20,484
2023/06/03 22:40:24;1279,667;17,170;20,460
2023/06/03 23:10:24;1279,667;17,147;20,448
2023/06/03 23:40:24;1279,667;17,160;20,452
2023/06/04 00:10:24;1279,667;17,150;20,444
2023/06/04 00:40:24;1279,492;17,177;20,448
2023/06/04 01:10:24;1279,258;17,167;20,484
2023/06/04 01:40:24;1279,025;17,157;20,484
