"Plot Title: Nieuwpoort-Plassendale"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 20845000, SEN S/N: 20845000)","Temp, °C (LGR S/N: 20845000, SEN S/N: 20845000)","Coupler Detached (LGR S/N: 20845000)","Coupler Attached (LGR S/N: 20845000)","Host Connected (LGR S/N: 20845000)","End Of File (LGR S/N: 20845000)"
1,11/17/22 01:16:27 PM,121.5,11.65,,,,
2,11/17/22 01:16:51 PM,,,Logged,,,
3,11/17/22 01:46:27 PM,130.8,10.74,,,,
4,11/17/22 02:16:27 PM,130.8,10.73,,,,
5,11/17/22 02:46:27 PM,130.8,10.72,,,,
6,11/17/22 03:16:27 PM,132.2,10.74,,,,
7,11/17/22 03:46:27 PM,132.7,10.74,,,,
8,11/17/22 04:16:27 PM,132.2,10.75,,,,
9,11/17/22 04:46:27 PM,132.7,10.75,,,,
10,11/17/22 05:16:27 PM,132.2,10.74,,,,
11,11/17/22 05:46:27 PM,132.7,10.74,,,,
12,11/17/22 06:16:27 PM,132.7,10.74,,,,
13,11/17/22 06:46:27 PM,132.2,10.70,,,,
14,11/17/22 07:16:27 PM,131.3,10.68,,,,
15,11/17/22 07:46:27 PM,130.8,10.68,,,,
16,11/17/22 08:16:27 PM,129.9,10.67,,,,
17,11/17/22 08:46:27 PM,129.9,10.69,,,,
18,11/17/22 09:16:27 PM,129.9,10.67,,,,
19,11/17/22 09:46:27 PM,131.3,10.64,,,,
20,11/17/22 10:16:27 PM,131.3,10.64,,,,
21,11/17/22 10:46:27 PM,131.3,10.59,,,,
22,11/17/22 11:16:27 PM,129.9,10.58,,,,
23,11/17/22 11:46:27 PM,127.1,10.56,,,,
24,11/18/22 12:16:27 AM,122.4,10.55,,,,
25,11/18/22 12:46:27 AM,118.3,10.54,,,,
26,11/18/22 01:16:27 AM,117.3,10.55,,,,
27,11/18/22 01:46:27 AM,119.2,10.56,,,,
28,11/18/22 02:16:27 AM,119.7,10.54,,,,
29,11/18/22 02:46:27 AM,119.7,10.51,,,,
30,11/18/22 03:16:27 AM,119.7,10.49,,,,
31,11/18/22 03:46:27 AM,119.2,10.44,,,,
32,11/18/22 04:16:27 AM,118.3,10.38,,,,
33,11/18/22 04:46:27 AM,118.3,10.39,,,,
34,11/18/22 05:16:27 AM,118.3,10.38,,,,
35,11/18/22 05:46:27 AM,118.3,10.41,,,,
36,11/18/22 06:16:27 AM,118.3,10.39,,,,
37,11/18/22 06:46:27 AM,117.8,10.36,,,,
38,11/18/22 07:16:27 AM,116.9,10.39,,,,
39,11/18/22 07:46:27 AM,116.9,10.38,,,,
40,11/18/22 08:16:27 AM,116.9,10.36,,,,
41,11/18/22 08:46:27 AM,116.4,10.35,,,,
42,11/18/22 09:16:27 AM,116.4,10.36,,,,
43,11/18/22 09:46:27 AM,116.4,10.35,,,,
44,11/18/22 10:16:27 AM,116.0,10.36,,,,
45,11/18/22 10:46:27 AM,116.0,10.38,,,,
46,11/18/22 11:16:27 AM,116.0,10.39,,,,
47,11/18/22 11:46:27 AM,115.0,10.39,,,,
48,11/18/22 12:16:27 PM,115.0,10.40,,,,
49,11/18/22 12:46:27 PM,115.0,10.39,,,,
50,11/18/22 01:16:27 PM,116.0,10.39,,,,
51,11/18/22 01:46:27 PM,116.0,10.40,,,,
52,11/18/22 02:16:27 PM,116.4,10.39,,,,
53,11/18/22 02:46:27 PM,116.9,10.40,,,,
54,11/18/22 03:16:27 PM,116.9,10.45,,,,
55,11/18/22 03:46:27 PM,117.8,10.45,,,,
56,11/18/22 04:16:27 PM,117.8,10.45,,,,
57,11/18/22 04:46:27 PM,117.8,10.46,,,,
58,11/18/22 05:16:27 PM,118.3,10.48,,,,
59,11/18/22 05:46:27 PM,119.2,10.50,,,,
60,11/18/22 06:16:27 PM,119.2,10.49,,,,
61,11/18/22 06:46:27 PM,117.8,10.45,,,,
62,11/18/22 07:16:27 PM,117.8,10.44,,,,
63,11/18/22 07:46:27 PM,116.9,10.39,,,,
64,11/18/22 08:16:27 PM,117.8,10.45,,,,
65,11/18/22 08:46:27 PM,117.8,10.41,,,,
66,11/18/22 09:16:27 PM,116.9,10.43,,,,
67,11/18/22 09:46:27 PM,118.3,10.46,,,,
68,11/18/22 10:16:27 PM,117.8,10.40,,,,
69,11/18/22 10:46:27 PM,116.9,10.39,,,,
70,11/18/22 11:16:27 PM,117.8,10.38,,,,
71,11/18/22 11:46:27 PM,116.9,10.38,,,,
72,11/19/22 12:16:27 AM,119.2,10.43,,,,
73,11/19/22 12:46:27 AM,119.7,10.45,,,,
74,11/19/22 01:16:27 AM,117.8,10.39,,,,
75,11/19/22 01:46:27 AM,118.3,10.38,,,,
76,11/19/22 02:16:27 AM,119.7,10.39,,,,
77,11/19/22 02:46:27 AM,121.0,10.39,,,,
78,11/19/22 03:16:27 AM,122.0,10.36,,,,
79,11/19/22 03:46:27 AM,123.8,10.36,,,,
80,11/19/22 04:16:27 AM,125.2,10.35,,,,
81,11/19/22 04:46:27 AM,125.7,10.34,,,,
82,11/19/22 05:16:27 AM,126.6,10.34,,,,
83,11/19/22 05:46:27 AM,125.7,10.32,,,,
84,11/19/22 06:16:27 AM,126.6,10.34,,,,
85,11/19/22 06:46:27 AM,126.6,10.34,,,,
86,11/19/22 07:16:27 AM,126.6,10.34,,,,
87,11/19/22 07:46:27 AM,126.6,10.32,,,,
88,11/19/22 08:16:27 AM,126.6,10.32,,,,
89,11/19/22 08:46:27 AM,126.6,10.32,,,,
90,11/19/22 09:16:27 AM,126.6,10.31,,,,
91,11/19/22 09:46:27 AM,126.6,10.32,,,,
92,11/19/22 10:16:27 AM,125.7,10.32,,,,
93,11/19/22 10:46:27 AM,125.7,10.32,,,,
94,11/19/22 11:16:27 AM,125.7,10.34,,,,
95,11/19/22 11:46:27 AM,125.7,10.34,,,,
96,11/19/22 12:16:27 PM,125.7,10.36,,,,
97,11/19/22 12:46:27 PM,125.7,10.36,,,,
98,11/19/22 01:16:27 PM,124.3,10.35,,,,
99,11/19/22 01:46:27 PM,123.8,10.34,,,,
100,11/19/22 02:16:27 PM,122.9,10.32,,,,
101,11/19/22 02:46:27 PM,122.9,10.31,,,,
102,11/19/22 03:16:27 PM,122.4,10.30,,,,
103,11/19/22 03:46:27 PM,122.4,10.29,,,,
104,11/19/22 04:16:27 PM,122.4,10.25,,,,
105,11/19/22 04:46:27 PM,122.4,10.25,,,,
106,11/19/22 05:16:27 PM,121.5,10.24,,,,
107,11/19/22 05:46:27 PM,122.4,10.24,,,,
108,11/19/22 06:16:27 PM,122.0,10.21,,,,
109,11/19/22 06:46:27 PM,121.5,10.21,,,,
110,11/19/22 07:16:27 PM,122.4,10.17,,,,
