"Plot Title: tervate"
"#","Date Time, GMT+02:00","High Range, μS/cm (LGR S/N: 21362424, SEN S/N: 21362424)","Temp, °C (LGR S/N: 21362424, SEN S/N: 21362424)","Coupler Detached (LGR S/N: 21362424)","Coupler Attached (LGR S/N: 21362424)","Host Connected (LGR S/N: 21362424)","Stopped (LGR S/N: 21362424)","End Of File (LGR S/N: 21362424)"
1,07/15/24 11:29:55 AM,0.0,20.19,,,,,
2,07/15/24 11:30:09 AM,,,Logged,,,,
3,07/15/24 11:59:55 AM,907.0,19.98,,,,,
4,07/15/24 12:29:55 PM,907.5,20.03,,,,,
5,07/15/24 12:59:55 PM,907.0,20.05,,,,,
6,07/15/24 01:29:55 PM,906.5,20.08,,,,,
7,07/15/24 01:59:55 PM,904.9,20.08,,,,,
8,07/15/24 02:29:55 PM,904.4,20.21,,,,,
9,07/15/24 02:59:55 PM,902.8,20.16,,,,,
10,07/15/24 03:29:55 PM,901.7,20.29,,,,,
11,07/15/24 03:59:55 PM,901.2,20.36,,,,,
12,07/15/24 04:29:55 PM,900.7,20.45,,,,,
13,07/15/24 04:59:55 PM,899.7,20.29,,,,,
14,07/15/24 05:29:55 PM,901.2,20.31,,,,,
15,07/15/24 05:59:55 PM,899.1,20.36,,,,,
16,07/15/24 06:29:55 PM,901.2,20.31,,,,,
17,07/15/24 06:59:55 PM,901.2,20.47,,,,,
18,07/15/24 07:29:55 PM,901.2,20.39,,,,,
19,07/15/24 07:59:55 PM,901.2,20.42,,,,,
20,07/15/24 08:29:55 PM,901.7,20.42,,,,,
21,07/15/24 08:59:55 PM,901.7,20.42,,,,,
22,07/15/24 09:29:55 PM,902.3,20.39,,,,,
23,07/15/24 09:59:55 PM,902.8,20.38,,,,,
24,07/15/24 10:29:55 PM,901.2,20.42,,,,,
25,07/15/24 10:59:55 PM,901.2,20.39,,,,,
26,07/15/24 11:29:55 PM,902.3,20.38,,,,,
27,07/15/24 11:59:55 PM,902.3,20.34,,,,,
28,07/16/24 12:29:55 AM,903.3,20.33,,,,,
29,07/16/24 12:59:55 AM,903.3,20.31,,,,,
30,07/16/24 01:29:55 AM,902.8,20.36,,,,,
31,07/16/24 01:59:55 AM,902.3,20.50,,,,,
32,07/16/24 02:29:55 AM,895.5,20.65,,,,,
33,07/16/24 02:59:55 AM,881.9,20.72,,,,,
34,07/16/24 03:29:55 AM,881.4,20.65,,,,,
35,07/16/24 03:59:55 AM,879.8,20.63,,,,,
36,07/16/24 04:29:55 AM,882.9,20.59,,,,,
37,07/16/24 04:59:55 AM,877.2,20.58,,,,,
38,07/16/24 05:29:55 AM,885.5,20.55,,,,,
39,07/16/24 05:59:55 AM,886.1,20.54,,,,,
40,07/16/24 06:29:55 AM,881.9,20.53,,,,,
41,07/16/24 06:59:55 AM,879.8,20.52,,,,,
42,07/16/24 07:29:55 AM,879.3,20.48,,,,,
43,07/16/24 07:59:55 AM,875.6,20.47,,,,,
44,07/16/24 08:29:55 AM,877.2,20.47,,,,,
45,07/16/24 08:59:55 AM,875.1,20.45,,,,,
46,07/16/24 09:29:55 AM,872.0,20.44,,,,,
47,07/16/24 09:59:55 AM,866.8,20.43,,,,,
48,07/16/24 10:29:55 AM,860.5,20.43,,,,,
49,07/16/24 10:59:55 AM,859.5,20.43,,,,,
50,07/16/24 11:29:55 AM,862.6,20.43,,,,,
51,07/16/24 11:59:55 AM,865.2,20.43,,,,,
52,07/16/24 12:29:55 PM,867.3,20.43,,,,,
53,07/16/24 12:59:55 PM,863.1,20.43,,,,,
54,07/16/24 01:29:55 PM,854.8,20.48,,,,,
55,07/16/24 01:59:55 PM,860.0,20.50,,,,,
56,07/16/24 02:29:55 PM,853.2,20.53,,,,,
57,07/16/24 02:59:55 PM,839.8,20.50,,,,,
58,07/16/24 03:29:55 PM,838.7,20.58,,,,,
59,07/16/24 03:59:55 PM,840.3,20.60,,,,,
60,07/16/24 04:29:55 PM,840.3,20.53,,,,,
61,07/16/24 04:59:55 PM,834.6,20.49,,,,,
62,07/16/24 05:29:55 PM,828.9,20.52,,,,,
63,07/16/24 05:59:55 PM,821.1,20.57,,,,,
64,07/16/24 06:29:55 PM,816.5,20.60,,,,,
65,07/16/24 06:59:55 PM,813.9,20.63,,,,,
66,07/16/24 07:29:55 PM,814.4,20.63,,,,,
67,07/16/24 07:59:55 PM,814.4,20.63,,,,,
68,07/16/24 08:29:55 PM,814.9,20.62,,,,,
69,07/16/24 08:59:55 PM,814.9,20.59,,,,,
70,07/16/24 09:29:55 PM,814.4,20.59,,,,,
71,07/16/24 09:59:55 PM,814.4,20.58,,,,,
72,07/16/24 10:29:55 PM,814.4,20.57,,,,,
73,07/16/24 10:59:55 PM,813.9,20.55,,,,,
74,07/16/24 11:29:55 PM,813.9,20.54,,,,,
75,07/16/24 11:59:55 PM,813.9,20.52,,,,,
76,07/17/24 12:29:55 AM,813.4,20.49,,,,,
77,07/17/24 12:59:55 AM,812.8,20.47,,,,,
78,07/17/24 01:29:55 AM,812.3,20.43,,,,,
79,07/17/24 01:59:55 AM,812.3,20.43,,,,,
80,07/17/24 02:29:55 AM,813.4,20.42,,,,,
81,07/17/24 02:59:55 AM,812.8,20.39,,,,,
82,07/17/24 03:29:55 AM,813.4,20.38,,,,,
83,07/17/24 03:59:55 AM,813.4,20.38,,,,,
84,07/17/24 04:29:55 AM,813.4,20.34,,,,,
85,07/17/24 04:59:55 AM,813.4,20.34,,,,,
86,07/17/24 05:29:55 AM,812.8,20.31,,,,,
87,07/17/24 05:59:55 AM,812.8,20.30,,,,,
88,07/17/24 06:29:55 AM,812.8,20.29,,,,,
89,07/17/24 06:59:55 AM,812.3,20.26,,,,,
90,07/17/24 07:29:55 AM,812.8,20.28,,,,,
91,07/17/24 07:59:55 AM,813.4,20.29,,,,,
92,07/17/24 08:29:55 AM,813.4,20.29,,,,,
93,07/17/24 08:59:55 AM,813.4,20.29,,,,,
94,07/17/24 09:29:55 AM,813.9,20.29,,,,,
95,07/17/24 09:59:55 AM,814.4,20.30,,,,,
96,07/17/24 10:29:55 AM,814.4,20.30,,,,,
97,07/17/24 10:59:55 AM,815.4,20.33,,,,,
98,07/17/24 11:29:55 AM,814.9,20.31,,,,,
99,07/17/24 11:59:55 AM,813.9,20.31,,,,,
100,07/17/24 12:29:55 PM,814.9,20.33,,,,,
101,07/17/24 12:59:55 PM,814.9,20.31,,,,,
102,07/17/24 01:29:55 PM,814.9,20.33,,,,,
103,07/17/24 01:59:55 PM,814.9,20.33,,,,,
104,07/17/24 02:29:55 PM,815.9,20.40,,,,,
105,07/17/24 02:59:55 PM,820.1,20.65,,,,,
106,07/17/24 03:29:55 PM,821.1,20.64,,,,,
107,07/17/24 03:59:55 PM,821.6,20.58,,,,,
108,07/17/24 04:29:55 PM,820.6,20.50,,,,,
109,07/17/24 04:59:55 PM,820.6,20.39,,,,,
110,07/17/24 05:29:55 PM,821.6,20.43,,,,,
111,07/17/24 05:59:55 PM,824.7,20.59,,,,,
