"Plot Title: Uniebrug paaiplaats"
"#","Date Time, GMT+02:00","High Range, μS/cm (LGR S/N: 20844999, SEN S/N: 20844999)","Temp, °C (LGR S/N: 20844999, SEN S/N: 20844999)","Coupler Detached (LGR S/N: 20844999)","Coupler Attached (LGR S/N: 20844999)","Host Connected (LGR S/N: 20844999)","Stopped (LGR S/N: 20844999)","End Of File (LGR S/N: 20844999)"
1,06/02/23 10:18:56 AM,218.7,17.23,,,,,
2,06/02/23 10:19:13 AM,,,Logged,,,,
3,06/02/23 10:48:56 AM,3345.4,17.72,,,,,
4,06/02/23 11:18:56 AM,3341.6,17.72,,,,,
5,06/02/23 11:48:56 AM,3375.1,17.73,,,,,
6,06/02/23 12:18:56 PM,3385.2,17.76,,,,,
7,06/02/23 12:48:56 PM,3404.2,17.76,,,,,
8,06/02/23 01:18:56 PM,3403.6,17.74,,,,,
9,06/02/23 01:48:56 PM,3402.3,17.72,,,,,
10,06/02/23 02:18:56 PM,3417.5,17.74,,,,,
11,06/02/23 02:48:56 PM,3420.7,17.71,,,,,
12,06/02/23 03:18:56 PM,3411.8,17.69,,,,,
13,06/02/23 03:48:56 PM,3449.8,17.69,,,,,
14,06/02/23 04:18:56 PM,3432.7,17.67,,,,,
15,06/02/23 04:48:56 PM,3472.0,17.69,,,,,
16,06/02/23 05:18:56 PM,3415.6,17.71,,,,,
17,06/02/23 05:48:56 PM,3449.2,17.69,,,,,
18,06/02/23 06:18:56 PM,3385.2,17.76,,,,,
19,06/02/23 06:48:56 PM,3428.9,17.73,,,,,
20,06/02/23 07:18:56 PM,3425.1,17.74,,,,,
21,06/02/23 07:48:56 PM,3432.7,17.74,,,,,
22,06/02/23 08:18:56 PM,3457.4,17.74,,,,,
23,06/02/23 08:48:56 PM,3487.2,17.73,,,,,
24,06/02/23 09:18:56 PM,3442.2,17.76,,,,,
25,06/02/23 09:48:56 PM,3467.5,17.74,,,,,
26,06/02/23 10:18:56 PM,3498.0,17.73,,,,,
27,06/02/23 10:48:56 PM,3560.8,17.73,,,,,
28,06/02/23 11:18:56 PM,3565.3,17.74,,,,,
29,06/02/23 11:48:56 PM,3555.7,17.74,,,,,
30,06/03/23 12:18:56 AM,3553.2,17.74,,,,,
31,06/03/23 12:48:56 AM,3581.8,17.78,,,,,
32,06/03/23 01:18:56 AM,3569.7,17.77,,,,,
33,06/03/23 01:48:56 AM,3558.3,17.76,,,,,
34,06/03/23 02:18:56 AM,3539.9,17.76,,,,,
35,06/03/23 02:48:56 AM,3537.3,17.77,,,,,
36,06/03/23 03:18:56 AM,3543.7,17.80,,,,,
37,06/03/23 03:48:56 AM,3553.2,17.77,,,,,
38,06/03/23 04:18:56 AM,3551.3,17.78,,,,,
39,06/03/23 04:48:56 AM,3574.2,17.78,,,,,
40,06/03/23 05:18:56 AM,3561.5,17.77,,,,,
41,06/03/23 05:48:56 AM,3554.5,17.76,,,,,
42,06/03/23 06:18:56 AM,3558.3,17.73,,,,,
43,06/03/23 06:48:56 AM,3553.2,17.77,,,,,
44,06/03/23 07:18:56 AM,3537.3,17.72,,,,,
45,06/03/23 07:48:56 AM,3513.8,17.69,,,,,
46,06/03/23 08:18:56 AM,3484.0,17.68,,,,,
47,06/03/23 08:48:56 AM,3483.4,17.67,,,,,
48,06/03/23 09:18:56 AM,3480.9,17.64,,,,,
