"Plot Title: tervate"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 21362424, SEN S/N: 21362424)","Temp, °C (LGR S/N: 21362424, SEN S/N: 21362424)","Coupler Detached (LGR S/N: 21362424)","Coupler Attached (LGR S/N: 21362424)","Host Connected (LGR S/N: 21362424)","Stopped (LGR S/N: 21362424)","End Of File (LGR S/N: 21362424)"
1,01/22/24 11:16:18 AM,0.0,9.57,,,,,
2,01/22/24 11:16:31 AM,,,Logged,,,,
3,01/22/24 11:46:18 AM,465.7,3.50,,,,,
4,01/22/24 12:16:18 PM,468.1,3.53,,,,,
5,01/22/24 12:46:18 PM,468.6,3.60,,,,,
6,01/22/24 01:16:18 PM,468.6,3.66,,,,,
7,01/22/24 01:46:18 PM,467.1,3.70,,,,,
8,01/22/24 02:16:18 PM,464.7,3.73,,,,,
9,01/22/24 02:46:18 PM,458.9,3.78,,,,,
10,01/22/24 03:16:18 PM,457.0,3.82,,,,,
11,01/22/24 03:46:18 PM,456.0,3.85,,,,,
12,01/22/24 04:16:18 PM,453.6,3.87,,,,,
13,01/22/24 04:46:18 PM,471.0,3.85,,,,,
14,01/22/24 05:16:18 PM,467.6,3.85,,,,,
15,01/22/24 05:46:18 PM,478.2,3.90,,,,,
16,01/22/24 06:16:18 PM,500.5,3.96,,,,,
17,01/22/24 06:46:18 PM,521.0,4.04,,,,,
18,01/22/24 07:16:18 PM,526.9,4.10,,,,,
19,01/22/24 07:46:18 PM,525.4,4.19,,,,,
20,01/22/24 08:16:18 PM,522.0,4.27,,,,,
21,01/22/24 08:46:18 PM,521.5,4.32,,,,,
22,01/22/24 09:16:18 PM,523.5,4.36,,,,,
23,01/22/24 09:46:18 PM,525.9,4.43,,,,,
24,01/22/24 10:16:18 PM,527.9,4.50,,,,,
25,01/22/24 10:46:18 PM,529.3,4.55,,,,,
26,01/22/24 11:16:18 PM,529.8,4.61,,,,,
27,01/22/24 11:46:18 PM,529.3,4.64,,,,,
28,01/23/24 12:16:18 AM,529.3,4.69,,,,,
29,01/23/24 12:46:18 AM,528.4,4.73,,,,,
30,01/23/24 01:16:18 AM,528.4,4.74,,,,,
31,01/23/24 01:46:18 AM,526.9,4.76,,,,,
32,01/23/24 02:16:18 AM,526.4,4.78,,,,,
33,01/23/24 02:46:18 AM,525.9,4.78,,,,,
34,01/23/24 03:16:18 AM,525.4,4.79,,,,,
35,01/23/24 03:46:18 AM,524.4,4.80,,,,,
36,01/23/24 04:16:18 AM,522.5,4.83,,,,,
37,01/23/24 04:46:18 AM,519.6,4.90,,,,,
38,01/23/24 05:16:18 AM,516.1,4.99,,,,,
39,01/23/24 05:46:18 AM,510.8,5.04,,,,,
40,01/23/24 06:16:18 AM,504.4,5.09,,,,,
41,01/23/24 06:46:18 AM,503.5,5.14,,,,,
42,01/23/24 07:16:18 AM,507.8,5.20,,,,,
43,01/23/24 07:46:18 AM,516.1,5.25,,,,,
44,01/23/24 08:16:18 AM,523.5,5.32,,,,,
45,01/23/24 08:46:18 AM,525.4,5.37,,,,,
46,01/23/24 09:16:18 AM,523.5,5.44,,,,,
47,01/23/24 09:46:18 AM,519.6,5.53,,,,,
48,01/23/24 10:16:18 AM,515.7,5.61,,,,,
49,01/23/24 10:46:18 AM,511.7,5.71,,,,,
50,01/23/24 11:16:18 AM,508.8,5.78,,,,,
51,01/23/24 11:46:18 AM,508.8,5.83,,,,,
52,01/23/24 12:16:18 PM,510.8,5.87,,,,,
53,01/23/24 12:46:18 PM,513.2,5.88,,,,,
54,01/23/24 01:16:18 PM,515.2,5.92,,,,,
55,01/23/24 01:46:18 PM,517.1,5.93,,,,,
56,01/23/24 02:16:18 PM,518.1,5.95,,,,,
57,01/23/24 02:46:18 PM,519.1,5.97,,,,,
58,01/23/24 03:16:18 PM,519.6,6.00,,,,,
59,01/23/24 03:46:18 PM,520.0,6.02,,,,,
60,01/23/24 04:16:18 PM,521.0,6.03,,,,,
61,01/23/24 04:46:18 PM,521.0,6.05,,,,,
62,01/23/24 05:16:18 PM,520.5,6.07,,,,,
63,01/23/24 05:46:18 PM,518.1,6.10,,,,,
64,01/23/24 06:16:18 PM,515.2,6.13,,,,,
65,01/23/24 06:46:18 PM,511.7,6.16,,,,,
66,01/23/24 07:16:18 PM,510.3,6.22,,,,,
67,01/23/24 07:46:18 PM,510.3,6.29,,,,,
68,01/23/24 08:16:18 PM,513.2,6.37,,,,,
69,01/23/24 08:46:18 PM,519.6,6.47,,,,,
70,01/23/24 09:16:18 PM,526.4,6.55,,,,,
71,01/23/24 09:46:18 PM,531.8,6.60,,,,,
72,01/23/24 10:16:18 PM,534.7,6.66,,,,,
73,01/23/24 10:46:18 PM,535.2,6.71,,,,,
74,01/23/24 11:16:18 PM,534.7,6.74,,,,,
75,01/23/24 11:46:18 PM,533.7,6.79,,,,,
76,01/24/24 12:16:18 AM,531.8,6.83,,,,,
77,01/24/24 12:46:18 AM,529.8,6.89,,,,,
78,01/24/24 01:16:18 AM,528.4,6.93,,,,,
79,01/24/24 01:46:18 AM,527.4,6.95,,,,,
80,01/24/24 02:16:18 AM,527.4,7.00,,,,,
81,01/24/24 02:46:18 AM,527.4,7.05,,,,,
82,01/24/24 03:16:18 AM,528.9,7.08,,,,,
83,01/24/24 03:46:18 AM,530.3,7.12,,,,,
84,01/24/24 04:16:18 AM,533.3,7.18,,,,,
85,01/24/24 04:46:18 AM,534.7,7.20,,,,,
86,01/24/24 05:16:18 AM,536.7,7.20,,,,,
87,01/24/24 05:46:18 AM,536.7,7.20,,,,,
88,01/24/24 06:16:18 AM,536.2,7.22,,,,,
89,01/24/24 06:46:18 AM,535.2,7.24,,,,,
90,01/24/24 07:16:18 AM,532.8,7.25,,,,,
91,01/24/24 07:46:18 AM,529.3,7.24,,,,,
92,01/24/24 08:16:18 AM,524.9,7.23,,,,,
93,01/24/24 08:46:18 AM,521.5,7.22,,,,,
94,01/24/24 09:16:18 AM,518.6,7.23,,,,,
95,01/24/24 09:46:18 AM,517.1,7.25,,,,,
96,01/24/24 10:16:18 AM,516.1,7.29,,,,,
97,01/24/24 10:46:18 AM,516.6,7.33,,,,,
98,01/24/24 11:16:18 AM,516.6,7.35,,,,,
99,01/24/24 11:46:18 AM,516.6,7.39,,,,,
100,01/24/24 12:16:18 PM,516.6,7.43,,,,,
101,01/24/24 12:46:18 PM,516.6,7.47,,,,,
102,01/24/24 01:16:18 PM,516.1,7.52,,,,,
103,01/24/24 01:46:18 PM,516.1,7.57,,,,,
104,01/24/24 02:16:18 PM,516.1,7.59,,,,,
105,01/24/24 02:46:18 PM,515.7,7.64,,,,,
106,01/24/24 03:16:18 PM,514.7,7.67,,,,,
107,01/24/24 03:46:18 PM,514.7,7.69,,,,,
108,01/24/24 04:16:18 PM,514.7,7.71,,,,,
109,01/24/24 04:46:18 PM,513.7,7.72,,,,,
110,01/24/24 05:16:18 PM,513.2,7.76,,,,,
111,01/24/24 05:46:18 PM,511.7,7.77,,,,,
112,01/24/24 06:16:18 PM,510.3,7.78,,,,,
113,01/24/24 06:46:18 PM,510.3,7.81,,,,,
114,01/24/24 07:16:18 PM,510.8,7.81,,,,,
115,01/24/24 07:46:18 PM,511.3,7.82,,,,,
116,01/24/24 08:16:18 PM,510.8,7.83,,,,,
117,01/24/24 08:46:18 PM,511.3,7.87,,,,,
118,01/24/24 09:16:18 PM,511.3,7.91,,,,,
119,01/24/24 09:46:18 PM,511.3,7.93,,,,,
120,01/24/24 10:16:18 PM,511.3,7.96,,,,,
121,01/24/24 10:46:18 PM,510.8,7.98,,,,,
122,01/24/24 11:16:18 PM,510.3,7.98,,,,,
123,01/24/24 11:46:18 PM,510.3,8.00,,,,,
124,01/25/24 12:16:18 AM,509.8,8.00,,,,,
125,01/25/24 12:46:18 AM,509.3,8.00,,,,,
126,01/25/24 01:16:18 AM,509.3,7.97,,,,,
127,01/25/24 01:46:18 AM,509.3,7.97,,,,,
128,01/25/24 02:16:18 AM,508.8,7.97,,,,,
129,01/25/24 02:46:18 AM,507.8,7.97,,,,,
130,01/25/24 03:16:18 AM,506.9,7.93,,,,,
131,01/25/24 03:46:18 AM,506.9,7.93,,,,,
132,01/25/24 04:16:18 AM,506.4,7.91,,,,,
133,01/25/24 04:46:18 AM,505.4,7.89,,,,,
134,01/25/24 05:16:18 AM,503.5,7.88,,,,,
135,01/25/24 05:46:18 AM,500.5,7.87,,,,,
136,01/25/24 06:16:18 AM,501.0,7.89,,,,,
137,01/25/24 06:46:18 AM,503.9,7.91,,,,,
138,01/25/24 07:16:18 AM,507.4,7.95,,,,,
139,01/25/24 07:46:18 AM,509.8,8.01,,,,,
140,01/25/24 08:16:18 AM,518.1,8.07,,,,,
141,01/25/24 08:46:18 AM,530.3,8.06,,,,,
142,01/25/24 09:16:18 AM,543.6,8.03,,,,,
143,01/25/24 09:46:18 AM,550.0,8.05,,,,,
144,01/25/24 10:16:18 AM,552.4,8.03,,,,,
145,01/25/24 10:46:18 AM,552.4,8.06,,,,,
146,01/25/24 11:16:18 AM,549.0,8.08,,,,,
147,01/25/24 11:46:18 AM,545.5,8.12,,,,,
148,01/25/24 12:16:18 PM,542.1,8.17,,,,,
149,01/25/24 12:46:18 PM,538.7,8.21,,,,,
150,01/25/24 01:16:18 PM,536.2,8.26,,,,,
151,01/25/24 01:46:18 PM,538.7,8.28,,,,,
152,01/25/24 02:16:18 PM,538.7,8.31,,,,,
153,01/25/24 02:46:18 PM,538.7,8.33,,,,,
154,01/25/24 03:16:18 PM,538.2,8.35,,,,,
155,01/25/24 03:46:18 PM,538.7,8.39,,,,,
156,01/25/24 04:16:18 PM,538.7,8.40,,,,,
157,01/25/24 04:46:18 PM,538.7,8.40,,,,,
158,01/25/24 05:16:18 PM,539.1,8.42,,,,,
159,01/25/24 05:46:18 PM,539.6,8.42,,,,,
160,01/25/24 06:16:18 PM,539.1,8.45,,,,,
161,01/25/24 06:46:18 PM,540.6,8.45,,,,,
162,01/25/24 07:16:18 PM,542.1,8.46,,,,,
163,01/25/24 07:46:18 PM,543.1,8.47,,,,,
164,01/25/24 08:16:18 PM,544.5,8.47,,,,,
165,01/25/24 08:46:18 PM,546.0,8.49,,,,,
166,01/25/24 09:16:18 PM,547.0,8.50,,,,,
167,01/25/24 09:46:18 PM,548.5,8.50,,,,,
168,01/25/24 10:16:18 PM,549.0,8.51,,,,,
169,01/25/24 10:46:18 PM,550.4,8.51,,,,,
170,01/25/24 11:16:18 PM,549.5,8.51,,,,,
171,01/25/24 11:46:18 PM,549.5,8.52,,,,,
172,01/26/24 12:16:18 AM,549.5,8.54,,,,,
173,01/26/24 12:46:18 AM,549.0,8.54,,,,,
174,01/26/24 01:16:18 AM,548.5,8.55,,,,,
175,01/26/24 01:46:18 AM,548.5,8.55,,,,,
176,01/26/24 02:16:18 AM,547.5,8.56,,,,,
177,01/26/24 02:46:18 AM,546.5,8.57,,,,,
178,01/26/24 03:16:18 AM,546.0,8.59,,,,,
179,01/26/24 03:46:18 AM,546.0,8.59,,,,,
180,01/26/24 04:16:18 AM,545.5,8.60,,,,,
181,01/26/24 04:46:18 AM,545.0,8.60,,,,,
182,01/26/24 05:16:18 AM,545.0,8.62,,,,,
183,01/26/24 05:46:18 AM,545.0,8.65,,,,,
184,01/26/24 06:16:18 AM,542.6,8.66,,,,,
185,01/26/24 06:46:18 AM,540.1,8.65,,,,,
186,01/26/24 07:16:18 AM,538.7,8.66,,,,,
187,01/26/24 07:46:18 AM,541.1,8.70,,,,,
188,01/26/24 08:16:18 AM,543.6,8.70,,,,,
189,01/26/24 08:46:18 AM,545.5,8.71,,,,,
190,01/26/24 09:16:18 AM,547.5,8.74,,,,,
191,01/26/24 09:46:18 AM,548.5,8.75,,,,,
192,01/26/24 10:16:18 AM,563.3,8.74,,,,,
193,01/26/24 10:46:18 AM,562.3,8.74,,,,,
194,01/26/24 11:16:18 AM,557.8,8.75,,,,,
195,01/26/24 11:46:18 AM,552.9,8.76,,,,,
196,01/26/24 12:16:18 PM,550.9,8.77,,,,,
197,01/26/24 12:46:18 PM,551.4,8.80,,,,,
198,01/26/24 01:16:18 PM,550.9,8.80,,,,,
199,01/26/24 01:46:18 PM,552.4,8.83,,,,,
200,01/26/24 02:16:18 PM,552.4,8.85,,,,,
201,01/26/24 02:46:18 PM,552.9,8.85,,,,,
202,01/26/24 03:16:18 PM,551.4,8.85,,,,,
203,01/26/24 03:46:18 PM,552.4,8.86,,,,,
204,01/26/24 04:16:18 PM,550.4,8.85,,,,,
205,01/26/24 04:46:18 PM,550.0,8.84,,,,,
206,01/26/24 05:16:18 PM,549.0,8.81,,,,,
207,01/26/24 05:46:18 PM,548.5,8.79,,,,,
208,01/26/24 06:16:18 PM,547.0,8.75,,,,,
209,01/26/24 06:46:18 PM,547.0,8.71,,,,,
210,01/26/24 07:16:18 PM,545.5,8.66,,,,,
211,01/26/24 07:46:18 PM,550.0,8.62,,,,,
212,01/26/24 08:16:18 PM,555.4,8.61,,,,,
213,01/26/24 08:46:18 PM,562.8,8.61,,,,,
214,01/26/24 09:16:18 PM,567.2,8.60,,,,,
215,01/26/24 09:46:18 PM,570.2,8.57,,,,,
216,01/26/24 10:16:18 PM,568.2,8.55,,,,,
217,01/26/24 10:46:18 PM,565.7,8.51,,,,,
218,01/26/24 11:16:18 PM,561.3,8.50,,,,,
219,01/26/24 11:46:18 PM,560.3,8.46,,,,,
220,01/27/24 12:16:18 AM,557.8,8.44,,,,,
221,01/27/24 12:46:18 AM,556.4,8.41,,,,,
222,01/27/24 01:16:18 AM,555.4,8.39,,,,,
223,01/27/24 01:46:18 AM,553.4,8.36,,,,,
224,01/27/24 02:16:18 AM,552.4,8.33,,,,,
225,01/27/24 02:46:18 AM,550.9,8.30,,,,,
226,01/27/24 03:16:18 AM,550.4,8.27,,,,,
227,01/27/24 03:46:18 AM,548.5,8.25,,,,,
228,01/27/24 04:16:18 AM,547.5,8.22,,,,,
229,01/27/24 04:46:18 AM,546.0,8.20,,,,,
230,01/27/24 05:16:18 AM,544.1,8.18,,,,,
231,01/27/24 05:46:18 AM,542.1,8.16,,,,,
232,01/27/24 06:16:18 AM,540.1,8.15,,,,,
233,01/27/24 06:46:18 AM,537.7,8.13,,,,,
234,01/27/24 07:16:18 AM,535.2,8.10,,,,,
235,01/27/24 07:46:18 AM,533.7,8.11,,,,,
236,01/27/24 08:16:18 AM,536.2,8.12,,,,,
237,01/27/24 08:46:18 AM,541.6,8.12,,,,,
238,01/27/24 09:16:18 AM,547.0,8.12,,,,,
239,01/27/24 09:46:18 AM,550.4,8.11,,,,,
240,01/27/24 10:16:18 AM,551.4,8.11,,,,,
241,01/27/24 10:46:18 AM,552.9,8.12,,,,,
242,01/27/24 11:16:18 AM,555.9,8.15,,,,,
243,01/27/24 11:46:18 AM,558.3,8.15,,,,,
244,01/27/24 12:16:18 PM,558.8,8.16,,,,,
245,01/27/24 12:46:18 PM,561.3,8.17,,,,,
246,01/27/24 01:16:18 PM,562.8,8.20,,,,,
247,01/27/24 01:46:18 PM,563.7,8.22,,,,,
248,01/27/24 02:16:18 PM,562.8,8.23,,,,,
249,01/27/24 02:46:18 PM,561.3,8.22,,,,,
250,01/27/24 03:16:18 PM,562.3,8.22,,,,,
251,01/27/24 03:46:18 PM,563.3,8.22,,,,,
252,01/27/24 04:16:18 PM,564.7,8.22,,,,,
253,01/27/24 04:46:18 PM,565.2,8.22,,,,,
254,01/27/24 05:16:18 PM,566.7,8.21,,,,,
255,01/27/24 05:46:18 PM,566.2,8.21,,,,,
256,01/27/24 06:16:18 PM,566.2,8.18,,,,,
257,01/27/24 06:46:18 PM,561.8,8.16,,,,,
258,01/27/24 07:16:18 PM,562.3,8.15,,,,,
259,01/27/24 07:46:18 PM,562.3,8.12,,,,,
260,01/27/24 08:16:18 PM,561.8,8.10,,,,,
261,01/27/24 08:46:18 PM,561.8,8.07,,,,,
262,01/27/24 09:16:18 PM,560.8,8.05,,,,,
263,01/27/24 09:46:18 PM,560.8,8.02,,,,,
264,01/27/24 10:16:18 PM,560.3,7.97,,,,,
265,01/27/24 10:46:18 PM,560.3,7.96,,,,,
266,01/27/24 11:16:18 PM,559.3,7.95,,,,,
267,01/27/24 11:46:18 PM,559.3,7.91,,,,,
268,01/28/24 12:16:18 AM,558.8,7.89,,,,,
269,01/28/24 12:46:18 AM,558.8,7.88,,,,,
270,01/28/24 01:16:18 AM,558.3,7.84,,,,,
271,01/28/24 01:46:18 AM,557.8,7.81,,,,,
272,01/28/24 02:16:18 AM,557.3,7.78,,,,,
273,01/28/24 02:46:18 AM,557.3,7.76,,,,,
274,01/28/24 03:16:18 AM,556.8,7.76,,,,,
275,01/28/24 03:46:18 AM,556.4,7.72,,,,,
276,01/28/24 04:16:18 AM,555.9,7.69,,,,,
277,01/28/24 04:46:18 AM,555.9,7.68,,,,,
278,01/28/24 05:16:18 AM,554.9,7.63,,,,,
279,01/28/24 05:46:18 AM,553.9,7.59,,,,,
280,01/28/24 06:16:18 AM,554.4,7.56,,,,,
