"Plot Title: oude veurne vaart"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 21362419, SEN S/N: 21362419)","Temp, °C (LGR S/N: 21362419, SEN S/N: 21362419)","Coupler Detached (LGR S/N: 21362419)","Coupler Attached (LGR S/N: 21362419)","Host Connected (LGR S/N: 21362419)","Stopped (LGR S/N: 21362419)","End Of File (LGR S/N: 21362419)"
1,23/02/24 13:21:11,0.0,10.53,,,,,
2,23/02/24 13:21:17,,,Logged,,,,
3,23/02/24 13:51:11,778.6,9.90,,,,,
4,23/02/24 14:21:11,779.6,9.93,,,,,
5,23/02/24 14:51:11,778.1,9.91,,,,,
6,23/02/24 15:21:11,778.6,9.93,,,,,
7,23/02/24 15:51:11,778.6,9.93,,,,,
8,23/02/24 16:21:11,778.1,9.93,,,,,
9,23/02/24 16:51:11,779.1,9.94,,,,,
10,23/02/24 17:21:11,791.3,9.81,,,,,
11,23/02/24 17:51:11,722.8,9.80,,,,,
12,23/02/24 18:21:11,660.3,9.77,,,,,
13,23/02/24 18:51:11,783.7,9.82,,,,,
14,23/02/24 19:21:11,895.9,9.81,,,,,
15,23/02/24 19:51:11,892.3,9.70,,,,,
16,23/02/24 20:21:11,864.9,9.76,,,,,
17,23/02/24 20:51:11,780.6,10.32,,,,,
18,23/02/24 21:21:11,852.0,9.98,,,,,
19,23/02/24 21:51:11,898.0,9.70,,,,,
20,23/02/24 22:21:11,905.7,9.63,,,,,
21,23/02/24 22:51:11,907.3,9.61,,,,,
22,23/02/24 23:21:11,904.7,9.55,,,,,
23,23/02/24 23:51:11,899.5,9.49,,,,,
24,24/02/24 00:21:11,894.3,9.46,,,,,
25,24/02/24 00:51:11,890.7,9.43,,,,,
26,24/02/24 01:21:11,886.6,9.40,,,,,
27,24/02/24 01:51:11,886.6,9.40,,,,,
28,24/02/24 02:21:11,885.0,9.37,,,,,
29,24/02/24 02:51:11,885.0,9.37,,,,,
30,24/02/24 03:21:11,883.5,9.35,,,,,
31,24/02/24 03:51:11,883.5,9.35,,,,,
32,24/02/24 04:21:11,882.4,9.34,,,,,
33,24/02/24 04:51:11,882.4,9.31,,,,,
34,24/02/24 05:21:11,855.6,9.19,,,,,
35,24/02/24 05:51:11,753.9,9.17,,,,,
36,24/02/24 06:21:11,615.8,9.03,,,,,
37,24/02/24 06:51:11,599.8,8.96,,,,,
38,24/02/24 07:21:11,595.9,8.81,,,,,
39,24/02/24 07:51:11,613.9,8.76,,,,,
40,24/02/24 08:21:11,666.3,9.04,,,,,
41,24/02/24 08:51:11,684.5,9.28,,,,,
42,24/02/24 09:21:11,702.9,9.17,,,,,
43,24/02/24 09:51:11,732.3,8.96,,,,,
44,24/02/24 10:21:11,740.8,8.91,,,,,
45,24/02/24 10:51:11,747.4,8.98,,,,,
46,24/02/24 11:21:11,749.9,9.00,,,,,
47,24/02/24 11:51:11,750.4,9.03,,,,,
48,24/02/24 12:21:11,750.9,9.11,,,,,
49,24/02/24 12:51:11,748.9,9.05,,,,,
50,24/02/24 13:21:11,749.4,9.09,,,,,
51,24/02/24 13:51:11,750.4,9.12,,,,,
52,24/02/24 14:21:11,750.9,9.14,,,,,
53,24/02/24 14:51:11,751.4,9.16,,,,,
54,24/02/24 15:21:11,751.4,9.18,,,,,
55,24/02/24 15:51:11,750.9,9.19,,,,,
56,24/02/24 16:21:11,751.9,9.19,,,,,
57,24/02/24 16:51:11,751.4,9.21,,,,,
58,24/02/24 17:21:11,745.9,9.19,,,,,
59,24/02/24 17:51:11,725.3,9.13,,,,,
60,24/02/24 18:21:11,727.8,9.12,,,,,
61,24/02/24 18:51:11,898.0,9.14,,,,,
62,24/02/24 19:21:11,921.8,9.02,,,,,
63,24/02/24 19:51:11,910.4,8.96,,,,,
64,24/02/24 20:21:11,886.6,8.95,,,,,
65,24/02/24 20:51:11,860.2,8.99,,,,,
66,24/02/24 21:21:11,815.7,9.46,,,,,
67,24/02/24 21:51:11,827.4,9.48,,,,,
68,24/02/24 22:21:11,851.5,9.21,,,,,
69,24/02/24 22:51:11,856.6,9.14,,,,,
70,24/02/24 23:21:11,854.6,9.11,,,,,
71,24/02/24 23:51:11,850.5,9.08,,,,,
72,25/02/24 00:21:11,845.9,9.07,,,,,
73,25/02/24 00:51:11,842.8,9.04,,,,,
74,25/02/24 01:21:11,839.2,8.98,,,,,
75,25/02/24 01:51:11,836.1,8.94,,,,,
76,25/02/24 02:21:11,836.6,8.95,,,,,
77,25/02/24 02:51:11,836.1,8.95,,,,,
78,25/02/24 03:21:11,836.1,8.94,,,,,
79,25/02/24 03:51:11,836.1,8.94,,,,,
80,25/02/24 04:21:11,834.6,8.91,,,,,
81,25/02/24 04:51:11,834.1,8.90,,,,,
82,25/02/24 05:21:11,833.6,8.87,,,,,
83,25/02/24 05:51:11,822.3,8.85,,,,,
84,25/02/24 06:21:11,776.6,8.91,,,,,
85,25/02/24 06:51:11,667.2,8.86,,,,,
86,25/02/24 07:21:11,629.0,8.78,,,,,
87,25/02/24 07:51:11,643.2,8.77,,,,,
88,25/02/24 08:21:11,661.3,8.75,,,,,
89,25/02/24 08:51:11,683.0,8.84,,,,,
90,25/02/24 09:21:11,685.5,9.03,,,,,
91,25/02/24 09:51:11,670.7,9.14,,,,,
92,25/02/24 10:21:11,668.2,8.93,,,,,
93,25/02/24 10:51:11,678.6,8.68,,,,,
94,25/02/24 11:21:11,693.0,8.62,,,,,
95,25/02/24 11:51:11,696.4,8.60,,,,,
96,25/02/24 12:21:11,698.4,8.60,,,,,
97,25/02/24 12:51:11,700.4,8.62,,,,,
98,25/02/24 13:21:11,701.4,8.60,,,,,
99,25/02/24 13:51:11,701.4,8.59,,,,,
100,25/02/24 14:21:11,702.4,8.60,,,,,
101,25/02/24 14:51:11,702.9,8.60,,,,,
102,25/02/24 15:21:11,702.9,8.64,,,,,
103,25/02/24 15:51:11,703.4,8.64,,,,,
104,25/02/24 16:21:11,704.9,8.69,,,,,
105,25/02/24 16:51:11,706.9,8.84,,,,,
106,25/02/24 17:21:11,706.9,8.84,,,,,
107,25/02/24 17:51:11,706.4,8.77,,,,,
108,25/02/24 18:21:11,712.8,8.72,,,,,
109,25/02/24 18:51:11,674.6,8.68,,,,,
110,25/02/24 19:21:11,616.3,8.63,,,,,
111,25/02/24 19:51:11,623.1,8.64,,,,,
112,25/02/24 20:21:11,646.6,8.62,,,,,
113,25/02/24 20:51:11,662.8,8.63,,,,,
114,25/02/24 21:21:11,669.7,8.82,,,,,
115,25/02/24 21:51:11,681.1,9.07,,,,,
116,25/02/24 22:21:11,701.9,8.86,,,,,
117,25/02/24 22:51:11,713.8,8.63,,,,,
118,25/02/24 23:21:11,724.3,8.58,,,,,
119,25/02/24 23:51:11,724.3,8.55,,,,,
120,26/02/24 00:21:11,724.3,8.53,,,,,
121,26/02/24 00:51:11,725.8,8.51,,,,,
122,26/02/24 01:21:11,726.8,8.49,,,,,
123,26/02/24 01:51:11,727.3,8.49,,,,,
124,26/02/24 02:21:11,726.8,8.48,,,,,
125,26/02/24 02:51:11,726.3,8.46,,,,,
