Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 19/11/2024
TIME       : 08:35:45
FILENAME   : C:\Users\aquaman\Desktop\CSV\blauwe sluis_241119083544_V7155.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..27-V7155  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =blauwe sluis
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..27-V7155  317.
  Instrument number       =          UTC+1     
  Location                =blauwe sluis
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =22:19:10 26/02/24
  End date / time         =22:19:08 26/07/24
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2024/02/26 10:19:22;1024,983;8,050;0,040
2024/02/26 10:49:22;1086,117;6,943;1,164
2024/02/26 11:19:22;1091,833;6,923;1,168
2024/02/26 11:49:22;1097,667;6,920;1,164
2024/02/26 12:19:22;1103,267;6,940;1,160
2024/02/26 12:49:22;1107,583;6,960;1,148
2024/02/26 13:19:22;1112,775;6,980;1,136
2024/02/26 13:49:22;1117,383;6,987;1,124
2024/02/26 14:19:22;1122,283;6,997;1,108
2024/02/26 14:49:22;1126,600;7,020;1,100
2024/02/26 15:19:22;1130,800;7,047;1,084
2024/02/26 15:49:22;1135,233;7,067;1,068
2024/02/26 16:19:22;1139,375;7,087;1,048
2024/02/26 16:49:22;1143,108;7,100;1,036
2024/02/26 17:19:22;1147,017;7,113;1,008
2024/02/26 17:49:22;1151,567;7,107;0,992
2024/02/26 18:19:22;1155,300;7,097;0,976
2024/02/26 18:49:22;1158,275;7,090;0,964
2024/02/26 19:19:22;1156,058;7,070;0,952
2024/02/26 19:49:22;1146,492;7,027;0,944
2024/02/26 20:19:22;1138,383;6,990;0,948
2024/02/26 20:49:22;1132,375;6,953;0,924
2024/02/26 21:19:22;1126,017;6,917;0,880
2024/02/26 21:49:22;1122,283;6,857;0,880
2024/02/26 22:19:22;1120,942;6,783;0,888
2024/02/26 22:49:22;1126,017;6,733;0,908
2024/02/26 23:19:22;1131,967;6,683;0,912
2024/02/26 23:49:22;1136,867;6,637;0,904
2024/02/27 00:19:22;1141,475;6,593;0,888
2024/02/27 00:49:22;1145,442;6,543;0,872
2024/02/27 01:19:22;1149,058;6,500;0,860
2024/02/27 01:49:22;1151,858;6,450;0,856
2024/02/27 02:19:22;1155,300;6,403;0,844
2024/02/27 02:49:22;1158,100;6,343;0,832
2024/02/27 03:19:22;1160,200;6,287;0,720
2024/02/27 03:49:22;1162,592;6,247;0,724
2024/02/27 04:19:22;1165,042;6,203;0,720
2024/02/27 04:49:22;1167,375;6,170;0,716
2024/02/27 05:19:22;1169,533;6,150;0,712
2024/02/27 05:49:22;1171,808;6,123;0,712
2024/02/27 06:19:22;1173,383;6,097;0,708
2024/02/27 06:49:22;1174,783;6,073;0,708
2024/02/27 07:19:22;1168,367;6,033;0,796
2024/02/27 07:49:22;1157,808;5,983;0,776
2024/02/27 08:19:22;1147,833;5,960;0,772
2024/02/27 08:49:22;1139,375;5,943;0,764
2024/02/27 09:19:22;1131,792;5,953;0,760
2024/02/27 09:49:22;1125,550;5,983;0,772
2024/02/27 10:19:22;1119,483;6,037;0,776
2024/02/27 10:49:22;1113,825;6,137;0,812
2024/02/27 11:19:22;1111,142;6,297;0,840
2024/02/27 11:49:22;1112,892;6,423;0,828
2024/02/27 12:19:22;1117,675;6,607;0,820
2024/02/27 12:49:22;1122,108;6,823;0,824
2024/02/27 13:19:22;1126,017;7,043;0,836
2024/02/27 13:49:22;1129,575;7,233;0,844
2024/02/27 14:19:22;1132,258;7,403;0,852
2024/02/27 14:49:22;1134,942;7,530;0,864
2024/02/27 15:19:22;1137,333;7,650;0,868
2024/02/27 15:49:22;1139,842;7,750;0,876
2024/02/27 16:19:22;1142,058;7,803;0,876
2024/02/27 16:49:22;1143,983;7,827;0,876
2024/02/27 17:19:22;1146,083;7,843;0,876
2024/02/27 17:49:22;1148,008;7,837;0,876
2024/02/27 18:19:22;1149,933;7,820;0,872
2024/02/27 18:49:22;1151,742;7,793;0,872
2024/02/27 19:19:22;1153,492;7,763;0,872
2024/02/27 19:49:22;1152,792;7,737;0,868
2024/02/27 20:19:22;1141,475;7,650;0,868
2024/02/27 20:49:22;1132,375;7,657;0,888
2024/02/27 21:19:22;1123,917;7,643;0,884
2024/02/27 21:49:22;1117,500;7,613;0,884
2024/02/27 22:19:22;1112,017;7,540;0,896
2024/02/27 22:49:22;1108,458;7,430;0,904
2024/02/27 23:19:22;1109,800;7,350;0,916
2024/02/27 23:49:22;1114,233;7,293;0,932
2024/02/28 00:19:22;1117,967;7,213;0,936
2024/02/28 00:49:22;1120,650;7,160;0,940
2024/02/28 01:19:22;1123,450;7,107;0,940
2024/02/28 01:49:22;1125,842;7,050;0,940
2024/02/28 02:19:22;1127,650;7,000;0,940
2024/02/28 02:49:22;1129,575;6,963;0,944
2024/02/28 03:19:22;1131,208;6,937;0,944
2024/02/28 03:49:22;1132,667;6,917;0,944
2024/02/28 04:19:22;1134,008;6,890;0,944
2024/02/28 04:49:22;1135,525;6,880;0,940
2024/02/28 05:19:22;1137,158;6,863;0,944
2024/02/28 05:49:22;1138,500;6,847;0,944
2024/02/28 06:19:22;1139,958;6,837;0,948
2024/02/28 06:49:22;1140,892;6,827;0,948
2024/02/28 07:19:22;1142,642;6,820;0,944
2024/02/28 07:49:22;1144,158;6,820;0,944
2024/02/28 08:19:22;1145,442;6,820;0,952
2024/02/28 08:49:22;1135,700;6,847;0,952
2024/02/28 09:19:22;1126,308;6,953;0,968
2024/02/28 09:49:22;1117,675;6,990;0,964
2024/02/28 10:19:22;1110,383;7,073;0,976
2024/02/28 10:49:22;1104,258;7,167;0,988
2024/02/28 11:19:22;1099,533;7,283;1,008
2024/02/28 11:49:22;1101,167;7,390;1,032
2024/02/28 12:19:22;1105,017;7,493;1,048
2024/02/28 12:49:22;1107,875;7,607;1,068
2024/02/28 13:19:22;1110,850;7,710;1,080
2024/02/28 13:49:22;1112,892;7,790;1,092
2024/02/28 14:19:22;1114,700;7,877;1,100
2024/02/28 14:49:22;1116,042;7,947;1,108
2024/02/28 15:19:22;1117,675;8,017;1,116
2024/02/28 15:49:22;1118,550;8,060;1,116
2024/02/28 16:19:22;1120,183;8,127;1,120
2024/02/28 16:49:22;1121,408;8,173;1,128
2024/02/28 17:19:22;1122,283;8,210;1,132
2024/02/28 17:49:22;1123,450;8,230;1,140
2024/02/28 18:19:22;1124,675;8,250;1,144
2024/02/28 18:49:22;1125,725;8,263;1,148
2024/02/28 19:19:22;1126,775;8,270;1,156
2024/02/28 19:49:22;1127,475;8,253;1,164
2024/02/28 20:19:22;1128,408;8,227;1,164
2024/02/28 20:49:22;1129,167;8,207;1,164
