"Plot Title: AKL ramskapelle"
"#","Date Time, GMT+02:00","High Range, μS/cm (LGR S/N: 21362416, SEN S/N: 21362416)","Temp, °C (LGR S/N: 21362416, SEN S/N: 21362416)","Coupler Detached (LGR S/N: 21362416)","Coupler Attached (LGR S/N: 21362416)","End Of File (LGR S/N: 21362416)"
1,16/04/25 15:56:58,0.0,17.45,,,
2,16/04/25 15:57:21,,,Logged,,
3,16/04/25 16:26:58,791.3,13.87,,,
4,16/04/25 16:56:58,789.2,13.90,,,
5,16/04/25 17:26:58,788.2,13.88,,,
6,16/04/25 17:56:58,822.7,13.91,,,
7,16/04/25 18:26:58,823.3,13.92,,,
8,16/04/25 18:56:58,820.6,13.93,,,
9,16/04/25 19:26:58,812.2,13.98,,,
10,16/04/25 19:56:58,774.2,13.93,,,
11,16/04/25 20:26:58,761.2,13.93,,,
12,16/04/25 20:56:58,813.8,13.91,,,
13,16/04/25 21:26:58,817.5,13.90,,,
14,16/04/25 21:56:58,813.3,13.90,,,
15,16/04/25 22:26:58,809.6,13.88,,,
16,16/04/25 22:56:58,784.6,13.88,,,
17,16/04/25 23:26:58,785.1,13.90,,,
18,16/04/25 23:56:58,804.9,13.90,,,
19,17/04/25 00:26:58,803.9,13.88,,,
20,17/04/25 00:56:58,815.4,13.90,,,
21,17/04/25 01:26:58,817.0,13.88,,,
22,17/04/25 01:56:58,789.8,13.87,,,
23,17/04/25 02:26:58,741.1,13.80,,,
24,17/04/25 02:56:58,738.6,13.74,,,
25,17/04/25 03:26:58,765.4,13.76,,,
26,17/04/25 03:56:58,755.0,13.76,,,
27,17/04/25 04:26:58,743.7,13.72,,,
28,17/04/25 04:56:58,745.8,13.71,,,
29,17/04/25 05:26:58,735.5,13.67,,,
30,17/04/25 05:56:58,735.0,13.69,,,
31,17/04/25 06:26:58,745.2,13.69,,,
32,17/04/25 06:56:58,744.2,13.64,,,
33,17/04/25 07:26:58,724.2,13.59,,,
34,17/04/25 07:56:58,735.0,13.60,,,
35,17/04/25 08:26:58,792.9,13.59,,,
36,17/04/25 08:56:58,798.1,13.57,,,
37,17/04/25 09:26:58,845.9,13.59,,,
38,17/04/25 09:56:58,842.8,13.59,,,
39,17/04/25 10:26:58,822.7,13.57,,,
40,17/04/25 10:56:58,792.9,13.57,,,
41,17/04/25 11:26:58,734.5,13.59,,,
42,17/04/25 11:56:58,712.0,13.70,,,
43,17/04/25 12:26:58,707.4,13.72,,,
44,17/04/25 12:56:58,716.1,13.78,,,
45,17/04/25 13:26:58,719.1,13.78,,,
46,17/04/25 13:56:58,714.0,13.90,,,
47,17/04/25 14:26:58,740.1,14.09,,,
48,17/04/25 14:56:58,738.6,14.13,,,
49,17/04/25 15:26:58,726.8,14.23,,,
50,17/04/25 15:56:58,719.1,14.28,,,
51,17/04/25 16:26:58,702.3,14.23,,,
52,17/04/25 16:56:58,703.3,14.29,,,
53,17/04/25 17:26:58,725.8,14.49,,,
54,17/04/25 17:56:58,701.8,14.33,,,
55,17/04/25 18:26:58,694.2,14.32,,,
56,17/04/25 18:56:58,728.8,14.99,,,
57,17/04/25 19:26:58,716.1,14.80,,,
58,17/04/25 19:56:58,706.4,14.70,,,
59,17/04/25 20:26:58,699.8,14.38,,,
60,17/04/25 20:56:58,684.6,14.48,,,
61,17/04/25 21:26:58,704.9,14.63,,,
62,17/04/25 21:56:58,695.2,14.58,,,
63,17/04/25 22:26:58,685.6,14.48,,,
64,17/04/25 22:56:58,686.6,14.48,,,
65,17/04/25 23:26:58,685.1,14.44,,,
66,17/04/25 23:56:58,685.1,14.43,,,
67,18/04/25 00:26:58,669.0,14.30,,,
68,18/04/25 00:56:58,680.6,14.33,,,
69,18/04/25 01:26:58,688.7,14.39,,,
70,18/04/25 01:56:58,676.0,14.29,,,
71,18/04/25 02:26:58,669.0,14.23,,,
72,18/04/25 02:56:58,671.0,14.19,,,
73,18/04/25 03:26:58,668.5,14.17,,,
74,18/04/25 03:56:58,695.7,14.34,,,
75,18/04/25 04:26:58,680.1,14.21,,,
76,18/04/25 04:56:58,685.6,14.24,,,
77,18/04/25 05:26:58,673.0,14.16,,,
78,18/04/25 05:56:58,693.7,14.23,,,
79,18/04/25 06:26:58,684.1,14.16,,,
80,18/04/25 06:56:58,688.1,14.16,,,
81,18/04/25 07:26:58,681.6,14.11,,,
82,18/04/25 07:56:58,683.6,14.12,,,
83,18/04/25 08:26:58,666.5,14.00,,,
84,18/04/25 08:56:58,659.5,13.92,,,
85,18/04/25 09:26:58,661.0,13.93,,,
86,18/04/25 09:56:58,651.0,13.87,,,
87,18/04/25 10:26:58,681.6,14.07,,,
88,18/04/25 10:56:58,649.5,13.88,,,
89,18/04/25 11:26:58,650.0,13.93,,,
90,18/04/25 11:56:58,644.5,14.00,,,
91,18/04/25 12:26:58,635.6,14.07,,,
92,18/04/25 12:56:58,640.0,14.04,,,
93,18/04/25 13:26:58,641.0,14.07,,,
94,18/04/25 13:56:58,647.5,14.17,,,
95,18/04/25 14:26:58,642.5,14.27,,,
96,18/04/25 14:56:58,677.6,14.21,,,
97,18/04/25 15:26:58,659.0,14.28,,,
98,18/04/25 15:56:58,678.6,14.26,,,
99,18/04/25 16:26:58,691.2,14.26,,,
100,18/04/25 16:56:58,705.9,14.26,,,
101,18/04/25 17:26:58,720.7,14.26,,,
102,18/04/25 17:56:58,720.7,14.28,,,
103,18/04/25 18:26:58,715.0,14.28,,,
104,18/04/25 18:56:58,738.6,14.22,,,
105,18/04/25 19:26:58,710.5,14.24,,,
106,18/04/25 19:56:58,720.1,14.23,,,
107,18/04/25 20:26:58,725.8,14.24,,,
108,18/04/25 20:56:58,709.4,14.30,,,
109,18/04/25 21:26:58,702.3,14.30,,,
110,18/04/25 21:56:58,718.6,14.43,,,
111,18/04/25 22:26:58,717.6,14.48,,,
112,18/04/25 22:56:58,704.4,14.52,,,
113,18/04/25 23:26:58,693.7,14.44,,,
114,18/04/25 23:56:58,684.6,14.37,,,
115,19/04/25 00:26:58,684.6,14.37,,,
116,19/04/25 00:56:58,701.8,14.33,,,
117,19/04/25 01:26:58,718.1,14.32,,,
118,19/04/25 01:56:58,697.3,14.30,,,
119,19/04/25 02:26:58,689.2,14.33,,,
120,19/04/25 02:56:58,692.7,14.33,,,
121,19/04/25 03:26:58,687.1,14.32,,,
122,19/04/25 03:56:58,688.1,14.33,,,
123,19/04/25 04:26:58,699.3,14.35,,,
124,19/04/25 04:56:58,698.8,14.35,,,
125,19/04/25 05:26:58,693.7,14.33,,,
126,19/04/25 05:56:58,697.8,14.33,,,
127,19/04/25 06:26:58,710.5,14.34,,,
128,19/04/25 06:56:58,705.9,14.29,,,
129,19/04/25 07:26:58,685.1,14.23,,,
130,19/04/25 07:56:58,720.1,14.29,,,
131,19/04/25 08:26:58,708.4,14.22,,,
132,19/04/25 08:56:58,704.9,14.22,,,
133,19/04/25 09:26:58,690.2,14.16,,,
134,19/04/25 09:56:58,702.8,14.16,,,
135,19/04/25 10:26:58,635.6,14.01,,,
136,19/04/25 10:56:58,631.1,13.98,,,
137,19/04/25 11:26:58,621.7,14.00,,,
138,19/04/25 11:56:58,658.5,14.03,,,
139,19/04/25 12:26:58,694.2,14.12,,,
140,19/04/25 12:56:58,649.0,14.08,,,
141,19/04/25 13:26:58,628.1,14.08,,,
142,19/04/25 13:56:58,634.1,14.13,,,
143,19/04/25 14:26:58,678.1,14.14,,,
144,19/04/25 14:56:58,654.5,14.18,,,
145,19/04/25 15:26:58,649.0,14.18,,,
146,19/04/25 15:56:58,640.5,14.23,,,
147,19/04/25 16:26:58,638.5,14.65,,,
148,19/04/25 16:56:58,666.5,14.26,,,
149,19/04/25 17:26:58,722.7,14.27,,,
150,19/04/25 17:56:58,650.0,14.59,,,
151,19/04/25 18:26:58,644.5,14.73,,,
152,19/04/25 18:56:58,643.5,14.73,,,
153,19/04/25 19:26:58,651.0,14.74,,,
154,19/04/25 19:56:58,644.5,14.89,,,
155,19/04/25 20:26:58,645.0,14.96,,,
156,19/04/25 20:56:58,650.5,15.00,,,
157,19/04/25 21:26:58,651.0,14.95,,,
158,19/04/25 21:56:58,648.5,14.86,,,
159,19/04/25 22:26:58,644.0,14.78,,,
160,19/04/25 22:56:58,642.0,14.79,,,
161,19/04/25 23:26:58,643.0,14.73,,,
162,19/04/25 23:56:58,644.0,14.73,,,
163,20/04/25 00:26:58,644.5,14.73,,,
164,20/04/25 00:56:58,643.5,14.65,,,
165,20/04/25 01:26:58,645.5,14.63,,,
166,20/04/25 01:56:58,645.0,14.60,,,
167,20/04/25 02:26:58,645.0,14.58,,,
168,20/04/25 02:56:58,652.5,14.55,,,
169,20/04/25 03:26:58,645.0,14.48,,,
170,20/04/25 03:56:58,645.0,14.42,,,
171,20/04/25 04:26:58,649.0,14.39,,,
172,20/04/25 04:56:58,654.0,14.35,,,
173,20/04/25 05:26:58,650.0,14.34,,,
174,20/04/25 05:56:58,645.5,14.29,,,
175,20/04/25 06:26:58,648.5,14.26,,,
176,20/04/25 06:56:58,647.5,14.22,,,
177,20/04/25 07:26:58,646.0,14.21,,,
178,20/04/25 07:56:58,646.5,14.14,,,
179,20/04/25 08:26:58,643.5,14.11,,,
180,20/04/25 08:56:58,643.5,14.11,,,
181,20/04/25 09:26:58,643.5,14.07,,,
182,20/04/25 09:56:58,642.5,14.06,,,
183,20/04/25 10:26:58,642.5,14.02,,,
184,20/04/25 10:56:58,643.5,14.00,,,
185,20/04/25 11:26:58,641.5,14.00,,,
186,20/04/25 11:56:58,646.5,13.97,,,
187,20/04/25 12:26:58,643.0,13.97,,,
188,20/04/25 12:56:58,640.0,14.00,,,
189,20/04/25 13:26:58,644.5,13.97,,,
190,20/04/25 13:56:58,639.5,14.02,,,
191,20/04/25 14:26:58,640.0,14.02,,,
192,20/04/25 14:56:58,647.0,14.04,,,
193,20/04/25 15:26:58,638.5,14.00,,,
194,20/04/25 15:56:58,636.5,13.98,,,
195,20/04/25 16:26:58,636.5,14.01,,,
196,20/04/25 16:56:58,631.6,14.04,,,
197,20/04/25 17:26:58,638.5,14.11,,,
198,20/04/25 17:56:58,649.0,14.45,,,
199,20/04/25 18:26:58,657.0,14.29,,,
200,20/04/25 18:56:58,660.5,14.23,,,
201,20/04/25 19:26:58,652.5,14.37,,,
202,20/04/25 19:56:58,650.0,14.42,,,
203,20/04/25 20:26:58,638.0,14.28,,,
204,20/04/25 20:56:58,631.1,14.24,,,
205,20/04/25 21:26:58,627.1,14.17,,,
206,20/04/25 21:56:58,630.1,14.14,,,
207,20/04/25 22:26:58,626.6,14.21,,,
208,20/04/25 22:56:58,631.1,14.24,,,
209,20/04/25 23:26:58,628.1,14.23,,,
210,20/04/25 23:56:58,623.7,14.21,,,
211,21/04/25 00:26:58,619.7,14.14,,,
212,21/04/25 00:56:58,632.1,14.28,,,
213,21/04/25 01:26:58,624.2,14.23,,,
214,21/04/25 01:56:58,619.2,14.06,,,
215,21/04/25 02:26:58,625.1,14.04,,,
216,21/04/25 02:56:58,625.6,14.07,,,
217,21/04/25 03:26:58,628.1,14.13,,,
218,21/04/25 03:56:58,625.6,14.09,,,
219,21/04/25 04:26:58,627.1,14.11,,,
220,21/04/25 04:56:58,628.6,14.17,,,
221,21/04/25 05:26:58,625.6,14.14,,,
222,21/04/25 05:56:58,620.7,14.07,,,
223,21/04/25 06:26:58,620.7,14.07,,,
224,21/04/25 06:56:58,628.1,14.08,,,
225,21/04/25 07:26:58,631.1,14.12,,,
226,21/04/25 07:56:58,627.6,14.11,,,
227,21/04/25 08:26:58,625.1,14.07,,,
228,21/04/25 08:56:58,628.6,14.12,,,
229,21/04/25 09:26:58,634.6,14.17,,,
230,21/04/25 09:56:58,636.5,14.19,,,
231,21/04/25 10:26:58,640.0,14.21,,,
232,21/04/25 10:56:58,641.0,14.19,,,
233,21/04/25 11:26:58,643.0,14.22,,,
234,21/04/25 11:56:58,639.5,14.18,,,
235,21/04/25 12:26:58,637.0,14.21,,,
236,21/04/25 12:56:58,635.6,14.21,,,
237,21/04/25 13:26:58,646.5,14.16,,,
238,21/04/25 13:56:58,631.6,14.11,,,
239,21/04/25 14:26:58,642.0,14.22,,,
240,21/04/25 14:56:58,642.0,14.21,,,
241,21/04/25 15:26:58,646.5,14.16,,,
242,21/04/25 15:56:58,630.1,14.34,,,
243,21/04/25 16:26:58,625.6,14.35,,,
244,21/04/25 16:56:58,628.6,14.30,,,
245,21/04/25 17:26:58,622.7,14.26,,,
246,21/04/25 17:56:58,622.7,14.26,,,
247,21/04/25 18:26:58,617.2,14.24,,,
248,21/04/25 18:56:58,617.7,14.44,,,
249,21/04/25 19:26:58,616.7,14.24,,,
250,21/04/25 19:56:58,616.7,14.30,,,
251,21/04/25 20:26:58,619.7,14.27,,,
252,21/04/25 20:56:58,612.8,14.34,,,
253,21/04/25 21:26:58,614.3,14.23,,,
254,21/04/25 21:56:58,614.3,14.14,,,
255,21/04/25 22:26:58,616.7,14.16,,,
256,21/04/25 22:56:58,616.7,14.06,,,
257,21/04/25 23:26:58,612.3,14.18,,,
258,21/04/25 23:56:58,611.8,14.11,,,
259,22/04/25 00:26:58,622.7,14.17,,,
260,22/04/25 00:56:58,610.3,14.04,,,
261,22/04/25 01:26:58,620.7,14.08,,,
262,22/04/25 01:56:58,621.2,14.11,,,
263,22/04/25 02:26:58,615.8,14.11,,,
264,22/04/25 02:56:58,616.3,14.09,,,
265,22/04/25 03:26:58,613.8,14.12,,,
266,22/04/25 03:56:58,622.7,14.07,,,
267,22/04/25 04:26:58,617.7,14.08,,,
268,22/04/25 04:56:58,615.8,14.16,,,
269,22/04/25 05:26:58,627.6,14.03,,,
270,22/04/25 05:56:58,628.6,14.01,,,
271,22/04/25 06:26:58,642.5,14.43,,,
272,22/04/25 06:56:58,643.0,14.19,,,
273,22/04/25 07:26:58,642.5,14.09,,,
274,22/04/25 07:56:58,647.5,14.17,,,
275,22/04/25 08:26:58,655.5,14.40,,,
276,22/04/25 08:56:58,665.5,14.34,,,
277,22/04/25 09:26:58,651.0,14.39,,,
278,22/04/25 09:56:58,654.0,14.38,,,
279,22/04/25 10:26:58,655.0,14.37,,,
280,22/04/25 10:56:58,670.5,14.38,,,
281,22/04/25 11:26:58,659.0,14.39,,,
282,22/04/25 11:56:58,661.0,14.43,,,
283,22/04/25 12:26:58,653.5,14.45,,,
284,22/04/25 12:56:58,655.0,14.48,,,
285,22/04/25 13:26:58,657.5,14.61,,,
286,22/04/25 13:56:58,653.5,14.61,,,
287,22/04/25 14:26:58,648.0,14.44,,,
288,22/04/25 14:56:58,646.0,14.44,,,
289,22/04/25 15:26:58,643.0,14.42,,,
290,22/04/25 15:56:58,640.5,14.59,,,
291,22/04/25 16:26:58,642.0,14.73,,,
292,22/04/25 16:56:58,640.5,14.68,,,
293,22/04/25 17:26:58,637.5,14.60,,,
294,22/04/25 17:56:58,635.6,14.59,,,
295,22/04/25 18:26:58,632.6,14.52,,,
296,22/04/25 18:56:58,631.1,14.48,,,
297,22/04/25 19:26:58,634.1,14.53,,,
298,22/04/25 19:56:58,627.6,14.44,,,
299,22/04/25 20:26:58,632.1,14.48,,,
300,22/04/25 20:56:58,628.6,14.52,,,
301,22/04/25 21:26:58,626.6,14.43,,,
302,22/04/25 21:56:58,629.1,14.44,,,
303,22/04/25 22:26:58,627.1,14.47,,,
304,22/04/25 22:56:58,627.6,14.52,,,
305,22/04/25 23:26:58,628.6,14.54,,,
306,22/04/25 23:56:58,628.6,14.53,,,
307,23/04/25 00:26:58,630.6,14.53,,,
308,23/04/25 00:56:58,632.1,14.63,,,
309,23/04/25 01:26:58,630.1,14.54,,,
310,23/04/25 01:56:58,633.6,14.54,,,
311,23/04/25 02:26:58,632.6,14.49,,,
312,23/04/25 02:56:58,626.6,14.43,,,
313,23/04/25 03:26:58,623.2,14.39,,,
314,23/04/25 03:56:58,621.2,14.35,,,
315,23/04/25 04:26:58,621.7,14.37,,,
316,23/04/25 04:56:58,623.2,14.42,,,
317,23/04/25 05:26:58,623.7,14.39,,,
318,23/04/25 05:56:58,617.2,14.35,,,
319,23/04/25 06:26:58,619.2,14.37,,,
320,23/04/25 06:56:58,620.7,14.39,,,
321,23/04/25 07:26:58,622.7,14.39,,,
322,23/04/25 07:56:58,638.5,14.54,,,
323,23/04/25 08:26:58,652.5,14.48,,,
324,23/04/25 08:56:58,645.0,14.50,,,
325,23/04/25 09:26:58,642.0,14.50,,,
326,23/04/25 09:56:58,645.0,14.50,,,
327,23/04/25 10:26:58,640.5,14.49,,,
328,23/04/25 10:56:58,641.5,14.47,,,
329,23/04/25 11:26:58,636.5,14.47,,,
330,23/04/25 11:56:58,633.6,14.49,,,
331,23/04/25 12:26:58,633.6,14.48,,,
332,23/04/25 12:56:58,635.6,14.54,,,
333,23/04/25 13:26:58,637.5,14.56,,,
334,23/04/25 13:56:58,637.5,14.56,,,
335,23/04/25 14:26:58,640.0,14.66,,,
336,23/04/25 14:56:58,641.0,14.64,,,
337,23/04/25 15:26:58,646.0,14.73,,,
338,23/04/25 15:56:58,640.0,14.69,,,
339,23/04/25 16:26:58,638.0,14.73,,,
340,23/04/25 16:56:58,639.5,14.73,,,
341,23/04/25 17:26:58,639.0,14.73,,,
342,23/04/25 17:56:58,637.5,14.73,,,
343,23/04/25 18:26:58,637.5,14.73,,,
344,23/04/25 18:56:58,637.0,14.73,,,
345,23/04/25 19:26:58,637.0,14.73,,,
346,23/04/25 19:56:58,637.0,14.73,,,
347,23/04/25 20:26:58,636.5,14.73,,,
348,23/04/25 20:56:58,637.5,14.71,,,
349,23/04/25 21:26:58,642.5,14.73,,,
350,23/04/25 21:56:58,653.0,14.76,,,
351,23/04/25 22:26:58,645.5,14.73,,,
352,23/04/25 22:56:58,640.0,14.73,,,
353,23/04/25 23:26:58,640.5,14.73,,,
354,23/04/25 23:56:58,638.5,14.71,,,
355,24/04/25 00:26:58,637.5,14.70,,,
356,24/04/25 00:56:58,639.5,14.70,,,
357,24/04/25 01:26:58,638.5,14.68,,,
358,24/04/25 01:56:58,642.0,14.70,,,
359,24/04/25 02:26:58,643.5,14.70,,,
360,24/04/25 02:56:58,644.0,14.68,,,
361,24/04/25 03:26:58,635.6,14.63,,,
362,24/04/25 03:56:58,637.0,14.63,,,
363,24/04/25 04:26:58,639.0,14.63,,,
364,24/04/25 04:56:58,639.0,14.61,,,
365,24/04/25 05:26:58,638.5,14.60,,,
366,24/04/25 05:56:58,636.5,14.56,,,
367,24/04/25 06:26:58,634.6,14.54,,,
368,24/04/25 06:56:58,632.6,14.52,,,
369,24/04/25 07:26:58,631.1,14.47,,,
370,24/04/25 07:56:58,639.0,14.53,,,
371,24/04/25 08:26:58,641.0,14.52,,,
372,24/04/25 08:56:58,640.5,14.50,,,
373,24/04/25 09:26:58,638.0,14.48,,,
374,24/04/25 09:56:58,636.5,14.45,,,
375,24/04/25 10:26:58,634.1,14.42,,,
376,24/04/25 10:56:58,638.0,14.44,,,
377,24/04/25 11:26:58,632.1,14.39,,,
378,24/04/25 11:56:58,633.6,14.38,,,
379,24/04/25 12:26:58,636.5,14.42,,,
380,24/04/25 12:56:58,634.1,14.39,,,
381,24/04/25 13:26:58,639.5,14.44,,,
382,24/04/25 13:56:58,632.1,14.38,,,
383,24/04/25 14:26:58,634.6,14.39,,,
384,24/04/25 14:56:58,640.5,14.44,,,
385,24/04/25 15:26:58,642.5,14.48,,,
386,24/04/25 15:56:58,631.1,14.37,,,
387,24/04/25 16:26:58,613.3,14.23,,,
388,24/04/25 16:56:58,610.8,14.26,,,
389,24/04/25 17:26:58,612.3,14.30,,,
390,24/04/25 17:56:58,612.8,14.34,,,
391,24/04/25 18:26:58,612.8,14.34,,,
392,24/04/25 18:56:58,613.3,14.34,,,
393,24/04/25 19:26:58,612.3,14.32,,,
394,24/04/25 19:56:58,612.3,14.30,,,
395,24/04/25 20:26:58,611.8,14.28,,,
396,24/04/25 20:56:58,611.8,14.26,,,
397,24/04/25 21:26:58,610.8,14.23,,,
398,24/04/25 21:56:58,610.8,14.22,,,
399,24/04/25 22:26:58,610.8,14.21,,,
400,24/04/25 22:56:58,609.9,14.18,,,
401,24/04/25 23:26:58,609.9,14.19,,,
402,24/04/25 23:56:58,609.9,14.18,,,
403,25/04/25 00:26:58,608.4,14.13,,,
404,25/04/25 00:56:58,609.4,14.13,,,
405,25/04/25 01:26:58,609.4,14.13,,,
406,25/04/25 01:56:58,609.4,14.12,,,
407,25/04/25 02:26:58,609.4,14.11,,,
408,25/04/25 02:56:58,608.9,14.09,,,
409,25/04/25 03:26:58,608.4,14.09,,,
410,25/04/25 03:56:58,608.4,14.08,,,
411,25/04/25 04:26:58,607.9,14.04,,,
412,25/04/25 04:56:58,607.4,14.03,,,
413,25/04/25 05:26:58,608.4,14.04,,,
414,25/04/25 05:56:58,607.9,14.01,,,
415,25/04/25 06:26:58,607.4,14.01,,,
416,25/04/25 06:56:58,607.4,13.98,,,
417,25/04/25 07:26:58,607.4,13.96,,,
418,25/04/25 07:56:58,607.4,13.93,,,
419,25/04/25 08:26:58,606.9,13.92,,,
420,25/04/25 08:56:58,606.4,13.90,,,
421,25/04/25 09:26:58,606.4,13.90,,,
422,25/04/25 09:56:58,607.4,13.92,,,
423,25/04/25 10:26:58,606.4,13.90,,,
424,25/04/25 10:56:58,606.4,13.92,,,
425,25/04/25 11:26:58,607.4,13.97,,,
426,25/04/25 11:51:49,,,,Logged,Logged
