Data file for DataLogger.
==============================================================================
COMPANY    : <Company name>
COMP.STATUS: Do
DATE       : 26/02/2025
TIME       : 11:31:29
FILENAME   : C:\Users\aquaman\AppData\Roaming\DiverOffice\Gent-Oostende\CSV\sas slijkens_250226113129_V7000.CSV
CREATED BY : Diver-Office 12.0.3.0
==========================    BEGINNING OF DATA     ==========================
[Logger settings]
  Instrument type         =CTD-Diver=17
  Status                  =Started =0
  Serial number           =..30-V7000  317.
  Instrument number       =          UTC+1     
                          =0
  Location                =sas slijkens
  Sample period           =M30
  Sample method           =T   
  Number of channels      =3
[Channel 1]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


[Series settings]
  Serial number           =..30-V7000  317.
  Instrument number       =          UTC+1     
  Location                =sas slijkens
  Sample period           =00 00:30:00 0
  Sample method           =T   
  Start date / time       =40:08:08 17/10/24
  End date / time         =40:08:11 26/02/25
[Channel 1 from data header]
  Identification          =PRESSURE
  Reference level         =400,000   cm
  Range                   =1750,000  cm
  Master level            =1750      CMH2O
  Altitude                =0         m
[Channel 2 from data header]
  Identification          =TEMPERATURE
  Reference level         =-20,000   °C
  Range                   =100,000   °C


[Channel 3 from data header]
  Identification          =1: CONDUCTIVITY
  Reference level         =0,000     ms/cm
  Range                   =120,000   ms/cm


Date/time;Druk[cmH2O];Temperatuur[°C];1:Geleidbaarheid[ms/cm]
2024/10/17 08:08:40;1026,733;17,993;0,640
2024/10/17 08:38:40;1417,450;14,040;1,536
2024/10/17 09:08:40;1417,625;14,080;1,496
2024/10/17 09:38:40;1416,983;14,080;1,688
2024/10/17 10:08:40;1418,383;14,127;1,444
2024/10/17 10:38:40;1420,017;14,147;1,404
2024/10/17 11:08:40;1419,958;14,077;1,536
2024/10/17 11:38:40;1420,483;14,123;1,668
2024/10/17 12:08:40;1420,775;14,107;1,584
2024/10/17 12:38:40;1422,058;14,207;1,416
2024/10/17 13:08:40;1420,950;14,153;2,396
2024/10/17 13:38:40;1421,125;14,353;1,736
2024/10/17 14:08:40;1422,525;14,317;1,636
2024/10/17 14:38:40;1422,233;14,263;2,724
2024/10/17 15:08:40;1424,275;14,197;1,736
2024/10/17 15:38:40;1423,517;14,143;2,056
2024/10/17 16:08:40;1426,375;14,100;1,552
2024/10/17 16:38:40;1427,133;14,417;1,536
2024/10/17 17:08:40;1427,308;14,213;1,436
2024/10/17 17:38:40;1427,483;14,237;1,640
2024/10/17 18:08:40;1424,450;14,220;1,468
2024/10/17 18:38:40;1423,167;14,180;1,576
2024/10/17 19:08:40;1421,708;14,117;1,948
2024/10/17 19:38:40;1421,592;14,203;1,644
2024/10/17 20:08:40;1421,883;14,290;1,468
2024/10/17 20:38:40;1421,592;14,250;1,684
2024/10/17 21:08:40;1421,883;14,310;1,512
2024/10/17 21:38:40;1424,450;14,253;1,816
2024/10/17 22:08:40;1423,517;14,260;1,912
2024/10/17 22:38:40;1422,992;14,267;1,452
2024/10/17 23:08:40;1422,058;14,267;1,584
2024/10/17 23:38:40;1423,517;14,200;2,028
2024/10/18 00:08:40;1423,983;14,220;1,892
2024/10/18 00:38:40;1422,875;14,260;2,136
2024/10/18 01:08:40;1421,883;14,233;1,636
2024/10/18 01:38:40;1421,592;14,257;1,800
2024/10/18 02:08:40;1425,733;14,313;2,328
2024/10/18 02:38:40;1429,700;14,323;2,712
2024/10/18 03:08:40;1432,908;14,273;2,452
2024/10/18 03:38:40;1432,908;14,250;2,232
2024/10/18 04:08:40;1431,333;14,237;2,108
2024/10/18 04:38:40;1427,833;14,263;2,036
2024/10/18 05:08:40;1428,417;14,250;2,096
2024/10/18 05:38:40;1429,525;14,223;2,080
2024/10/18 06:08:40;1431,625;14,180;1,984
2024/10/18 06:38:40;1429,525;14,207;2,292
2024/10/18 07:08:40;1428,942;14,157;2,000
2024/10/18 07:38:40;1425,267;14,220;1,900
2024/10/18 08:08:40;1426,842;14,253;1,944
2024/10/18 08:38:40;1428,592;14,423;2,208
2024/10/18 09:08:40;1430,342;14,473;2,340
2024/10/18 09:38:40;1429,875;14,490;2,224
2024/10/18 10:08:40;1428,125;14,463;2,112
2024/10/18 10:38:40;1424,450;14,457;2,132
2024/10/18 11:08:40;1422,875;14,477;2,224
2024/10/18 11:38:40;1423,517;14,457;2,044
2024/10/18 12:08:40;1425,558;14,413;2,192
2024/10/18 12:38:40;1427,017;14,367;1,976
2024/10/18 13:08:40;1426,667;14,367;1,916
2024/10/18 13:38:40;1429,233;14,473;2,616
2024/10/18 14:08:40;1432,442;14,507;2,660
2024/10/18 14:38:40;1433,842;14,463;2,196
2024/10/18 15:08:40;1433,550;14,467;2,284
2024/10/18 15:38:40;1431,975;14,467;2,128
2024/10/18 16:08:40;1431,333;14,477;2,192
2024/10/18 16:38:40;1430,808;14,507;2,456
2024/10/18 17:08:40;1430,867;14,497;2,108
2024/10/18 17:38:40;1424,742;14,473;1,416
2024/10/18 18:08:40;1423,167;14,550;1,264
2024/10/18 18:38:40;1421,592;14,730;1,228
2024/10/18 19:08:40;1416,808;14,530;1,292
2024/10/18 19:38:40;1414,417;14,650;1,980
2024/10/18 20:08:40;1411,675;14,620;1,884
2024/10/18 20:38:40;1411,675;14,587;1,724
2024/10/18 21:08:40;1413,775;14,650;2,760
2024/10/18 21:38:40;1412,783;14,607;2,216
2024/10/18 22:08:40;1411,208;14,600;2,440
2024/10/18 22:38:40;1410,858;14,543;1,920
2024/10/18 23:08:40;1412,317;14,550;2,244
2024/10/18 23:38:40;1414,533;14,543;2,232
2024/10/19 00:08:40;1415,992;14,557;2,420
2024/10/19 00:38:40;1416,808;14,510;2,112
2024/10/19 01:08:40;1418,558;14,570;2,336
2024/10/19 01:38:40;1416,925;14,570;2,340
2024/10/19 02:08:40;1416,808;14,557;2,256
2024/10/19 02:38:40;1416,167;14,543;2,088
2024/10/19 03:08:40;1416,167;14,553;2,236
2024/10/19 03:38:40;1416,983;14,557;2,152
2024/10/19 04:08:40;1417,742;14,553;2,072
2024/10/19 04:38:40;1420,017;14,547;1,968
2024/10/19 05:08:40;1422,058;14,557;2,048
2024/10/19 05:38:40;1423,517;14,540;1,940
2024/10/19 06:08:40;1424,275;14,533;1,884
2024/10/19 06:38:40;1422,700;14,563;2,212
2024/10/19 07:08:40;1422,058;14,540;2,012
2024/10/19 07:38:40;1422,525;14,543;2,256
2024/10/19 08:08:40;1422,408;14,527;2,204
2024/10/19 08:38:40;1424,100;14,540;2,236
2024/10/19 09:08:40;1424,917;14,527;2,280
2024/10/19 09:38:40;1425,908;14,537;2,424
2024/10/19 10:08:40;1423,692;14,497;2,132
2024/10/19 10:38:40;1422,350;14,523;2,440
2024/10/19 11:08:40;1423,517;14,517;2,420
2024/10/19 11:38:40;1426,375;14,513;2,196
2024/10/19 12:08:40;1425,558;14,530;2,468
2024/10/19 12:38:40;1424,450;14,517;2,224
2024/10/19 13:08:40;1424,158;14,507;1,968
2024/10/19 13:38:40;1423,342;14,507;1,944
2024/10/19 14:08:40;1428,767;14,513;1,932
2024/10/19 14:38:40;1432,092;14,513;1,948
2024/10/19 15:08:40;1434,192;14,507;1,856
2024/10/19 15:38:40;1435,942;14,510;1,976
2024/10/19 16:08:40;1436,117;14,507;1,932
2024/10/19 16:38:40;1435,300;14,533;2,516
2024/10/19 17:08:40;1432,442;14,510;2,172
2024/10/19 17:38:40;1430,225;14,517;2,060
2024/10/19 18:08:40;1428,125;14,473;1,944
2024/10/19 18:38:40;1429,408;14,537;1,304
2024/10/19 19:08:40;1428,125;14,567;1,956
2024/10/19 19:38:40;1426,492;14,560;1,772
2024/10/19 20:08:40;1424,450;14,533;1,696
2024/10/19 20:38:40;1421,417;14,527;1,792
2024/10/19 21:08:40;1421,592;14,587;1,636
2024/10/19 21:38:40;1421,125;14,560;2,016
2024/10/19 22:08:40;1421,592;14,590;2,424
2024/10/19 22:38:40;1420,308;14,567;2,388
2024/10/19 23:08:40;1418,733;14,517;1,676
2024/10/19 23:38:40;1418,383;14,553;2,092
2024/10/20 00:08:40;1420,658;14,530;2,032
2024/10/20 00:38:40;1426,667;14,543;2,032
2024/10/20 01:08:40;1429,700;14,560;2,272
2024/10/20 01:38:40;1431,800;14,560;2,264
2024/10/20 02:08:40;1432,267;14,537;2,040
2024/10/20 02:38:40;1430,342;14,540;2,108
2024/10/20 03:08:40;1430,342;14,517;1,972
2024/10/20 03:38:40;1432,442;14,530;2,144
2024/10/20 04:08:40;1435,008;14,517;1,956
2024/10/20 04:38:40;1436,583;14,520;1,972
2024/10/20 05:08:40;1435,008;14,527;1,976
2024/10/20 05:38:40;1435,592;14,520;1,940
2024/10/20 06:08:40;1433,550;14,530;2,052
2024/10/20 06:38:40;1433,550;14,543;2,160
2024/10/20 07:08:40;1434,658;14,520;1,900
2024/10/20 07:38:40;1434,308;14,520;1,988
2024/10/20 08:08:40;1432,558;14,540;2,220
2024/10/20 08:38:40;1430,692;14,527;2,000
2024/10/20 09:08:40;1428,300;14,507;1,816
2024/10/20 09:38:40;1425,558;14,537;1,984
2024/10/20 10:08:40;1425,908;14,527;1,924
2024/10/20 10:38:40;1426,375;14,563;2,236
2024/10/20 11:08:40;1427,658;14,557;2,132
2024/10/20 11:38:40;1426,200;14,537;2,032
2024/10/20 12:08:40;1425,908;14,540;1,992
2024/10/20 12:38:40;1424,450;14,527;1,844
2024/10/20 13:08:40;1424,917;14,540;1,960
2024/10/20 13:38:40;1425,092;14,517;1,800
2024/10/20 14:08:40;1424,100;14,523;1,788
2024/10/20 14:38:40;1424,742;14,520;1,764
2024/10/20 15:08:40;1426,200;14,517;1,620
2024/10/20 15:38:40;1429,408;14,527;1,680
2024/10/20 16:08:40;1433,083;14,530;1,612
2024/10/20 16:38:40;1433,550;14,523;1,540
2024/10/20 17:08:40;1432,267;14,527;1,480
2024/10/20 17:38:40;1431,450;14,543;1,680
2024/10/20 18:08:40;1430,342;14,567;2,004
2024/10/20 18:38:40;1429,058;14,580;1,592
2024/10/20 19:08:40;1427,017;14,603;1,208
2024/10/20 19:38:40;1424,450;14,580;1,436
2024/10/20 20:08:40;1423,342;14,580;1,136
2024/10/20 20:38:40;1422,700;14,600;1,164
2024/10/20 21:08:40;1421,242;14,553;1,792
2024/10/20 21:38:40;1421,708;14,510;1,436
2024/10/20 22:08:40;1421,592;14,603;1,432
2024/10/20 22:38:40;1421,417;14,547;1,340
2024/10/20 23:08:40;1422,992;14,570;1,608
2024/10/20 23:38:40;1422,875;14,590;1,664
2024/10/21 00:08:40;1423,808;14,590;1,384
2024/10/21 00:38:40;1423,633;14,597;1,528
2024/10/21 01:08:40;1424,275;14,600;1,504
2024/10/21 01:38:40;1425,558;14,613;1,440
2024/10/21 02:08:40;1425,733;14,597;1,236
2024/10/21 02:38:40;1426,375;14,597;1,224
2024/10/21 03:08:40;1425,267;14,607;1,312
2024/10/21 03:38:40;1427,017;14,597;1,224
2024/10/21 04:08:40;1430,342;14,590;1,220
2024/10/21 04:38:40;1433,083;14,580;1,200
2024/10/21 05:08:40;1434,950;14,607;1,340
2024/10/21 05:38:40;1435,300;14,603;1,328
2024/10/21 06:08:40;1434,017;14,610;1,316
