"Plot Title: leopodskanaal ramskapelle"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 21737209, SEN S/N: 21737209)","Temp, °C (LGR S/N: 21737209, SEN S/N: 21737209)","Coupler Detached (LGR S/N: 21737209)","Coupler Attached (LGR S/N: 21737209)","Host Connected (LGR S/N: 21737209)","End Of File (LGR S/N: 21737209)"
1,03/21/25 11:42:50 AM,0.0,13.14,,,,
2,03/21/25 11:43:15 AM,,,Logged,,,
3,03/21/25 12:12:50 PM,1845.9,9.10,,,,
4,03/21/25 12:42:50 PM,1874.6,9.08,,,,
5,03/21/25 01:12:50 PM,1886.6,9.11,,,,
6,03/21/25 01:42:50 PM,1889.3,9.19,,,,
7,03/21/25 02:12:50 PM,1891.9,9.27,,,,
8,03/21/25 02:42:50 PM,1899.3,9.33,,,,
9,03/21/25 03:12:50 PM,1902.6,9.36,,,,
10,03/21/25 03:42:50 PM,1905.3,9.45,,,,
11,03/21/25 04:12:50 PM,1905.3,9.44,,,,
12,03/21/25 04:42:50 PM,1906.6,9.47,,,,
13,03/21/25 05:12:50 PM,1908.0,9.51,,,,
14,03/21/25 05:42:50 PM,1910.0,9.54,,,,
15,03/21/25 06:12:50 PM,1908.7,9.54,,,,
16,03/21/25 06:42:50 PM,1908.7,9.57,,,,
17,03/21/25 07:12:50 PM,1909.3,9.59,,,,
18,03/21/25 07:42:50 PM,1911.3,9.63,,,,
19,03/21/25 08:12:50 PM,1912.0,9.67,,,,
20,03/21/25 08:42:50 PM,1912.7,9.71,,,,
21,03/21/25 09:12:50 PM,1910.7,9.73,,,,
22,03/21/25 09:42:50 PM,1907.3,9.65,,,,
23,03/21/25 10:12:50 PM,1904.6,9.69,,,,
24,03/21/25 10:42:50 PM,1893.3,9.73,,,,
25,03/21/25 11:12:50 PM,1883.9,9.71,,,,
26,03/21/25 11:42:50 PM,1890.6,9.68,,,,
27,03/22/25 12:12:50 AM,1889.9,9.67,,,,
28,03/22/25 12:42:50 AM,1886.6,9.68,,,,
