"Plot Title: oude veurne vaart"
"#","Date Time, GMT+01:00","High Range, μS/cm (LGR S/N: 21362419, SEN S/N: 21362419)","Temp, °C (LGR S/N: 21362419, SEN S/N: 21362419)","Coupler Detached (LGR S/N: 21362419)","Coupler Attached (LGR S/N: 21362419)","Host Connected (LGR S/N: 21362419)","End Of File (LGR S/N: 21362419)"
1,02/26/25 10:47:46 AM,135.3,10.66,,,,
2,02/26/25 10:47:52 AM,,,Logged,,,
3,02/26/25 11:17:46 AM,716.8,8.72,,,,
4,02/26/25 11:47:46 AM,714.8,8.71,,,,
5,02/26/25 12:17:46 PM,708.4,8.76,,,,
6,02/26/25 12:47:46 PM,723.3,8.85,,,,
7,02/26/25 01:17:46 PM,771.5,8.87,,,,
8,02/26/25 01:47:46 PM,1736.0,8.99,,,,
9,02/26/25 02:17:46 PM,1713.5,9.02,,,,
10,02/26/25 02:47:46 PM,2050.1,9.04,,,,
11,02/26/25 03:17:46 PM,2856.8,9.09,,,,
12,02/26/25 03:47:46 PM,2720.8,9.07,,,,
13,02/26/25 04:17:46 PM,3513.7,9.13,,,,
14,02/26/25 04:47:46 PM,3185.1,9.09,,,,
15,02/26/25 05:17:46 PM,3023.6,9.08,,,,
16,02/26/25 05:47:46 PM,2836.5,9.08,,,,
17,02/26/25 06:17:46 PM,1783.5,9.12,,,,
18,02/26/25 06:47:46 PM,1481.3,9.18,,,,
19,02/26/25 07:17:46 PM,1082.9,9.28,,,,
20,02/26/25 07:47:46 PM,1078.1,9.28,,,,
21,02/26/25 08:17:46 PM,928.1,9.31,,,,
22,02/26/25 08:47:46 PM,905.2,9.30,,,,
23,02/26/25 09:17:46 PM,888.6,9.28,,,,
24,02/26/25 09:47:46 PM,896.9,9.27,,,,
25,02/26/25 10:17:46 PM,873.6,9.25,,,,
26,02/26/25 10:47:46 PM,863.3,9.22,,,,
27,02/26/25 11:17:46 PM,855.6,9.17,,,,
28,02/26/25 11:47:46 PM,847.9,9.13,,,,
29,02/27/25 12:17:46 AM,846.9,9.11,,,,
30,02/27/25 12:47:46 AM,846.4,9.05,,,,
31,02/27/25 01:17:46 AM,845.9,9.03,,,,
32,02/27/25 01:47:46 AM,845.4,9.00,,,,
33,02/27/25 02:17:46 AM,845.4,8.98,,,,
34,02/27/25 02:47:46 AM,845.4,8.95,,,,
35,02/27/25 03:17:46 AM,844.3,8.94,,,,
36,02/27/25 03:47:46 AM,910.4,8.98,,,,
37,02/27/25 04:17:46 AM,1044.5,8.98,,,,
38,02/27/25 04:47:46 AM,1934.6,8.95,,,,
39,02/27/25 05:17:46 AM,2715.9,8.95,,,,
40,02/27/25 05:47:46 AM,1962.2,8.91,,,,
41,02/27/25 06:17:46 AM,1231.2,8.82,,,,
42,02/27/25 06:47:46 AM,865.9,8.75,,,,
43,02/27/25 07:17:46 AM,847.4,8.69,,,,
44,02/27/25 07:47:46 AM,846.4,8.64,,,,
45,02/27/25 08:17:46 AM,843.3,8.62,,,,
46,02/27/25 08:47:46 AM,840.2,8.59,,,,
47,02/27/25 09:17:46 AM,838.7,8.57,,,,
48,02/27/25 09:47:46 AM,840.7,8.57,,,,
49,02/27/25 10:17:46 AM,841.2,8.57,,,,
50,02/27/25 10:47:46 AM,846.4,8.58,,,,
51,02/27/25 11:17:46 AM,849.5,8.59,,,,
52,02/27/25 11:47:46 AM,843.3,8.59,,,,
53,02/27/25 12:17:46 PM,844.8,8.62,,,,
54,02/27/25 12:47:46 PM,843.8,8.62,,,,
55,02/27/25 01:17:46 PM,846.4,8.66,,,,
56,02/27/25 01:47:46 PM,868.0,8.69,,,,
57,02/27/25 02:17:46 PM,864.9,8.69,,,,
58,02/27/25 02:47:46 PM,915.6,8.72,,,,
