loc.ctd;loc.debiet;loc.neerslag;distance
akl ramskapelle;Zomergem;Dudzele;006km
lk ramskapelle;Damme;Dudzele;006km
akl moerkerke;Zomergem;Dudzele;013km
blinker moerkerke;Damme;Dudzele;013km
sk zeebrugge;Damme;Dudzele;002km
brugge;Oostkamp;Brugge OTT;013km
diksmuide;Keiem;Sint-Joris;017km
schoorbakkebrug;Keiem;Sint-Joris;007km
tervate;Keiem;Sint-Joris;011km
uniebrug;Keiem;Sint-Joris;003km
yserstar;Keiem;Sint-Joris;001km
nieuwpoort-plassendale;Keiem;Sint-Joris;003km
plassendale;Keiem;Klemskerke;007km
sas slijkens;Oostkamp;Klemskerke;001km
oude veurne vaart;Veurne;Sint-Joris;002km
blauwe sluis;Oostkamp;Klemskerke;003km
clemensheule;Oostkamp;Klemskerke;004km
maertensas;Oostkamp;Klemskerke;001km
